COUNT;DAY;MONTH;Valore;Valore;Valore;Valore;Valore;Valore;YEAR;;;;;;;
4;1;1;0,924637681;1,205555556;1,556944444;1,106944444;1,115277778;1,271830986;2015;;0;1;2;3;4;5
4;2;1;1,205555556;1,556944444;1,106944444;1,115277778;1,271830986;1,355294118;2015;;0,157;0,114;0,106;0,101;0,085;0,089
0;3;1;1,556944444;1,106944444;1,115277778;1,271830986;1,355294118;1,31875;2015;;;;;;;
0;4;1;1,106944444;1,115277778;1,271830986;1,355294118;1,31875;1,695833333;2015;;;;;;;
0;5;1;1,115277778;1,271830986;1,355294118;1,31875;1,695833333;1,205208333;2015;;;;;;;
3;6;1;1,271830986;1,355294118;1,31875;1,695833333;1,205208333;1,197894737;2015;;;;;;;
1;7;1;1,355294118;1,31875;1,695833333;1,205208333;1,197894737;1,620833333;2015;;;;;;;
2;8;1;1,31875;1,695833333;1,205208333;1,197894737;1,620833333;1,696875;2015;;;;;;;
3;9;1;1,695833333;1,205208333;1,197894737;1,620833333;1,696875;1,719791667;2015;;;;;;;
3;10;1;1,205208333;1,197894737;1,620833333;1,696875;1,719791667;1,667708333;2015;;;;;;;
1;11;1;1,197894737;1,620833333;1,696875;1,719791667;1,667708333;1,396875;2015;;;;;;;
5;12;1;1,620833333;1,696875;1,719791667;1,667708333;1,396875;1,171875;2015;;;;;;;
2;13;1;1,696875;1,719791667;1,667708333;1,396875;1,171875;1,229166667;2015;;;;;;;
5;14;1;1,719791667;1,667708333;1,396875;1,171875;1,229166667;1,691666667;2015;;;;;;;
4;15;1;1,667708333;1,396875;1,171875;1,229166667;1,691666667;1,477083333;2015;;;;;;;
3;16;1;1,396875;1,171875;1,229166667;1,691666667;1,477083333;1,528125;2015;;;;;;;
4;17;1;1,171875;1,229166667;1,691666667;1,477083333;1,528125;1,341666667;2015;;;;;;;
2;18;1;1,229166667;1,691666667;1,477083333;1,528125;1,341666667;1,627083333;2015;;;;;;;
2;19;1;1,691666667;1,477083333;1,528125;1,341666667;1,627083333;1,972916667;2015;;;;;;;
