COUNT;Valore;Valore;Valore;Valore;Valore;Valore;;;;;;;;
4;73,97482615;69,8675;72,96041667;50,4375;37,50278552;58,22896936;;;0;1;2;3;4;5
4;69,8675;72,96041667;50,4375;37,50278552;58,22896936;73,11388889;;;0,103;0,155;0,171;0,149;0,119;0,130
0;72,96041667;50,4375;37,50278552;58,22896936;73,11388889;71,035;;;;;;;;
0;50,4375;37,50278552;58,22896936;73,11388889;71,035;73,25668524;;;;;;;;
0;37,50278552;58,22896936;73,11388889;71,035;73,25668524;67,23685675;;;;;;;;
3;58,22896936;73,11388889;71,035;73,25668524;67,23685675;57,02625;;;;;;;;
1;73,11388889;71,035;73,25668524;67,23685675;57,02625;36,93861111;;;;;;;;
2;71,035;73,25668524;67,23685675;57,02625;36,93861111;57,54152778;;;;;;;;
3;73,25668524;67,23685675;57,02625;36,93861111;57,54152778;70,75716273;;;;;;;;
3;67,23685675;57,02625;36,93861111;57,54152778;70,75716273;84,82166667;;;;;;;;
1;57,02625;36,93861111;57,54152778;70,75716273;84,82166667;94,65368567;;;;;;;;
5;36,93861111;57,54152778;70,75716273;84,82166667;94,65368567;90,32914923;;;;;;;;
2;57,54152778;70,75716273;84,82166667;94,65368567;90,32914923;83,39833333;;;;;;;;
5;70,75716273;84,82166667;94,65368567;90,32914923;83,39833333;84,38083333;;;;;;;;
4;84,82166667;94,65368567;90,32914923;83,39833333;84,38083333;78,52930556;;;;;;;;
3;94,65368567;90,32914923;83,39833333;84,38083333;78,52930556;91,38077475;;;;;;;;
4;90,32914923;83,39833333;84,38083333;78,52930556;91,38077475;95,19151344;;;;;;;;
2;83,39833333;84,38083333;78,52930556;91,38077475;95,19151344;87,45736111;;;;;;;;
2;84,38083333;78,52930556;91,38077475;95,19151344;87,45736111;80,06458333;;;;;;;;
4;78,52930556;91,38077475;95,19151344;87,45736111;80,06458333;35,98986111;;;;;;;;
1;91,38077475;95,19151344;87,45736111;80,06458333;35,98986111;48,87513889;;;;;;;;
1;95,19151344;87,45736111;80,06458333;35,98986111;48,87513889;65,28375;;;;;;;;
2;87,45736111;80,06458333;35,98986111;48,87513889;65,28375;61,95930556;;;;;;;;
2;80,06458333;35,98986111;48,87513889;65,28375;61,95930556;66,92388889;;;;;;;;
4;35,98986111;48,87513889;65,28375;61,95930556;66,92388889;72,94652778;;;;;;;;
2;48,87513889;65,28375;61,95930556;66,92388889;72,94652778;62,52666667;;;;;;;;
4;65,28375;61,95930556;66,92388889;72,94652778;62,52666667;60,52618384;;;;;;;;
3;61,95930556;66,92388889;72,94652778;62,52666667;60,52618384;48,38319444;;;;;;;;
2;66,92388889;72,94652778;62,52666667;60,52618384;48,38319444;66,02277778;;;;;;;;
2;72,94652778;62,52666667;60,52618384;48,38319444;66,02277778;56,59625;;;;;;;;
5;62,52666667;60,52618384;48,38319444;66,02277778;56,59625;84,90152778;;;;;;;;
1;60,52618384;48,38319444;66,02277778;56,59625;84,90152778;96,94624448;;;;;;;;
2;48,38319444;66,02277778;56,59625;84,90152778;96,94624448;89,93010432;;;;;;;;
3;66,02277778;56,59625;84,90152778;96,94624448;89,93010432;70,04388889;;;;;;;;
3;56,59625;84,90152778;96,94624448;89,93010432;70,04388889;62,27333333;;;;;;;;
1;84,90152778;96,94624448;89,93010432;70,04388889;62,27333333;63,97666667;;;;;;;;
3;96,94624448;89,93010432;70,04388889;62,27333333;63,97666667;65,88916667;;;;;;;;
3;89,93010432;70,04388889;62,27333333;63,97666667;65,88916667;76,42805556;;;;;;;;
2;70,04388889;62,27333333;63,97666667;65,88916667;76,42805556;79,00138889;;;;;;;;
6;62,27333333;63,97666667;65,88916667;76,42805556;79,00138889;94,81222222;;;;;;;;
1;63,97666667;65,88916667;76,42805556;79,00138889;94,81222222;95,91736111;;;;;;;;
2;65,88916667;76,42805556;79,00138889;94,81222222;95,91736111;83,47472222;;;;;;;;
2;76,42805556;79,00138889;94,81222222;95,91736111;83,47472222;63,78942976;;;;;;;;
1;79,00138889;94,81222222;95,91736111;83,47472222;63,78942976;62,79486111;;;;;;;;
1;94,81222222;95,91736111;83,47472222;63,78942976;62,79486111;69,66819444;;;;;;;;
4;95,91736111;83,47472222;63,78942976;62,79486111;69,66819444;70,97482615;;;;;;;;
2;83,47472222;63,78942976;62,79486111;69,66819444;70,97482615;85,97076462;;;;;;;;
4;63,78942976;62,79486111;69,66819444;70,97482615;85,97076462;85,63072917;;;;;;;;
3;62,79486111;69,66819444;70,97482615;85,97076462;85,63072917;73,89423929;;;;;;;;
5;69,66819444;70,97482615;85,97076462;85,63072917;73,89423929;68,03222222;;;;;;;;
3;70,97482615;85,97076462;85,63072917;73,89423929;68,03222222;47,01180556;;;;;;;;
4;85,97076462;85,63072917;73,89423929;68,03222222;47,01180556;55,4875;;;;;;;;
6;85,63072917;73,89423929;68,03222222;47,01180556;55,4875;60,70722222;;;;;;;;
4;73,89423929;68,03222222;47,01180556;55,4875;60,70722222;63,22097222;;;;;;;;
4;68,03222222;47,01180556;55,4875;60,70722222;63,22097222;64,14512535;;;;;;;;
3;47,01180556;55,4875;60,70722222;63,22097222;64,14512535;75,88486111;;;;;;;;
