COUNT;DAY;MONTH;Valore;Valore;Valore;Valore;Valore;Valore;YEAR;;;;;;;;
4;1;1;51,57119565;62,85625;81,8984375;57,46875;72,915625;72,63089005;2015;;;;;;;;
4;2;1;62,85625;81,8984375;57,46875;72,915625;72,63089005;81,91822917;2015;;;;;;;;
0;3;1;81,8984375;57,46875;72,915625;72,63089005;81,91822917;75,15052083;2015;;;0;1;2;3;4;5
0;4;1;57,46875;72,915625;72,63089005;81,91822917;75,15052083;87,0296875;2015;;;0,194;0,128;0,098;0,099;0,072;0,082
0;5;1;72,915625;72,63089005;81,91822917;75,15052083;87,0296875;59,09270833;2015;;;;;;;;
3;6;1;72,63089005;81,91822917;75,15052083;87,0296875;59,09270833;44,2617801;2015;;;;;;;;
1;7;1;81,91822917;75,15052083;87,0296875;59,09270833;44,2617801;81,14611111;2015;;;;;;;;
2;8;1;75,15052083;87,0296875;59,09270833;44,2617801;81,14611111;96,80595238;2015;;;;;;;;
3;9;1;87,0296875;59,09270833;44,2617801;81,14611111;96,80595238;92,84107143;2015;;;;;;;;
3;10;1;59,09270833;44,2617801;81,14611111;96,80595238;92,84107143;78,50595238;2015;;;;;;;;
1;11;1;44,2617801;81,14611111;96,80595238;92,84107143;78,50595238;63,31833333;2015;;;;;;;;
5;12;1;81,14611111;96,80595238;92,84107143;78,50595238;63,31833333;55,06627907;2015;;;;;;;;
2;13;1;96,80595238;92,84107143;78,50595238;63,31833333;55,06627907;61,53928571;2015;;;;;;;;
5;14;1;92,84107143;78,50595238;63,31833333;55,06627907;61,53928571;75,80625;2015;;;;;;;;
4;15;1;78,50595238;63,31833333;55,06627907;61,53928571;75,80625;71,50104167;2015;;;;;;;;
3;16;1;63,31833333;55,06627907;61,53928571;75,80625;71,50104167;73,66145833;2015;;;;;;;;
4;17;1;55,06627907;61,53928571;75,80625;71,50104167;73,66145833;57,32864583;2015;;;;;;;;
2;18;1;61,53928571;75,80625;71,50104167;73,66145833;57,32864583;70,38802083;2015;;;;;;;;
2;19;1;75,80625;71,50104167;73,66145833;57,32864583;70,38802083;85,87135417;2015;;;;;;;;
4;20;1;71,50104167;73,66145833;57,32864583;70,38802083;85,87135417;65,91302083;2015;;;;;;;;
1;21;1;73,66145833;57,32864583;70,38802083;85,87135417;65,91302083;73,77291667;2015;;;;;;;;
1;22;1;57,32864583;70,38802083;85,87135417;65,91302083;73,77291667;99,76210526;2015;;;;;;;;
