COUNT;DAY;MONTH;Valore;Valore;Valore;Valore;Valore;Valore;YEAR;;;;;;;;
4;1;1;96,4451087;142,1442708;243,5682292;121,2802083;172,0833333;162,1570681;2015;;;;;;;;
4;2;1;142,1442708;243,5682292;121,2802083;172,0833333;162,1570681;230,65625;2015;;;;;;;;
0;3;1;243,5682292;121,2802083;172,0833333;162,1570681;230,65625;193,0552083;2015;;;0;1;2;3;4;5
0;4;1;121,2802083;172,0833333;162,1570681;230,65625;193,0552083;265,5729167;2015;;;0,181;0,128;0,122;0,129;0,107;0,109
0;5;1;172,0833333;162,1570681;230,65625;193,0552083;265,5729167;104,4958333;2015;;;;;;;;
3;6;1;162,1570681;230,65625;193,0552083;265,5729167;104,4958333;77,73246073;2015;;;;;;;;
1;7;1;230,65625;193,0552083;265,5729167;104,4958333;77,73246073;213,9166667;2015;;;;;;;;
2;8;1;193,0552083;265,5729167;104,4958333;77,73246073;213,9166667;304,6714286;2015;;;;;;;;
3;9;1;265,5729167;104,4958333;77,73246073;213,9166667;304,6714286;317,2702381;2015;;;;;;;;
3;10;1;104,4958333;77,73246073;213,9166667;304,6714286;317,2702381;246,1880952;2015;;;;;;;;
1;11;1;77,73246073;213,9166667;304,6714286;317,2702381;246,1880952;161,4344444;2015;;;;;;;;
5;12;1;213,9166667;304,6714286;317,2702381;246,1880952;161,4344444;103,8302326;2015;;;;;;;;
2;13;1;304,6714286;317,2702381;246,1880952;161,4344444;103,8302326;109,4781065;2015;;;;;;;;
5;14;1;317,2702381;246,1880952;161,4344444;103,8302326;109,4781065;270,0305085;2015;;;;;;;;
4;15;1;246,1880952;161,4344444;103,8302326;109,4781065;270,0305085;210,8057292;2015;;;;;;;;
3;16;1;161,4344444;103,8302326;109,4781065;270,0305085;210,8057292;198,9625;2015;;;;;;;;
4;17;1;103,8302326;109,4781065;270,0305085;210,8057292;198,9625;140,1640625;2015;;;;;;;;
2;18;1;109,4781065;270,0305085;210,8057292;198,9625;140,1640625;218,4885417;2015;;;;;;;;
2;19;1;270,0305085;210,8057292;198,9625;140,1640625;218,4885417;323,84375;2015;;;;;;;;
4;20;1;210,8057292;198,9625;140,1640625;218,4885417;323,84375;140,1546875;2015;;;;;;;;
1;21;1;198,9625;140,1640625;218,4885417;323,84375;140,1546875;145,690625;2015;;;;;;;;
1;22;1;140,1640625;218,4885417;323,84375;140,1546875;145,690625;321,7821053;2015;;;;;;;;
2;23;1;218,4885417;323,84375;140,1546875;145,690625;321,7821053;265,95625;2015;;;;;;;;
2;24;1;323,84375;140,1546875;145,690625;321,7821053;265,95625;289,5572917;2015;;;;;;;;
4;25;1;140,1546875;145,690625;321,7821053;265,95625;289,5572917;135,0921466;2015;;;;;;;;
2;26;1;145,690625;321,7821053;265,95625;289,5572917;135,0921466;194,4942708;2015;;;;;;;;
4;27;1;321,7821053;265,95625;289,5572917;135,0921466;194,4942708;147,3333333;2015;;;;;;;;
3;28;1;265,95625;289,5572917;135,0921466;194,4942708;147,3333333;246,9770833;2015;;;;;;;;
2;29;1;289,5572917;135,0921466;194,4942708;147,3333333;246,9770833;187,2411458;2015;;;;;;;;
2;30;1;135,0921466;194,4942708;147,3333333;246,9770833;187,2411458;182,9984375;2015;;;;;;;;
5;31;1;194,4942708;147,3333333;246,9770833;187,2411458;182,9984375;132,6890625;2015;;;;;;;;
1;1;2;147,3333333;246,9770833;187,2411458;182,9984375;132,6890625;216,1145833;2015;;;;;;;;
2;2;2;246,9770833;187,2411458;182,9984375;132,6890625;216,1145833;99,35520833;2015;;;;;;;;
3;3;2;187,2411458;182,9984375;132,6890625;216,1145833;99,35520833;88,87447917;2015;;;;;;;;
3;4;2;182,9984375;132,6890625;216,1145833;99,35520833;88,87447917;165,3880208;2015;;;;;;;;
1;5;2;132,6890625;216,1145833;99,35520833;88,87447917;165,3880208;224,1942708;2015;;;;;;;;
3;6;2;216,1145833;99,35520833;88,87447917;165,3880208;224,1942708;273,3265625;2015;;;;;;;;
3;7;2;99,35520833;88,87447917;165,3880208;224,1942708;273,3265625;301,0687151;2015;;;;;;;;
2;8;2;88,87447917;165,3880208;224,1942708;273,3265625;301,0687151;207,3138122;2015;;;;;;;;
6;9;2;165,3880208;224,1942708;273,3265625;301,0687151;207,3138122;123,1265625;2015;;;;;;;;
1;10;2;224,1942708;273,3265625;301,0687151;207,3138122;123,1265625;113,5135417;2015;;;;;;;;
2;11;2;273,3265625;301,0687151;207,3138122;123,1265625;113,5135417;219,8036458;2015;;;;;;;;
2;12;2;301,0687151;207,3138122;123,1265625;113,5135417;219,8036458;170,4145833;2015;;;;;;;;
1;13;2;207,3138122;123,1265625;113,5135417;219,8036458;170,4145833;119,9213542;2015;;;;;;;;
1;14;2;123,1265625;113,5135417;219,8036458;170,4145833;119,9213542;203,3958333;2015;;;;;;;;
4;15;2;113,5135417;219,8036458;170,4145833;119,9213542;203,3958333;222,1536458;2015;;;;;;;;
2;16;2;219,8036458;170,4145833;119,9213542;203,3958333;222,1536458;82,10572917;2015;;;;;;;;
4;17;2;170,4145833;119,9213542;203,3958333;222,1536458;82,10572917;63,08229167;2015;;;;;;;;
3;18;2;119,9213542;203,3958333;222,1536458;82,10572917;63,08229167;216,3359375;2015;;;;;;;;
5;19;2;203,3958333;222,1536458;82,10572917;63,08229167;216,3359375;196,6932292;2015;;;;;;;;
3;20;2;222,1536458;82,10572917;63,08229167;216,3359375;196,6932292;119,8354167;2015;;;;;;;;
4;21;2;82,10572917;63,08229167;216,3359375;196,6932292;119,8354167;151,5354167;2015;;;;;;;;
6;22;2;63,08229167;216,3359375;196,6932292;119,8354167;151,5354167;172,2463542;2015;;;;;;;;
4;23;2;216,3359375;196,6932292;119,8354167;151,5354167;172,2463542;165,6692708;2015;;;;;;;;
4;24;2;196,6932292;119,8354167;151,5354167;172,2463542;165,6692708;201,15625;2015;;;;;;;;
3;25;2;119,8354167;151,5354167;172,2463542;165,6692708;201,15625;113,0875;2015;;;;;;;;
2;26;2;151,5354167;172,2463542;165,6692708;201,15625;113,0875;126,1770833;2015;;;;;;;;
1;27;2;172,2463542;165,6692708;201,15625;113,0875;126,1770833;133,04375;2015;;;;;;;;
10;28;2;165,6692708;201,15625;113,0875;126,1770833;133,04375;75,74375;2015;;;;;;;;
5;1;3;201,15625;113,0875;126,1770833;133,04375;75,74375;129,38125;2015;;;;;;;;
4;2;3;113,0875;126,1770833;133,04375;75,74375;129,38125;91,4328125;2015;;;;;;;;
6;3;3;126,1770833;133,04375;75,74375;129,38125;91,4328125;109,5427083;2015;;;;;;;;
5;4;3;133,04375;75,74375;129,38125;91,4328125;109,5427083;123,9088542;2015;;;;;;;;
