COUNT;DAY;MONTH;Valore;Valore;Valore;Valore;Valore;Valore;YEAR;;;;;;;;
4;1;1;67,33333333;79,33333333;45;28,33333333;53;88,33333333;2015;;;;;;;;
4;2;1;79,33333333;45;28,33333333;53;88,33333333;76,33333333;2015;;;0;1;2;3;4;5
0;3;1;45;28,33333333;53;88,33333333;76,33333333;83,33333333;2015;;;0,152;0,136;0,132;0,124;0,091;0,090
0;4;1;28,33333333;53;88,33333333;76,33333333;83,33333333;49,66666667;2015;;;;;;;;
0;5;1;53;88,33333333;76,33333333;83,33333333;49,66666667;64,66666667;2015;;;;;;;;
3;6;1;88,33333333;76,33333333;83,33333333;49,66666667;64,66666667;34,66666667;2015;;;;;;;;
1;7;1;76,33333333;83,33333333;49,66666667;64,66666667;34,66666667;70,66666667;2015;;;;;;;;
2;8;1;83,33333333;49,66666667;64,66666667;34,66666667;70,66666667;88,5;2015;;;;;;;;
3;9;1;49,66666667;64,66666667;34,66666667;70,66666667;88,5;73,66666667;2015;;;;;;;;
3;10;1;64,66666667;34,66666667;70,66666667;88,5;73,66666667;69,66666667;2015;;;;;;;;
1;11;1;34,66666667;70,66666667;88,5;73,66666667;69,66666667;30,66666667;2015;;;;;;;;
5;12;1;70,66666667;88,5;73,66666667;69,66666667;30,66666667;32,66666667;2015;;;;;;;;
2;13;1;88,5;73,66666667;69,66666667;30,66666667;32,66666667;55,66666667;2015;;;;;;;;
5;14;1;73,66666667;69,66666667;30,66666667;32,66666667;55,66666667;64;2015;;;;;;;;
4;15;1;69,66666667;30,66666667;32,66666667;55,66666667;64;40,66666667;2015;;;;;;;;
3;16;1;30,66666667;32,66666667;55,66666667;64;40,66666667;30;2015;;;;;;;;
4;17;1;32,66666667;55,66666667;64;40,66666667;30;45,33333333;2015;;;;;;;;
2;18;1;55,66666667;64;40,66666667;30;45,33333333;61,33333333;2015;;;;;;;;
2;19;1;64;40,66666667;30;45,33333333;61,33333333;16;2015;;;;;;;;
4;20;1;40,66666667;30;45,33333333;61,33333333;16;27,33333333;2015;;;;;;;;
1;21;1;30;45,33333333;61,33333333;16;27,33333333;73;2015;;;;;;;;
