DAY;MONTH;YEAR;Valore;Valore;Valore;Valore;Valore;Valore;COUNT;;;;;;;;
1;1;2015;60,5;68;38,5;20,5;44,5;76;4;;;;;;;;
2;1;2015;68;38,5;20,5;44,5;76;63,5;4;;;;;;;;
3;1;2015;38,5;20,5;44,5;76;63,5;69;0;;;;;;;;
4;1;2015;20,5;44,5;76;63,5;69;40,5;0;;;0;1;2;3;4;5
5;1;2015;44,5;76;63,5;69;40,5;57,5;0;;;0,141;0,132;0,128;0,125;0,097;0,091
6;1;2015;76;63,5;69;40,5;57,5;23,5;3;;;;;;;;
7;1;2015;63,5;69;40,5;57,5;23,5;55,5;1;;;;;;;;
8;1;2015;69;40,5;57,5;23,5;55,5;66;2;;;;;;;;
9;1;2015;40,5;57,5;23,5;55,5;66;62,5;3;;;;;;;;
10;1;2015;57,5;23,5;55,5;66;62,5;58;3;;;;;;;;
11;1;2015;23,5;55,5;66;62,5;58;24,5;1;;;;;;;;
12;1;2015;55,5;66;62,5;58;24,5;28;5;;;;;;;;
13;1;2015;66;62,5;58;24,5;28;44,5;2;;;;;;;;
14;1;2015;62,5;58;24,5;28;44,5;47;5;;;;;;;;
15;1;2015;58;24,5;28;44,5;47;35,5;4;;;;;;;;
16;1;2015;24,5;28;44,5;47;35,5;28,5;3;;;;;;;;
17;1;2015;28;44,5;47;35,5;28,5;36,5;4;;;;;;;;
18;1;2015;44,5;47;35,5;28,5;36,5;50,5;2;;;;;;;;
19;1;2015;47;35,5;28,5;36,5;50,5;11;2;;;;;;;;
20;1;2015;35,5;28,5;36,5;50,5;11;21,5;4;;;;;;;;
21;1;2015;28,5;36,5;50,5;11;21,5;58;1;;;;;;;;
22;1;2015;36,5;50,5;11;21,5;58;48;1;;;;;;;;
23;1;2015;50,5;11;21,5;58;48;51;2;;;;;;;;
24;1;2015;11;21,5;58;48;51;32;2;;;;;;;;
25;1;2015;21,5;58;48;51;32;33,5;4;;;;;;;;
26;1;2015;58;48;51;32;33,5;43,5;2;;;;;;;;
27;1;2015;48;51;32;33,5;43,5;32,5;4;;;;;;;;
28;1;2015;51;32;33,5;43,5;32,5;48;3;;;;;;;;
29;1;2015;32;33,5;43,5;32,5;48;40,5;2;;;;;;;;
30;1;2015;33,5;43,5;32,5;48;40,5;13,5;2;;;;;;;;
31;1;2015;43,5;32,5;48;40,5;13,5;18,5;5;;;;;;;;
1;2;2015;32,5;48;40,5;13,5;18,5;21;1;;;;;;;;
2;2;2015;48;40,5;13,5;18,5;21;35,5;2;;;;;;;;
3;2;2015;40,5;13,5;18,5;21;35,5;47,5;3;;;;;;;;
4;2;2015;13,5;18,5;21;35,5;47,5;78,5;3;;;;;;;;
5;2;2015;18,5;21;35,5;47,5;78,5;92;1;;;;;;;;
6;2;2015;21;35,5;47,5;78,5;92;123,5;3;;;;;;;;
7;2;2015;35,5;47,5;78,5;92;123,5;134,5;3;;;;;;;;
8;2;2015;47,5;78,5;92;123,5;134,5;50;2;;;;;;;;
9;2;2015;78,5;92;123,5;134,5;50;20;6;;;;;;;;
10;2;2015;92;123,5;134,5;50;20;23,5;1;;;;;;;;
11;2;2015;123,5;134,5;50;20;23,5;41,5;2;;;;;;;;
12;2;2015;134,5;50;20;23,5;41,5;46;2;;;;;;;;
13;2;2015;50;20;23,5;41,5;46;69;1;;;;;;;;
14;2;2015;20;23,5;41,5;46;69;63,5;1;;;;;;;;
15;2;2015;23,5;41,5;46;69;63,5;52;4;;;;;;;;
16;2;2015;41,5;46;69;63,5;52;12,5;2;;;;;;;;
17;2;2015;46;69;63,5;52;12,5;34;4;;;;;;;;
18;2;2015;69;63,5;52;12,5;34;20,5;3;;;;;;;;
19;2;2015;63,5;52;12,5;34;20,5;9;5;;;;;;;;
20;2;2015;52;12,5;34;20,5;9;20,5;3;;;;;;;;
21;2;2015;12,5;34;20,5;9;20,5;39;4;;;;;;;;
22;2;2015;34;20,5;9;20,5;39;51;6;;;;;;;;
