COUNT;Valore;Valore;Valore;Valore;Valore;Valore;;;;;;;;
4;0,834414832;3,298611111;4,496990741;9,461342593;7,339580908;4,326218097;;;;;;;;
4;3,298611111;4,496990741;9,461342593;7,339580908;4,326218097;5,08599537;;;0;1;2;3;4;5
0;4,496990741;9,461342593;7,339580908;4,326218097;5,08599537;6,785069444;;;-0,181;-0,187;-0,186;-0,179;-0,179;-0,185
0;9,461342593;7,339580908;4,326218097;5,08599537;6,785069444;5,719324796;;;;;;;;
0;7,339580908;4,326218097;5,08599537;6,785069444;5,719324796;10,03615295;;;;;;;;
3;4,326218097;5,08599537;6,785069444;5,719324796;10,03615295;8,396064815;;;;;;;;
1;5,08599537;6,785069444;5,719324796;10,03615295;8,396064815;8,834722222;;;;;;;;
2;6,785069444;5,719324796;10,03615295;8,396064815;8,834722222;6,184375;;;;;;;;
3;5,719324796;10,03615295;8,396064815;8,834722222;6,184375;6,548667439;;;;;;;;
3;10,03615295;8,396064815;8,834722222;6,184375;6,548667439;4,620023148;;;;;;;;
1;8,396064815;8,834722222;6,184375;6,548667439;4,620023148;6,304307334;;;;;;;;
5;8,834722222;6,184375;6,548667439;4,620023148;6,304307334;8,192093023;;;;;;;;
2;6,184375;6,548667439;4,620023148;6,304307334;8,192093023;5,699652778;;;;;;;;
5;6,548667439;4,620023148;6,304307334;8,192093023;5,699652778;4,46099537;;;;;;;;
4;4,620023148;6,304307334;8,192093023;5,699652778;4,46099537;5,474768519;;;;;;;;
3;6,304307334;8,192093023;5,699652778;4,46099537;5,474768519;3,758912037;;;;;;;;
4;8,192093023;5,699652778;4,46099537;5,474768519;3,758912037;4,210416667;;;;;;;;
2;5,699652778;4,46099537;5,474768519;3,758912037;4,210416667;5,888773148;;;;;;;;
2;4,46099537;5,474768519;3,758912037;4,210416667;5,888773148;5,652546296;;;;;;;;
4;5,474768519;3,758912037;4,210416667;5,888773148;5,652546296;6,844212963;;;;;;;;
1;3,758912037;4,210416667;5,888773148;5,652546296;6,844212963;5,689699074;;;;;;;;
1;4,210416667;5,888773148;5,652546296;6,844212963;5,689699074;3,272800926;;;;;;;;
2;5,888773148;5,652546296;6,844212963;5,689699074;3,272800926;3,41412037;;;;;;;;
2;5,652546296;6,844212963;5,689699074;3,272800926;3,41412037;3,031286211;;;;;;;;
4;6,844212963;5,689699074;3,272800926;3,41412037;3,031286211;3,367476852;;;;;;;;
2;5,689699074;3,272800926;3,41412037;3,031286211;3,367476852;2,90162037;;;;;;;;
4;3,272800926;3,41412037;3,031286211;3,367476852;2,90162037;3,624709977;;;;;;;;
3;3,41412037;3,031286211;3,367476852;2,90162037;3,624709977;4,301736111;;;;;;;;
2;3,031286211;3,367476852;2,90162037;3,624709977;4,301736111;3,308217593;;;;;;;;
2;3,367476852;2,90162037;3,624709977;4,301736111;3,308217593;5,376851852;;;;;;;;
5;2,90162037;3,624709977;4,301736111;3,308217593;5,376851852;2,474074074;;;;;;;;
1;3,624709977;4,301736111;3,308217593;5,376851852;2,474074074;1,689236111;;;;;;;;
2;4,301736111;3,308217593;5,376851852;2,474074074;1,689236111;2,831712963;;;;;;;;
3;3,308217593;5,376851852;2,474074074;1,689236111;2,831712963;3,235416667;;;;;;;;
3;5,376851852;2,474074074;1,689236111;2,831712963;3,235416667;3,886111111;;;;;;;;
1;2,474074074;1,689236111;2,831712963;3,235416667;3,886111111;4,649652778;;;;;;;;
3;1,689236111;2,831712963;3,235416667;3,886111111;4,649652778;5,67037037;;;;;;;;
3;2,831712963;3,235416667;3,886111111;4,649652778;5,67037037;4,747337963;;;;;;;;
2;3,235416667;3,886111111;4,649652778;5,67037037;4,747337963;5,846064815;;;;;;;;
6;3,886111111;4,649652778;5,67037037;4,747337963;5,846064815;4,25775463;;;;;;;;
1;4,649652778;5,67037037;4,747337963;5,846064815;4,25775463;4,266319444;;;;;;;;
2;5,67037037;4,747337963;5,846064815;4,25775463;4,266319444;7,445717593;;;;;;;;
2;4,747337963;5,846064815;4,25775463;4,266319444;7,445717593;9,017265353;;;;;;;;
1;5,846064815;4,25775463;4,266319444;7,445717593;9,017265353;6,74525463;;;;;;;;
1;4,25775463;4,266319444;7,445717593;9,017265353;6,74525463;6,209953704;;;;;;;;
4;4,266319444;7,445717593;9,017265353;6,74525463;6,209953704;6,869988413;;;;;;;;
2;7,445717593;9,017265353;6,74525463;6,209953704;6,869988413;5,899254658;;;;;;;;
4;9,017265353;6,74525463;6,209953704;6,869988413;5,899254658;6,796527778;;;;;;;;
3;6,74525463;6,209953704;6,869988413;5,899254658;6,796527778;7,251533742;;;;;;;;
5;6,209953704;6,869988413;5,899254658;6,796527778;7,251533742;7,587615741;;;;;;;;
3;6,869988413;5,899254658;6,796527778;7,251533742;7,587615741;9,387037037;;;;;;;;
4;5,899254658;6,796527778;7,251533742;7,587615741;9,387037037;8,032523148;;;;;;;;
6;6,796527778;7,251533742;7,587615741;9,387037037;8,032523148;8,323263889;;;;;;;;
4;7,251533742;7,587615741;9,387037037;8,032523148;8,323263889;8,629050926;;;;;;;;
4;7,587615741;9,387037037;8,032523148;8,323263889;8,629050926;9,005336427;;;;;;;;
3;9,387037037;8,032523148;8,323263889;8,629050926;9,005336427;9,748032407;;;;;;;;
2;8,032523148;8,323263889;8,629050926;9,005336427;9,748032407;10,42314815;;;;;;;;
1;8,323263889;8,629050926;9,005336427;9,748032407;10,42314815;8,618402778;;;;;;;;
10;8,629050926;9,005336427;9,748032407;10,42314815;8,618402778;9,493055556;;;;;;;;
5;9,005336427;9,748032407;10,42314815;8,618402778;9,493055556;8,541550926;;;;;;;;
4;9,748032407;10,42314815;8,618402778;9,493055556;8,541550926;8,433449074;;;;;;;;
6;10,42314815;8,618402778;9,493055556;8,541550926;8,433449074;8,357986111;;;;;;;;
5;8,618402778;9,493055556;8,541550926;8,433449074;8,357986111;7,795138889;;;;;;;;
2;9,493055556;8,541550926;8,433449074;8,357986111;7,795138889;9,828587963;;;;;;;;
3;8,541550926;8,433449074;8,357986111;7,795138889;9,828587963;12,68391204;;;;;;;;
2;8,433449074;8,357986111;7,795138889;9,828587963;12,68391204;10,88055556;;;;;;;;
3;8,357986111;7,795138889;9,828587963;12,68391204;10,88055556;10,44236111;;;;;;;;
4;7,795138889;9,828587963;12,68391204;10,88055556;10,44236111;9,814368482;;;;;;;;
5;9,828587963;12,68391204;10,88055556;10,44236111;9,814368482;9,868634259;;;;;;;;
10;12,68391204;10,88055556;10,44236111;9,814368482;9,868634259;7,623958333;;;;;;;;
3;10,88055556;10,44236111;9,814368482;9,868634259;7,623958333;9,776157407;;;;;;;;
4;10,44236111;9,814368482;9,868634259;7,623958333;9,776157407;10,81668598;;;;;;;;
4;9,814368482;9,868634259;7,623958333;9,776157407;10,81668598;12,01331019;;;;;;;;
3;9,868634259;7,623958333;9,776157407;10,81668598;12,01331019;12,48611111;;;;;;;;
4;7,623958333;9,776157407;10,81668598;12,01331019;12,48611111;11,51378911;;;;;;;;
3;9,776157407;10,81668598;12,01331019;12,48611111;11,51378911;8,943634259;;;;;;;;
5;10,81668598;12,01331019;12,48611111;11,51378911;8,943634259;11,27824074;;;;;;;;
5;12,01331019;12,48611111;11,51378911;8,943634259;11,27824074;12,03935185;;;;;;;;
2;12,48611111;11,51378911;8,943634259;11,27824074;12,03935185;10,24074074;;;;;;;;
2;11,51378911;8,943634259;11,27824074;12,03935185;10,24074074;11,9900232;;;;;;;;
2;8,943634259;11,27824074;12,03935185;10,24074074;11,9900232;14,7375;;;;;;;;
11;11,27824074;12,03935185;10,24074074;11,9900232;14,7375;14,08125;;;;;;;;
10;12,03935185;10,24074074;11,9900232;14,7375;14,08125;13,85486111;;;;;;;;
1;10,24074074;11,9900232;14,7375;14,08125;13,85486111;15,7037037;;;;;;;;
1;11,9900232;14,7375;14,08125;13,85486111;15,7037037;17,48946759;;;;;;;;
1;14,7375;14,08125;13,85486111;15,7037037;17,48946759;14,87624565;;;;;;;;
8;14,08125;13,85486111;15,7037037;17,48946759;14,87624565;13,98344907;;;;;;;;
4;13,85486111;15,7037037;17,48946759;14,87624565;13,98344907;13,21122685;;;;;;;;
1;15,7037037;17,48946759;14,87624565;13,98344907;13,21122685;10,274156;;;;;;;;
7;17,48946759;14,87624565;13,98344907;13,21122685;10,274156;8,513457077;;;;;;;;
5;14,87624565;13,98344907;13,21122685;10,274156;8,513457077;9,782638889;;;;;;;;
2;13,98344907;13,21122685;10,274156;8,513457077;9,782638889;11,44490741;;;;;;;;
3;13,21122685;10,274156;8,513457077;9,782638889;11,44490741;12,90208333;;;;;;;;
3;10,274156;8,513457077;9,782638889;11,44490741;12,90208333;15,00127462;;;;;;;;
0;8,513457077;9,782638889;11,44490741;12,90208333;15,00127462;15,8087963;;;;;;;;
3;9,782638889;11,44490741;12,90208333;15,00127462;15,8087963;15,1224537;;;;;;;;
8;11,44490741;12,90208333;15,00127462;15,8087963;15,1224537;16,46458333;;;;;;;;
3;12,90208333;15,00127462;15,8087963;15,1224537;16,46458333;18,88657407;;;;;;;;
5;15,00127462;15,8087963;15,1224537;16,46458333;18,88657407;19,79576784;;;;;;;;
4;15,8087963;15,1224537;16,46458333;18,88657407;19,79576784;19,23453237;;;;;;;;
6;15,1224537;16,46458333;18,88657407;19,79576784;19,23453237;17,4564951;;;;;;;;
3;16,46458333;18,88657407;19,79576784;19,23453237;17,4564951;14,09039352;;;;;;;;
4;18,88657407;19,79576784;19,23453237;17,4564951;14,09039352;14,11939394;;;;;;;;
