DAY;MONTH;YEAR;Valore;Valore;Valore;Valore;Valore;Valore;COUNT;;;0;1;2;3;4;5
1;1;2015;51,57119565;62,85625;81,8984375;57,46875;72,915625;72,63089005;4;;;0,162019211;0,091541366;0,041332021;0,017967758;-0,001398195;0,02050563
2;1;2015;62,85625;81,8984375;57,46875;72,915625;72,63089005;81,91822917;4;;;;;;;;
3;1;2015;81,8984375;57,46875;72,915625;72,63089005;81,91822917;75,15052083;0;;;;;;;;
4;1;2015;57,46875;72,915625;72,63089005;81,91822917;75,15052083;87,0296875;0;;;;;;;;
5;1;2015;72,915625;72,63089005;81,91822917;75,15052083;87,0296875;59,09270833;0;;;;;;;;
6;1;2015;72,63089005;81,91822917;75,15052083;87,0296875;59,09270833;44,2617801;3;;;;;;;;
7;1;2015;81,91822917;75,15052083;87,0296875;59,09270833;44,2617801;81,14611111;1;;;;;;;;
8;1;2015;75,15052083;87,0296875;59,09270833;44,2617801;81,14611111;96,80595238;2;;;;;;;;
9;1;2015;87,0296875;59,09270833;44,2617801;81,14611111;96,80595238;92,84107143;3;;;;;;;;
10;1;2015;59,09270833;44,2617801;81,14611111;96,80595238;92,84107143;78,50595238;3;;;;;;;;
11;1;2015;44,2617801;81,14611111;96,80595238;92,84107143;78,50595238;63,31833333;1;;;;;;;;
12;1;2015;81,14611111;96,80595238;92,84107143;78,50595238;63,31833333;55,06627907;5;;;;;;;;
13;1;2015;96,80595238;92,84107143;78,50595238;63,31833333;55,06627907;61,53928571;2;;;;;;;;
14;1;2015;92,84107143;78,50595238;63,31833333;55,06627907;61,53928571;75,80625;5;;;;;;;;
15;1;2015;78,50595238;63,31833333;55,06627907;61,53928571;75,80625;71,50104167;4;;;;;;;;
16;1;2015;63,31833333;55,06627907;61,53928571;75,80625;71,50104167;73,66145833;3;;;;;;;;
17;1;2015;55,06627907;61,53928571;75,80625;71,50104167;73,66145833;57,32864583;4;;;;;;;;
18;1;2015;61,53928571;75,80625;71,50104167;73,66145833;57,32864583;70,38802083;2;;;;;;;;
19;1;2015;75,80625;71,50104167;73,66145833;57,32864583;70,38802083;85,87135417;2;;;;;;;;
20;1;2015;71,50104167;73,66145833;57,32864583;70,38802083;85,87135417;65,91302083;4;;;;;;;;
21;1;2015;73,66145833;57,32864583;70,38802083;85,87135417;65,91302083;73,77291667;1;;;;;;;;
22;1;2015;57,32864583;70,38802083;85,87135417;65,91302083;73,77291667;99,76210526;1;;;;;;;;
23;1;2015;70,38802083;85,87135417;65,91302083;73,77291667;99,76210526;86,88125;2;;;;;;;;
24;1;2015;85,87135417;65,91302083;73,77291667;99,76210526;86,88125;92,428125;2;;;;;;;;
25;1;2015;65,91302083;73,77291667;99,76210526;86,88125;92,428125;68,28229167;4;;;;;;;;
26;1;2015;73,77291667;99,76210526;86,88125;92,428125;68,28229167;77,10677083;2;;;;;;;;
27;1;2015;99,76210526;86,88125;92,428125;68,28229167;77,10677083;66,83854167;4;;;;;;;;
28;1;2015;86,88125;92,428125;68,28229167;77,10677083;66,83854167;85,91666667;3;;;;;;;;
29;1;2015;92,428125;68,28229167;77,10677083;66,83854167;85,91666667;77,50625;2;;;;;;;;
30;1;2015;68,28229167;77,10677083;66,83854167;85,91666667;77,50625;78,71666667;2;;;;;;;;
31;1;2015;77,10677083;66,83854167;85,91666667;77,50625;78,71666667;65,428125;5;;;;;;;;
1;2;2015;66,83854167;85,91666667;77,50625;78,71666667;65,428125;78,925;1;;;;;;;;
2;2;2015;85,91666667;77,50625;78,71666667;65,428125;78,925;62,60364583;2;;;;;;;;
3;2;2015;77,50625;78,71666667;65,428125;78,925;62,60364583;53,75208333;3;;;;;;;;
4;2;2015;78,71666667;65,428125;78,925;62,60364583;53,75208333;77,56458333;3;;;;;;;;
5;2;2015;65,428125;78,925;62,60364583;53,75208333;77,56458333;98,2484375;1;;;;;;;;
6;2;2015;78,925;62,60364583;53,75208333;77,56458333;98,2484375;107,0947917;3;;;;;;;;
7;2;2015;62,60364583;53,75208333;77,56458333;98,2484375;107,0947917;109,873743;3;;;;;;;;
8;2;2015;53,75208333;77,56458333;98,2484375;107,0947917;109,873743;91,01270718;2;;;;;;;;
9;2;2015;77,56458333;98,2484375;107,0947917;109,873743;91,01270718;69,45364583;6;;;;;;;;
10;2;2015;98,2484375;107,0947917;109,873743;91,01270718;69,45364583;60,765625;1;;;;;;;;
11;2;2015;107,0947917;109,873743;91,01270718;69,45364583;60,765625;84,44583333;2;;;;;;;;
12;2;2015;109,873743;91,01270718;69,45364583;60,765625;84,44583333;78,18802083;2;;;;;;;;
13;2;2015;91,01270718;69,45364583;60,765625;84,44583333;78,18802083;73,13333333;1;;;;;;;;
14;2;2015;69,45364583;60,765625;84,44583333;78,18802083;73,13333333;90,31822917;1;;;;;;;;
15;2;2015;60,765625;84,44583333;78,18802083;73,13333333;90,31822917;85,43958333;4;;;;;;;;
16;2;2015;84,44583333;78,18802083;73,13333333;90,31822917;85,43958333;58,29635417;2;;;;;;;;
17;2;2015;78,18802083;73,13333333;90,31822917;85,43958333;58,29635417;44,83645833;4;;;;;;;;
18;2;2015;73,13333333;90,31822917;85,43958333;58,29635417;44,83645833;84,45208333;3;;;;;;;;
19;2;2015;90,31822917;85,43958333;58,29635417;44,83645833;84,45208333;80,5953125;5;;;;;;;;
20;2;2015;85,43958333;58,29635417;44,83645833;84,45208333;80,5953125;62,9921875;3;;;;;;;;
21;2;2015;58,29635417;44,83645833;84,45208333;80,5953125;62,9921875;75,13229167;4;;;;;;;;
22;2;2015;44,83645833;84,45208333;80,5953125;62,9921875;75,13229167;80,41302083;6;;;;;;;;
23;2;2015;84,45208333;80,5953125;62,9921875;75,13229167;80,41302083;76,82135417;4;;;;;;;;
24;2;2015;80,5953125;62,9921875;75,13229167;80,41302083;76,82135417;74,00885417;4;;;;;;;;
25;2;2015;62,9921875;75,13229167;80,41302083;76,82135417;74,00885417;70,3390625;3;;;;;;;;
26;2;2015;75,13229167;80,41302083;76,82135417;74,00885417;70,3390625;66,503125;2;;;;;;;;
27;2;2015;80,41302083;76,82135417;74,00885417;70,3390625;66,503125;62,20104167;1;;;;;;;;
28;2;2015;76,82135417;74,00885417;70,3390625;66,503125;62,20104167;45,88177083;10;;;;;;;;
1;3;2015;74,00885417;70,3390625;66,503125;62,20104167;45,88177083;71,3234375;5;;;;;;;;
2;3;2015;70,3390625;66,503125;62,20104167;45,88177083;71,3234375;59,8890625;4;;;;;;;;
3;3;2015;66,503125;62,20104167;45,88177083;71,3234375;59,8890625;65,975;6;;;;;;;;
4;3;2015;62,20104167;45,88177083;71,3234375;59,8890625;65,975;72,40729167;5;;;;;;;;
5;3;2015;45,88177083;71,3234375;59,8890625;65,975;72,40729167;84,53125;2;;;;;;;;
6;3;2015;71,3234375;59,8890625;65,975;72,40729167;84,53125;92,26875;3;;;;;;;;
7;3;2015;59,8890625;65,975;72,40729167;84,53125;92,26875;62,12447917;2;;;;;;;;
8;3;2015;65,975;72,40729167;84,53125;92,26875;62,12447917;76,653125;3;;;;;;;;
9;3;2015;72,40729167;84,53125;92,26875;62,12447917;76,653125;53,6453125;4;;;;;;;;
10;3;2015;84,53125;92,26875;62,12447917;76,653125;53,6453125;38,46979167;5;;;;;;;;
11;3;2015;92,26875;62,12447917;76,653125;53,6453125;38,46979167;61,90052083;10;;;;;;;;
12;3;2015;62,12447917;76,653125;53,6453125;38,46979167;61,90052083;78,62291667;3;;;;;;;;
13;3;2015;76,653125;53,6453125;38,46979167;61,90052083;78,62291667;71,8453125;4;;;;;;;;
14;3;2015;53,6453125;38,46979167;61,90052083;78,62291667;71,8453125;73,7890625;4;;;;;;;;
