Valore;Valore;Valore;Valore;Valore;Valore;COUNT;;;;;;;;;;
0,834414832;3,298611111;4,496990741;9,461342593;7,339580908;4,326218097;4;;;;;;;;;;
3,298611111;4,496990741;9,461342593;7,339580908;4,326218097;5,08599537;4;;;;;0;1;2;3;4;5
4,496990741;9,461342593;7,339580908;4,326218097;5,08599537;6,785069444;0;;;;;-0,108594117;-0,116389911;-0,113686783;-0,107372843;-0,113897847;-0,112072943
9,461342593;7,339580908;4,326218097;5,08599537;6,785069444;5,719324796;0;;;;;;;;;;
7,339580908;4,326218097;5,08599537;6,785069444;5,719324796;10,03615295;0;;;;;;;;;;
4,326218097;5,08599537;6,785069444;5,719324796;10,03615295;8,396064815;3;;;;;;;;;;
5,08599537;6,785069444;5,719324796;10,03615295;8,396064815;8,834722222;1;;;;;;;;;;
6,785069444;5,719324796;10,03615295;8,396064815;8,834722222;6,184375;2;;;;;;;;;;
5,719324796;10,03615295;8,396064815;8,834722222;6,184375;6,548667439;3;;;;;;;;;;
10,03615295;8,396064815;8,834722222;6,184375;6,548667439;4,620023148;3;;;;;;;;;;
8,396064815;8,834722222;6,184375;6,548667439;4,620023148;6,304307334;1;;;;;;;;;;
8,834722222;6,184375;6,548667439;4,620023148;6,304307334;8,192093023;5;;;;;;;;;;
6,184375;6,548667439;4,620023148;6,304307334;8,192093023;5,699652778;2;;;;;;;;;;
6,548667439;4,620023148;6,304307334;8,192093023;5,699652778;4,46099537;5;;;;;;;;;;
4,620023148;6,304307334;8,192093023;5,699652778;4,46099537;5,474768519;4;;;;;;;;;;
6,304307334;8,192093023;5,699652778;4,46099537;5,474768519;3,758912037;3;;;;;;;;;;
8,192093023;5,699652778;4,46099537;5,474768519;3,758912037;4,210416667;4;;;;;;;;;;
5,699652778;4,46099537;5,474768519;3,758912037;4,210416667;5,888773148;2;;;;;;;;;;
4,46099537;5,474768519;3,758912037;4,210416667;5,888773148;5,652546296;2;;;;;;;;;;
5,474768519;3,758912037;4,210416667;5,888773148;5,652546296;6,844212963;4;;;;;;;;;;
3,758912037;4,210416667;5,888773148;5,652546296;6,844212963;5,689699074;1;;;;;;;;;;
4,210416667;5,888773148;5,652546296;6,844212963;5,689699074;3,272800926;1;;;;;;;;;;
5,888773148;5,652546296;6,844212963;5,689699074;3,272800926;3,41412037;2;;;;;;;;;;
5,652546296;6,844212963;5,689699074;3,272800926;3,41412037;3,031286211;2;;;;;;;;;;
6,844212963;5,689699074;3,272800926;3,41412037;3,031286211;3,367476852;4;;;;;;;;;;
5,689699074;3,272800926;3,41412037;3,031286211;3,367476852;2,90162037;2;;;;;;;;;;
3,272800926;3,41412037;3,031286211;3,367476852;2,90162037;3,624709977;4;;;;;;;;;;
3,41412037;3,031286211;3,367476852;2,90162037;3,624709977;4,301736111;3;;;;;;;;;;
3,031286211;3,367476852;2,90162037;3,624709977;4,301736111;3,308217593;2;;;;;;;;;;
