DAY;MONTH;YEAR;Valore;Valore;Valore;Valore;Valore;Valore;COUNT;;;;;;;;
1;1;2016;1,616666667;1,4625;1,453125;1,503125;1,696875;1,715625;3;;;0;1;2;3;4;5
2;1;2016;1,4625;1,453125;1,503125;1,696875;1,715625;2,026041667;5;;;0,288980341;0,247571923;0,264458655;0,258200508;0,236598937;0,197024372
3;1;2016;1,453125;1,503125;1,696875;1,715625;2,026041667;1,988541667;3;;;;;;;;
4;1;2016;1,503125;1,696875;1,715625;2,026041667;1,988541667;2,057291667;1;;;;;;;;
5;1;2016;1,696875;1,715625;2,026041667;1,988541667;2,057291667;2,133333333;6;;;;;;;;
6;1;2016;1,715625;2,026041667;1,988541667;2,057291667;2,133333333;1,976041667;4;;;;;;;;
7;1;2016;2,026041667;1,988541667;2,057291667;2,133333333;1,976041667;1,865625;4;;;;;;;;
8;1;2016;1,988541667;2,057291667;2,133333333;1,976041667;1,865625;1,017808219;3;;;;;;;;
9;1;2016;2,057291667;2,133333333;1,976041667;1,865625;1,017808219;1,097701149;4;;;;;;;;
10;1;2016;2,133333333;1,976041667;1,865625;1,017808219;1,097701149;0,890697674;7;;;;;;;;
11;1;2016;1,976041667;1,865625;1,017808219;1,097701149;0,890697674;1,006944444;3;;;;;;;;
12;1;2016;1,865625;1,017808219;1,097701149;0,890697674;1,006944444;0,688888889;3;;;;;;;;
13;1;2016;1,017808219;1,097701149;0,890697674;1,006944444;0,688888889;1,086111111;8;;;;;;;;
14;1;2016;1,097701149;0,890697674;1,006944444;0,688888889;1,086111111;1,440277778;2;;;;;;;;
15;1;2016;0,890697674;1,006944444;0,688888889;1,086111111;1,440277778;1,468292683;2;;;;;;;;
16;1;2016;1,006944444;0,688888889;1,086111111;1,440277778;1,468292683;1,701041667;5;;;;;;;;
17;1;2016;0,688888889;1,086111111;1,440277778;1,468292683;1,701041667;1,801041667;4;;;;;;;;
18;1;2016;1,086111111;1,440277778;1,468292683;1,701041667;1,801041667;1,798958333;3;;;;;;;;
19;1;2016;1,440277778;1,468292683;1,701041667;1,801041667;1,798958333;1,751578947;1;;;;;;;;
20;1;2016;1,468292683;1,701041667;1,801041667;1,798958333;1,751578947;2,008333333;9;;;;;;;;
21;1;2016;1,701041667;1,801041667;1,798958333;1,751578947;2,008333333;2,003125;2;;;;;;;;
22;1;2016;1,801041667;1,798958333;1,751578947;2,008333333;2,003125;1,990625;1;;;;;;;;
23;1;2016;1,798958333;1,751578947;2,008333333;2,003125;1,990625;1,551041667;5;;;;;;;;
24;1;2016;1,751578947;2,008333333;2,003125;1,990625;1,551041667;1,730208333;7;;;;;;;;
25;1;2016;2,008333333;2,003125;1,990625;1,551041667;1,730208333;1,727083333;9;;;;;;;;
26;1;2016;2,003125;1,990625;1,551041667;1,730208333;1,727083333;1,521875;14;;;;;;;;
27;1;2016;1,990625;1,551041667;1,730208333;1,727083333;1,521875;1,534375;14;;;;;;;;
28;1;2016;1,551041667;1,730208333;1,727083333;1,521875;1,534375;1,38;6;;;;;;;;
29;1;2016;1,730208333;1,727083333;1,521875;1,534375;1,38;1,144791667;12;;;;;;;;
30;1;2016;1,727083333;1,521875;1,534375;1,38;1,144791667;0,872916667;11;;;;;;;;
31;1;2016;1,521875;1,534375;1,38;1,144791667;0,872916667;1,059375;9;;;;;;;;
1;2;2016;1,534375;1,38;1,144791667;0,872916667;1,059375;1,090625;4;;;;;;;;
2;2;2016;1,38;1,144791667;0,872916667;1,059375;1,090625;1,032291667;2;;;;;;;;
3;2;2016;1,144791667;0,872916667;1,059375;1,090625;1,032291667;0,944791667;2;;;;;;;;
4;2;2016;0,872916667;1,059375;1,090625;1,032291667;0,944791667;1,06875;5;;;;;;;;
5;2;2016;1,059375;1,090625;1,032291667;0,944791667;1,06875;0,702083333;1;;;;;;;;
6;2;2016;1,090625;1,032291667;0,944791667;1,06875;0,702083333;0,89375;5;;;;;;;;
7;2;2016;1,032291667;0,944791667;1,06875;0,702083333;0,89375;0,764583333;6;;;;;;;;
8;2;2016;0,944791667;1,06875;0,702083333;0,89375;0,764583333;0,760416667;4;;;;;;;;
9;2;2016;1,06875;0,702083333;0,89375;0,764583333;0,760416667;0,761458333;2;;;;;;;;
10;2;2016;0,702083333;0,89375;0,764583333;0,760416667;0,761458333;0,894791667;6;;;;;;;;
11;2;2016;0,89375;0,764583333;0,760416667;0,761458333;0,894791667;0,805208333;7;;;;;;;;
12;2;2016;0,764583333;0,760416667;0,761458333;0,894791667;0,805208333;0,834375;2;;;;;;;;
13;2;2016;0,760416667;0,761458333;0,894791667;0,805208333;0,834375;0,986458333;2;;;;;;;;
14;2;2016;0,761458333;0,894791667;0,805208333;0,834375;0,986458333;1,028125;3;;;;;;;;
15;2;2016;0,894791667;0,805208333;0,834375;0,986458333;1,028125;0,794791667;4;;;;;;;;
16;2;2016;0,805208333;0,834375;0,986458333;1,028125;0,794791667;0,8625;7;;;;;;;;
17;2;2016;0,834375;0,986458333;1,028125;0,794791667;0,8625;1,165625;3;;;;;;;;
18;2;2016;0,986458333;1,028125;0,794791667;0,8625;1,165625;1,03125;4;;;;;;;;
19;2;2016;1,028125;0,794791667;0,8625;1,165625;1,03125;1,1125;2;;;;;;;;
20;2;2016;0,794791667;0,8625;1,165625;1,03125;1,1125;0,771875;4;;;;;;;;
21;2;2016;0,8625;1,165625;1,03125;1,1125;0,771875;1,073958333;2;;;;;;;;
22;2;2016;1,165625;1,03125;1,1125;0,771875;1,073958333;0,879166667;6;;;;;;;;
23;2;2016;1,03125;1,1125;0,771875;1,073958333;0,879166667;0,9;1;;;;;;;;
24;2;2016;1,1125;0,771875;1,073958333;0,879166667;0,9;0,96875;2;;;;;;;;
25;2;2016;0,771875;1,073958333;0,879166667;0,9;0,96875;1,348958333;6;;;;;;;;
26;2;2016;1,073958333;0,879166667;0,9;0,96875;1,348958333;1,120833333;4;;;;;;;;
27;2;2016;0,879166667;0,9;0,96875;1,348958333;1,120833333;0,807291667;2;;;;;;;;
28;2;2016;0,9;0,96875;1,348958333;1,120833333;0,807291667;1,004166667;5;;;;;;;;
29;2;2016;0,96875;1,348958333;1,120833333;0,807291667;1,004166667;0,847916667;2;;;;;;;;
1;3;2016;1,348958333;1,120833333;0,807291667;1,004166667;0,847916667;0,929166667;2;;;;;;;;
2;3;2016;1,120833333;0,807291667;1,004166667;0,847916667;0,929166667;0,983333333;6;;;;;;;;
3;3;2016;0,807291667;1,004166667;0,847916667;0,929166667;0,983333333;1,123958333;3;;;;;;;;
4;3;2016;1,004166667;0,847916667;0,929166667;0,983333333;1,123958333;0,871875;6;;;;;;;;
5;3;2016;0,847916667;0,929166667;0,983333333;1,123958333;0,871875;1,051041667;5;;;;;;;;
6;3;2016;0,929166667;0,983333333;1,123958333;0,871875;1,051041667;1,109375;3;;;;;;;;
7;3;2016;0,983333333;1,123958333;0,871875;1,051041667;1,109375;1,02739726;5;;;;;;;;
8;3;2016;1,123958333;0,871875;1,051041667;1,109375;1,02739726;0,926388889;3;;;;;;;;
9;3;2016;0,871875;1,051041667;1,109375;1,02739726;0,926388889;0,995833333;5;;;;;;;;
10;3;2016;1,051041667;1,109375;1,02739726;0,926388889;0,995833333;1,126388889;7;;;;;;;;
11;3;2016;1,109375;1,02739726;0,926388889;0,995833333;1,126388889;0,901388889;10;;;;;;;;
12;3;2016;1,02739726;0,926388889;0,995833333;1,126388889;0,901388889;0,965151515;3;;;;;;;;
13;3;2016;0,926388889;0,995833333;1,126388889;0,901388889;0,965151515;1,3125;4;;;;;;;;
14;3;2016;0,995833333;1,126388889;0,901388889;0,965151515;1,3125;1,398591549;7;;;;;;;;
15;3;2016;1,126388889;0,901388889;0,965151515;1,3125;1,398591549;1,033333333;3;;;;;;;;
16;3;2016;0,901388889;0,965151515;1,3125;1,398591549;1,033333333;1,2;1;;;;;;;;
17;3;2016;0,965151515;1,3125;1,398591549;1,033333333;1,2;1,104166667;1;;;;;;;;
18;3;2016;1,3125;1,398591549;1,033333333;1,2;1,104166667;0,8875;6;;;;;;;;
19;3;2016;1,398591549;1,033333333;1,2;1,104166667;0,8875;0,941666667;4;;;;;;;;
20;3;2016;1,033333333;1,2;1,104166667;0,8875;0,941666667;0,886111111;4;;;;;;;;
21;3;2016;1,2;1,104166667;0,8875;0,941666667;0,886111111;0,952777778;1;;;;;;;;
22;3;2016;1,104166667;0,8875;0,941666667;0,886111111;0,952777778;0,858333333;2;;;;;;;;
23;3;2016;0,8875;0,941666667;0,886111111;0,952777778;0,858333333;0,886111111;6;;;;;;;;
24;3;2016;0,941666667;0,886111111;0,952777778;0,858333333;0,886111111;0,913888889;2;;;;;;;;
25;3;2016;0,886111111;0,952777778;0,858333333;0,886111111;0,913888889;1,019444444;2;;;;;;;;
26;3;2016;0,952777778;0,858333333;0,886111111;0,913888889;1,019444444;1,013888889;1;;;;;;;;
27;3;2016;0,858333333;0,886111111;0,913888889;1,019444444;1,013888889;0,709876543;5;;;;;;;;
28;3;2016;0,886111111;0,913888889;1,019444444;1,013888889;0,709876543;0,705208333;5;;;;;;;;
29;3;2016;0,913888889;1,019444444;1,013888889;0,709876543;0,705208333;0,721875;6;;;;;;;;
30;3;2016;1,019444444;1,013888889;0,709876543;0,705208333;0,721875;0,638541667;1;;;;;;;;
31;3;2016;1,013888889;0,709876543;0,705208333;0,721875;0,638541667;0,633333333;4;;;;;;;;
1;4;2016;0,709876543;0,705208333;0,721875;0,638541667;0,633333333;0,780208333;7;;;;;;;;
2;4;2016;0,705208333;0,721875;0,638541667;0,633333333;0,780208333;0,79375;6;;;;;;;;
