DAY;MONTH;YEAR;Valore;Valore;Valore;Valore;Valore;Valore;COUNT;;;;;;;;;
1;1;2016;44,46071429;43,21547619;47,25119048;43,34880952;47,57083333;43,89940476;3;;;;;;;;;
2;1;2016;43,21547619;47,25119048;43,34880952;47,57083333;43,89940476;66,34011976;5;;;;0;1;2;3;4;5
3;1;2016;47,25119048;43,34880952;47,57083333;43,89940476;66,34011976;60,43452381;3;;;;0,286476682;0,213219556;0,230659359;0,223200862;0,183052896;0,139448988
4;1;2016;43,34880952;47,57083333;43,89940476;66,34011976;60,43452381;54,35714286;1;;;;;;;;;
5;1;2016;47,57083333;43,89940476;66,34011976;60,43452381;54,35714286;48,36488095;6;;;;;;;;;
6;1;2016;43,89940476;66,34011976;60,43452381;54,35714286;48,36488095;46,50121951;4;;;;;;;;;
7;1;2016;66,34011976;60,43452381;54,35714286;48,36488095;46,50121951;65,11666667;4;;;;;;;;;
8;1;2016;60,43452381;54,35714286;48,36488095;46,50121951;65,11666667;66,60209424;3;;;;;;;;;
9;1;2016;54,35714286;48,36488095;46,50121951;65,11666667;66,60209424;68,49114583;4;;;;;;;;;
10;1;2016;48,36488095;46,50121951;65,11666667;66,60209424;68,49114583;57,74322917;7;;;;;;;;;
11;1;2016;46,50121951;65,11666667;66,60209424;68,49114583;57,74322917;61,50989583;3;;;;;;;;;
12;1;2016;65,11666667;66,60209424;68,49114583;57,74322917;61,50989583;36,70769231;3;;;;;;;;;
13;1;2016;66,60209424;68,49114583;57,74322917;61,50989583;36,70769231;71,57068063;8;;;;;;;;;
14;1;2016;68,49114583;57,74322917;61,50989583;36,70769231;71,57068063;81,99893617;2;;;;;;;;;
15;1;2016;57,74322917;61,50989583;36,70769231;71,57068063;81,99893617;85,77696335;2;;;;;;;;;
16;1;2016;61,50989583;36,70769231;71,57068063;81,99893617;85,77696335;94,81104972;5;;;;;;;;;
17;1;2016;36,70769231;71,57068063;81,99893617;85,77696335;94,81104972;98,34469274;4;;;;;;;;;
18;1;2016;71,57068063;81,99893617;85,77696335;94,81104972;98,34469274;88,40104167;3;;;;;;;;;
19;1;2016;81,99893617;85,77696335;94,81104972;98,34469274;88,40104167;79,71256545;1;;;;;;;;;
