DAY;MONTH;YEAR;Valore;Valore;Valore;Valore;Valore;Valore;COUNT;;;;;;;;
1;1;2016;120,1839286;95,51666667;81,20952381;81,37380952;114,9904762;87,40416667;3;;;;;;;;
2;1;2016;95,51666667;81,20952381;81,37380952;114,9904762;87,40416667;233,8245509;5;;;0;1;2;3;4;5
3;1;2016;81,20952381;81,37380952;114,9904762;87,40416667;233,8245509;190,397619;3;;;0,275780052;0,212751287;0,252675044;0,258750157;0,233198089;0,186921227
4;1;2016;81,37380952;114,9904762;87,40416667;233,8245509;190,397619;166,4779762;1;;;;;;;;
5;1;2016;114,9904762;87,40416667;233,8245509;190,397619;166,4779762;140,5642857;6;;;;;;;;
6;1;2016;87,40416667;233,8245509;190,397619;166,4779762;140,5642857;122,6908537;4;;;;;;;;
7;1;2016;233,8245509;190,397619;166,4779762;140,5642857;122,6908537;217,7863095;4;;;;;;;;
8;1;2016;190,397619;166,4779762;140,5642857;122,6908537;217,7863095;137,1230366;3;;;;;;;;
9;1;2016;166,4779762;140,5642857;122,6908537;217,7863095;137,1230366;173,6932292;4;;;;;;;;
10;1;2016;140,5642857;122,6908537;217,7863095;137,1230366;173,6932292;115,2890625;7;;;;;;;;
11;1;2016;122,6908537;217,7863095;137,1230366;173,6932292;115,2890625;136,0364583;3;;;;;;;;
12;1;2016;217,7863095;137,1230366;173,6932292;115,2890625;136,0364583;49,55621302;3;;;;;;;;
13;1;2016;137,1230366;173,6932292;115,2890625;136,0364583;49,55621302;167,4319372;8;;;;;;;;
14;1;2016;173,6932292;115,2890625;136,0364583;49,55621302;167,4319372;240,9255319;2;;;;;;;;
15;1;2016;115,2890625;136,0364583;49,55621302;167,4319372;240,9255319;270,7984293;2;;;;;;;;
16;1;2016;136,0364583;49,55621302;167,4319372;240,9255319;270,7984293;329,9483516;5;;;;;;;;
17;1;2016;49,55621302;167,4319372;240,9255319;270,7984293;329,9483516;336,3977654;4;;;;;;;;
18;1;2016;167,4319372;240,9255319;270,7984293;329,9483516;336,3977654;277,4666667;3;;;;;;;;
19;1;2016;240,9255319;270,7984293;329,9483516;336,3977654;277,4666667;215,860733;1;;;;;;;;
20;1;2016;270,7984293;329,9483516;336,3977654;277,4666667;215,860733;290,4463542;9;;;;;;;;
21;1;2016;329,9483516;336,3977654;277,4666667;215,860733;290,4463542;295,0880208;2;;;;;;;;
22;1;2016;336,3977654;277,4666667;215,860733;290,4463542;295,0880208;323,3291667;1;;;;;;;;
23;1;2016;277,4666667;215,860733;290,4463542;295,0880208;323,3291667;202,834375;5;;;;;;;;
24;1;2016;215,860733;290,4463542;295,0880208;323,3291667;202,834375;237,5792899;7;;;;;;;;
25;1;2016;290,4463542;295,0880208;323,3291667;202,834375;237,5792899;200,6297619;9;;;;;;;;
26;1;2016;295,0880208;323,3291667;202,834375;237,5792899;200,6297619;138,308377;14;;;;;;;;
27;1;2016;323,3291667;202,834375;237,5792899;200,6297619;138,308377;165,7953125;14;;;;;;;;
28;1;2016;202,834375;237,5792899;200,6297619;138,308377;165,7953125;127,6628743;6;;;;;;;;
29;1;2016;237,5792899;200,6297619;138,308377;165,7953125;127,6628743;147,4111111;12;;;;;;;;
30;1;2016;200,6297619;138,308377;165,7953125;127,6628743;147,4111111;103,7144737;11;;;;;;;;
31;1;2016;138,308377;165,7953125;127,6628743;147,4111111;103,7144737;124,6816993;9;;;;;;;;
1;2;2016;165,7953125;127,6628743;147,4111111;103,7144737;124,6816993;148,5708333;4;;;;;;;;
2;2;2016;127,6628743;147,4111111;103,7144737;124,6816993;148,5708333;112,0874251;2;;;;;;;;
3;2;2016;147,4111111;103,7144737;124,6816993;148,5708333;112,0874251;100,8803571;2;;;;;;;;
4;2;2016;103,7144737;124,6816993;148,5708333;112,0874251;100,8803571;175,1238095;5;;;;;;;;
5;2;2016;124,6816993;148,5708333;112,0874251;100,8803571;175,1238095;94,87083333;1;;;;;;;;
6;2;2016;148,5708333;112,0874251;100,8803571;175,1238095;94,87083333;171,24;5;;;;;;;;
7;2;2016;112,0874251;100,8803571;175,1238095;94,87083333;171,24;100,2059524;6;;;;;;;;
8;2;2016;100,8803571;175,1238095;94,87083333;171,24;100,2059524;84,03869048;4;;;;;;;;
9;2;2016;175,1238095;94,87083333;171,24;100,2059524;84,03869048;72,56190476;2;;;;;;;;
10;2;2016;94,87083333;171,24;100,2059524;84,03869048;72,56190476;108,852381;6;;;;;;;;
11;2;2016;171,24;100,2059524;84,03869048;72,56190476;108,852381;103,414881;7;;;;;;;;
12;2;2016;100,2059524;84,03869048;72,56190476;108,852381;103,414881;110,0869048;2;;;;;;;;
13;2;2016;84,03869048;72,56190476;108,852381;103,414881;110,0869048;133,2863095;2;;;;;;;;
14;2;2016;72,56190476;108,852381;103,414881;110,0869048;133,2863095;140,7594286;3;;;;;;;;
15;2;2016;108,852381;103,414881;110,0869048;133,2863095;140,7594286;85,98284024;4;;;;;;;;
16;2;2016;103,414881;110,0869048;133,2863095;140,7594286;85,98284024;77,89319372;7;;;;;;;;
17;2;2016;110,0869048;133,2863095;140,7594286;85,98284024;77,89319372;146,0154696;3;;;;;;;;
18;2;2016;133,2863095;140,7594286;85,98284024;77,89319372;146,0154696;97,83854167;4;;;;;;;;
