DAY;MONTH;YEAR;Valore;Valore;Valore;Valore;Valore;Valore;COUNT;;;;;;;;;
1;1;2016;43;34,66666667;36;37,66666667;37,33333333;46,33333333;3;;;;;;;;;
2;1;2016;34,66666667;36;37,66666667;37,33333333;46,33333333;56,33333333;5;;;;0;1;2;3;4;5
3;1;2016;36;37,66666667;37,33333333;46,33333333;56,33333333;50,33333333;3;;;;0,235692854;0,249628246;0,276778159;0,279532251;0,178753423;0,14437136
4;1;2016;37,66666667;37,33333333;46,33333333;56,33333333;50,33333333;45,66666667;1;;;;;;;;;
5;1;2016;37,33333333;46,33333333;56,33333333;50,33333333;45,66666667;34,33333333;6;;;;;;;;;
6;1;2016;46,33333333;56,33333333;50,33333333;45,66666667;34,33333333;39;4;;;;;;;;;
7;1;2016;56,33333333;50,33333333;45,66666667;34,33333333;39;23,66666667;4;;;;;;;;;
8;1;2016;50,33333333;45,66666667;34,33333333;39;23,66666667;33,33333333;3;;;;;;;;;
9;1;2016;45,66666667;34,33333333;39;23,66666667;33,33333333;30;4;;;;;;;;;
10;1;2016;34,33333333;39;23,66666667;33,33333333;30;27;7;;;;;;;;;
11;1;2016;39;23,66666667;33,33333333;30;27;8,5;3;;;;;;;;;
12;1;2016;23,66666667;33,33333333;30;27;8,5;23,66666667;3;;;;;;;;;
13;1;2016;33,33333333;30;27;8,5;23,66666667;47,33333333;8;;;;;;;;;
14;1;2016;30;27;8,5;23,66666667;47,33333333;64;2;;;;;;;;;
15;1;2016;27;8,5;23,66666667;47,33333333;64;88;2;;;;;;;;;
16;1;2016;8,5;23,66666667;47,33333333;64;88;98,33333333;5;;;;;;;;;
17;1;2016;23,66666667;47,33333333;64;88;98,33333333;97;4;;;;;;;;;
18;1;2016;47,33333333;64;88;98,33333333;97;116;3;;;;;;;;;
19;1;2016;64;88;98,33333333;97;116;109,3333333;1;;;;;;;;;
20;1;2016;88;98,33333333;97;116;109,3333333;63;9;;;;;;;;;
21;1;2016;98,33333333;97;116;109,3333333;63;87,33333333;2;;;;;;;;;
22;1;2016;97;116;109,3333333;63;87,33333333;99,33333333;1;;;;;;;;;
23;1;2016;116;109,3333333;63;87,33333333;99,33333333;83,33333333;5;;;;;;;;;
24;1;2016;109,3333333;63;87,33333333;99,33333333;83,33333333;137,3333333;7;;;;;;;;;
25;1;2016;63;87,33333333;99,33333333;83,33333333;137,3333333;96,33333333;9;;;;;;;;;
26;1;2016;87,33333333;99,33333333;83,33333333;137,3333333;96,33333333;58,66666667;14;;;;;;;;;
27;1;2016;99,33333333;83,33333333;137,3333333;96,33333333;58,66666667;85,33333333;14;;;;;;;;;
28;1;2016;83,33333333;137,3333333;96,33333333;58,66666667;85,33333333;32,66666667;6;;;;;;;;;
29;1;2016;137,3333333;96,33333333;58,66666667;85,33333333;32,66666667;17,66666667;12;;;;;;;;;
30;1;2016;96,33333333;58,66666667;85,33333333;32,66666667;17,66666667;39;11;;;;;;;;;
31;1;2016;58,66666667;85,33333333;32,66666667;17,66666667;39;53,66666667;9;;;;;;;;;
1;2;2016;85,33333333;32,66666667;17,66666667;39;53,66666667;38;4;;;;;;;;;
2;2;2016;32,66666667;17,66666667;39;53,66666667;38;25;2;;;;;;;;;
3;2;2016;17,66666667;39;53,66666667;38;25;37;2;;;;;;;;;
4;2;2016;39;53,66666667;38;25;37;13,66666667;5;;;;;;;;;
5;2;2016;53,66666667;38;25;37;13,66666667;23,33333333;1;;;;;;;;;
6;2;2016;38;25;37;13,66666667;23,33333333;34,33333333;5;;;;;;;;;
7;2;2016;25;37;13,66666667;23,33333333;34,33333333;50,66666667;6;;;;;;;;;
8;2;2016;37;13,66666667;23,33333333;34,33333333;50,66666667;39,33333333;4;;;;;;;;;
9;2;2016;13,66666667;23,33333333;34,33333333;50,66666667;39,33333333;37,33333333;2;;;;;;;;;
10;2;2016;23,33333333;34,33333333;50,66666667;39,33333333;37,33333333;18,66666667;6;;;;;;;;;
11;2;2016;34,33333333;50,66666667;39,33333333;37,33333333;18,66666667;14,33333333;7;;;;;;;;;
12;2;2016;50,66666667;39,33333333;37,33333333;18,66666667;14,33333333;29,5;2;;;;;;;;;
13;2;2016;39,33333333;37,33333333;18,66666667;14,33333333;29,5;39;2;;;;;;;;;
14;2;2016;37,33333333;18,66666667;14,33333333;29,5;39;20,66666667;3;;;;;;;;;
15;2;2016;18,66666667;14,33333333;29,5;39;20,66666667;27,33333333;4;;;;;;;;;
16;2;2016;14,33333333;29,5;39;20,66666667;27,33333333;70;7;;;;;;;;;
17;2;2016;29,5;39;20,66666667;27,33333333;70;81,33333333;3;;;;;;;;;
18;2;2016;39;20,66666667;27,33333333;70;81,33333333;44,33333333;4;;;;;;;;;
19;2;2016;20,66666667;27,33333333;70;81,33333333;44,33333333;27,33333333;2;;;;;;;;;
20;2;2016;27,33333333;70;81,33333333;44,33333333;27,33333333;49;4;;;;;;;;;
21;2;2016;70;81,33333333;44,33333333;27,33333333;49;22,66666667;2;;;;;;;;;
22;2;2016;81,33333333;44,33333333;27,33333333;49;22,66666667;15;6;;;;;;;;;
23;2;2016;44,33333333;27,33333333;49;22,66666667;15;16;1;;;;;;;;;
24;2;2016;27,33333333;49;22,66666667;15;16;34,5;2;;;;;;;;;
25;2;2016;49;22,66666667;15;16;34,5;37;6;;;;;;;;;
26;2;2016;22,66666667;15;16;34,5;37;9;4;;;;;;;;;
27;2;2016;15;16;34,5;37;9;27;2;;;;;;;;;
28;2;2016;16;34,5;37;9;27;13,66666667;5;;;;;;;;;
29;2;2016;34,5;37;9;27;13,66666667;32,66666667;2;;;;;;;;;
1;3;2016;37;9;27;13,66666667;32,66666667;44,66666667;2;;;;;;;;;
2;3;2016;9;27;13,66666667;32,66666667;44,66666667;38;6;;;;;;;;;
3;3;2016;27;13,66666667;32,66666667;44,66666667;38;21,5;3;;;;;;;;;
4;3;2016;13,66666667;32,66666667;44,66666667;38;21,5;35;6;;;;;;;;;
5;3;2016;32,66666667;44,66666667;38;21,5;35;34,33333333;5;;;;;;;;;
6;3;2016;44,66666667;38;21,5;35;34,33333333;36,66666667;3;;;;;;;;;
7;3;2016;38;21,5;35;34,33333333;36,66666667;24;5;;;;;;;;;
