Valore;Valore;Valore;Valore;Valore;Valore;COUNT;;;;;;;;;
2,474971031;1,634953704;1,711587486;2,037731481;3,413773148;4,957291667;3;;;;;;;;;
1,634953704;1,711587486;2,037731481;3,413773148;4,957291667;3,455659277;5;;;;0;1;2;3;4;5
1,711587486;2,037731481;3,413773148;4,957291667;3,455659277;3,422389791;3;;;;-0,16634252;-0,187105325;-0,189880312;-0,171214883;-0,171702068;-0,187798252
2,037731481;3,413773148;4,957291667;3,455659277;3,422389791;4,665121669;1;;;;;;;;;
3,413773148;4,957291667;3,455659277;3,422389791;4,665121669;5,336890951;6;;;;;;;;;
4,957291667;3,455659277;3,422389791;4,665121669;5,336890951;6,635110081;4;;;;;;;;;
3,455659277;3,422389791;4,665121669;5,336890951;6,635110081;6,697685185;4;;;;;;;;;
3,422389791;4,665121669;5,336890951;6,635110081;6,697685185;7,880439815;3;;;;;;;;;
4,665121669;5,336890951;6,635110081;6,697685185;7,880439815;3,727777778;4;;;;;;;;;
5,336890951;6,635110081;6,697685185;7,880439815;3,727777778;5,237962963;7;;;;;;;;;
6,635110081;6,697685185;7,880439815;3,727777778;5,237962963;5,771180556;3;;;;;;;;;
6,697685185;7,880439815;3,727777778;5,237962963;5,771180556;5,480092593;3;;;;;;;;;
7,880439815;3,727777778;5,237962963;5,771180556;5,480092593;1,786458333;8;;;;;;;;;
3,727777778;5,237962963;5,771180556;5,480092593;1,786458333;0,722453704;2;;;;;;;;;
5,237962963;5,771180556;5,480092593;1,786458333;0,722453704;1,050462963;2;;;;;;;;;
5,771180556;5,480092593;1,786458333;0,722453704;1,050462963;1,12974537;5;;;;;;;;;
5,480092593;1,786458333;0,722453704;1,050462963;1,12974537;1,925115741;4;;;;;;;;;
1,786458333;0,722453704;1,050462963;1,12974537;1,925115741;3,42014218;3;;;;;;;;;
0,722453704;1,050462963;1,12974537;1,925115741;3,42014218;3,810532407;1;;;;;;;;;
1,050462963;1,12974537;1,925115741;3,42014218;3,810532407;6,215197216;9;;;;;;;;;
1,12974537;1,925115741;3,42014218;3,810532407;6,215197216;8,207291667;2;;;;;;;;;
1,925115741;3,42014218;3,810532407;6,215197216;8,207291667;8,325115741;1;;;;;;;;;
3,42014218;3,810532407;6,215197216;8,207291667;8,325115741;9,843786295;5;;;;;;;;;
3,810532407;6,215197216;8,207291667;8,325115741;9,843786295;10,71969873;7;;;;;;;;;
6,215197216;8,207291667;8,325115741;9,843786295;10,71969873;8,545486111;9;;;;;;;;;
8,207291667;8,325115741;9,843786295;10,71969873;8,545486111;8,982039397;14;;;;;;;;;
8,325115741;9,843786295;10,71969873;8,545486111;8,982039397;6,672769409;14;;;;;;;;;
9,843786295;10,71969873;8,545486111;8,982039397;6,672769409;8,14375;6;;;;;;;;;
10,71969873;8,545486111;8,982039397;6,672769409;8,14375;8,775174014;12;;;;;;;;;
8,545486111;8,982039397;6,672769409;8,14375;8,775174014;9,069444444;11;;;;;;;;;
8,982039397;6,672769409;8,14375;8,775174014;9,069444444;7,161078546;9;;;;;;;;;
6,672769409;8,14375;8,775174014;9,069444444;7,161078546;5,844212963;4;;;;;;;;;
8,14375;8,775174014;9,069444444;7,161078546;5,844212963;5,912962963;2;;;;;;;;;
8,775174014;9,069444444;7,161078546;5,844212963;5,912962963;7,469097222;2;;;;;;;;;
9,069444444;7,161078546;5,844212963;5,912962963;7,469097222;8,527569528;5;;;;;;;;;
7,161078546;5,844212963;5,912962963;7,469097222;8,527569528;8,732291667;1;;;;;;;;;
5,844212963;5,912962963;7,469097222;8,527569528;8,732291667;6,194663573;5;;;;;;;;;
5,912962963;7,469097222;8,527569528;8,732291667;6,194663573;5,41875;6;;;;;;;;;
7,469097222;8,527569528;8,732291667;6,194663573;5,41875;4,406828704;4;;;;;;;;;
8,527569528;8,732291667;6,194663573;5,41875;4,406828704;5,256365741;2;;;;;;;;;
8,732291667;6,194663573;5,41875;4,406828704;5,256365741;7,655324074;6;;;;;;;;;
6,194663573;5,41875;4,406828704;5,256365741;7,655324074;7,614849188;7;;;;;;;;;
5,41875;4,406828704;5,256365741;7,655324074;7,614849188;5,892111369;2;;;;;;;;;
4,406828704;5,256365741;7,655324074;7,614849188;5,892111369;7,072800926;2;;;;;;;;;
5,256365741;7,655324074;7,614849188;5,892111369;7,072800926;8,551388889;3;;;;;;;;;
7,655324074;7,614849188;5,892111369;7,072800926;8,551388889;8,27037037;4;;;;;;;;;
7,614849188;5,892111369;7,072800926;8,551388889;8,27037037;10,09421296;7;;;;;;;;;
5,892111369;7,072800926;8,551388889;8,27037037;10,09421296;9,805439815;3;;;;;;;;;
7,072800926;8,551388889;8,27037037;10,09421296;9,805439815;10,18981481;4;;;;;;;;;
8,551388889;8,27037037;10,09421296;9,805439815;10,18981481;9,214467593;2;;;;;;;;;
8,27037037;10,09421296;9,805439815;10,18981481;9,214467593;7,904861111;4;;;;;;;;;
10,09421296;9,805439815;10,18981481;9,214467593;7,904861111;5,869560185;2;;;;;;;;;
9,805439815;10,18981481;9,214467593;7,904861111;5,869560185;5,297685185;6;;;;;;;;;
10,18981481;9,214467593;7,904861111;5,869560185;5,297685185;6,985069444;1;;;;;;;;;
9,214467593;7,904861111;5,869560185;5,297685185;6,985069444;9,555208333;2;;;;;;;;;
7,904861111;5,869560185;5,297685185;6,985069444;9,555208333;10,14855156;6;;;;;;;;;
5,869560185;5,297685185;6,985069444;9,555208333;10,14855156;10,25439815;4;;;;;;;;;
