Valore;Valore;Valore;Valore;Valore;Valore;COUNT;;;;;;;;;
87,027121;97,16;95,07236111;95,765;92,82472222;83,11625;3;;;;;;;;;
97,16;95,07236111;95,765;92,82472222;83,11625;82,8026648;5;;;;0;1;2;3;4;5
95,07236111;95,765;92,82472222;83,11625;82,8026648;85,16142061;3;;;;0,097808964;0,1911604;0,249323246;0,220616426;0,158754966;0,164636216
95,765;92,82472222;83,11625;82,8026648;85,16142061;95,29527121;1;;;;;;;;;
92,82472222;83,11625;82,8026648;85,16142061;95,29527121;94,85933148;6;;;;;;;;;
83,11625;82,8026648;85,16142061;95,29527121;94,85933148;97,11418637;4;;;;;;;;;
82,8026648;85,16142061;95,29527121;94,85933148;97,11418637;79,00930556;4;;;;;;;;;
85,16142061;95,29527121;94,85933148;97,11418637;79,00930556;43,19319444;3;;;;;;;;;
95,29527121;94,85933148;97,11418637;79,00930556;43,19319444;64,29722222;4;;;;;;;;;
94,85933148;97,11418637;79,00930556;43,19319444;64,29722222;53,35416667;7;;;;;;;;;
97,11418637;79,00930556;43,19319444;64,29722222;53,35416667;36,28458333;3;;;;;;;;;
79,00930556;43,19319444;64,29722222;53,35416667;36,28458333;23,42444444;3;;;;;;;;;
43,19319444;64,29722222;53,35416667;36,28458333;23,42444444;28,80555556;8;;;;;;;;;
64,29722222;53,35416667;36,28458333;23,42444444;28,80555556;42,1875;2;;;;;;;;;
53,35416667;36,28458333;23,42444444;28,80555556;42,1875;50,37041667;2;;;;;;;;;
36,28458333;23,42444444;28,80555556;42,1875;50,37041667;57,85833333;5;;;;;;;;;
23,42444444;28,80555556;42,1875;50,37041667;57,85833333;60,83791667;4;;;;;;;;;
28,80555556;42,1875;50,37041667;57,85833333;60,83791667;61,87;3;;;;;;;;;
42,1875;50,37041667;57,85833333;60,83791667;61,87;65,06652778;1;;;;;;;;;
50,37041667;57,85833333;60,83791667;61,87;65,06652778;66,84694444;9;;;;;;;;;
57,85833333;60,83791667;61,87;65,06652778;66,84694444;71,85569444;2;;;;;;;;;
60,83791667;61,87;65,06652778;66,84694444;71,85569444;78,20319444;1;;;;;;;;;
61,87;65,06652778;66,84694444;71,85569444;78,20319444;79,39874652;5;;;;;;;;;
65,06652778;66,84694444;71,85569444;78,20319444;79,39874652;74,07;7;;;;;;;;;
66,84694444;71,85569444;78,20319444;79,39874652;74,07;89,89263889;9;;;;;;;;;
71,85569444;78,20319444;79,39874652;74,07;89,89263889;87,10888889;14;;;;;;;;;
78,20319444;79,39874652;74,07;89,89263889;87,10888889;91,20333797;14;;;;;;;;;
79,39874652;74,07;89,89263889;87,10888889;91,20333797;96,61069444;6;;;;;;;;;
74,07;89,89263889;87,10888889;91,20333797;96,61069444;84,98652778;12;;;;;;;;;
89,89263889;87,10888889;91,20333797;96,61069444;84,98652778;31,85819444;11;;;;;;;;;
87,10888889;91,20333797;96,61069444;84,98652778;31,85819444;53,15730181;9;;;;;;;;;
