DAY;MONTH;YEAR;Valore;Valore;Valore;Valore;Valore;Valore;COUNT;;;;;;;
1;1;2017;4,866666667;4,766666667;3,5;0,866666667;1,533333333;2,3;6;;;;;;;
2;1;2017;4,766666667;3,5;0,866666667;1,533333333;2,3;2,333333333;2;;0;1;2;3;4;5
3;1;2017;3,5;0,866666667;1,533333333;2,3;2,333333333;3,833333333;13;;0,160898936;0,132523385;0,138326032;0,117235997;0,15084094;0,157326925
4;1;2017;0,866666667;1,533333333;2,3;2,333333333;3,833333333;3,4;4;;;;;;;
5;1;2017;1,533333333;2,3;2,333333333;3,833333333;3,4;2,9;6;;;;;;;
6;1;2017;2,3;2,333333333;3,833333333;3,4;2,9;3,266666667;6;;;;;;;
7;1;2017;2,333333333;3,833333333;3,4;2,9;3,266666667;2,466666667;7;;;;;;;
8;1;2017;3,833333333;3,4;2,9;3,266666667;2,466666667;1,733333333;3;;;;;;;
9;1;2017;3,4;2,9;3,266666667;2,466666667;1,733333333;2,133333333;5;;;;;;;
10;1;2017;2,9;3,266666667;2,466666667;1,733333333;2,133333333;3,45;6;;;;;;;
11;1;2017;3,266666667;2,466666667;1,733333333;2,133333333;3,45;3,066666667;7;;;;;;;
12;1;2017;2,466666667;1,733333333;2,133333333;3,45;3,066666667;4,733333333;7;;;;;;;
13;1;2017;1,733333333;2,133333333;3,45;3,066666667;4,733333333;4,966666667;7;;;;;;;
14;1;2017;2,133333333;3,45;3,066666667;4,733333333;4,966666667;5,4;8;;;;;;;
15;1;2017;3,45;3,066666667;4,733333333;4,966666667;5,4;5,3;3;;;;;;;
16;1;2017;3,066666667;4,733333333;4,966666667;5,4;5,3;4,8;7;;;;;;;
17;1;2017;4,733333333;4,966666667;5,4;5,3;4,8;4,766666667;8;;;;;;;
18;1;2017;4,966666667;5,4;5,3;4,8;4,766666667;6,166666667;4;;;;;;;
19;1;2017;5,4;5,3;4,8;4,766666667;6,166666667;5,2;5;;;;;;;
20;1;2017;5,3;4,8;4,766666667;6,166666667;5,2;5;2;;;;;;;
21;1;2017;4,8;4,766666667;6,166666667;5,2;5;4,05;9;;;;;;;
22;1;2017;4,766666667;6,166666667;5,2;5;4,05;3,95;3;;;;;;;
23;1;2017;6,166666667;5,2;5;4,05;3,95;5,2;6;;;;;;;
24;1;2017;5,2;5;4,05;3,95;5,2;5,6;7;;;;;;;
25;1;2017;5;4,05;3,95;5,2;5,6;5,2;4;;;;;;;
26;1;2017;4,05;3,95;5,2;5,6;5,2;5,55;5;;;;;;;
27;1;2017;3,95;5,2;5,6;5,2;5,55;6,9;4;;;;;;;
28;1;2017;5,2;5,6;5,2;5,55;6,9;5,15;7;;;;;;;
29;1;2017;5,6;5,2;5,55;6,9;5,15;4,4;2;;;;;;;
30;1;2017;5,2;5,55;6,9;5,15;4,4;2,85;4;;;;;;;
31;1;2017;5,55;6,9;5,15;4,4;2,85;3,6;5;;;;;;;
1;2;2017;6,9;5,15;4,4;2,85;3,6;3,766666667;4;;;;;;;
2;2;2017;5,15;4,4;2,85;3,6;3,766666667;3,066666667;7;;;;;;;
3;2;2017;4,4;2,85;3,6;3,766666667;3,066666667;2,666666667;12;;;;;;;
4;2;2017;2,85;3,6;3,766666667;3,066666667;2,666666667;3,2;2;;;;;;;
5;2;2017;3,6;3,766666667;3,066666667;2,666666667;3,2;3,466666667;10;;;;;;;
6;2;2017;3,766666667;3,066666667;2,666666667;3,2;3,466666667;3,733333333;7;;;;;;;
7;2;2017;3,066666667;2,666666667;3,2;3,466666667;3,733333333;3,566666667;3;;;;;;;
8;2;2017;2,666666667;3,2;3,466666667;3,733333333;3,566666667;3;2;;;;;;;
9;2;2017;3,2;3,466666667;3,733333333;3,566666667;3;4,033333333;4;;;;;;;
10;2;2017;3,466666667;3,733333333;3,566666667;3;4,033333333;4,9;5;;;;;;;
11;2;2017;3,733333333;3,566666667;3;4,033333333;4,9;3,4;4;;;;;;;
12;2;2017;3,566666667;3;4,033333333;4,9;3,4;3,05;6;;;;;;;
13;2;2017;3;4,033333333;4,9;3,4;3,05;2,8;2;;;;;;;
14;2;2017;4,033333333;4,9;3,4;3,05;2,8;3,2;3;;;;;;;
15;2;2017;4,9;3,4;3,05;2,8;3,2;3,1;4;;;;;;;
16;2;2017;3,4;3,05;2,8;3,2;3,1;3,466666667;4;;;;;;;
17;2;2017;3,05;2,8;3,2;3,1;3,466666667;5,066666667;6;;;;;;;
18;2;2017;2,8;3,2;3,1;3,466666667;5,066666667;4,833333333;11;;;;;;;
19;2;2017;3,2;3,1;3,466666667;5,066666667;4,833333333;1,733333333;11;;;;;;;
