DAY;MONTH;YEAR;Valore;Valore;Valore;Valore;Valore;Valore;COUNT;;;;;;;
1;1;2017;2,388888889;1,973611111;1,948611111;1,623611111;0,984722222;1,158333333;6;;;;;;;
2;1;2017;1,973611111;1,948611111;1,623611111;0,984722222;1,158333333;1,329166667;2;;0;1;2;3;4;5
3;1;2017;1,948611111;1,623611111;0,984722222;1,158333333;1,329166667;1,355555556;13;;0,208572764;0,156783002;0,136560207;0,154646033;0,114080059;0,155257593
4;1;2017;1,623611111;0,984722222;1,158333333;1,329166667;1,355555556;1,752777778;4;;;;;;;
5;1;2017;0,984722222;1,158333333;1,329166667;1,355555556;1,752777778;1,611111111;6;;;;;;;
6;1;2017;1,158333333;1,329166667;1,355555556;1,752777778;1,611111111;1,506944444;6;;;;;;;
7;1;2017;1,329166667;1,355555556;1,752777778;1,611111111;1,506944444;1,693055556;7;;;;;;;
8;1;2017;1,355555556;1,752777778;1,611111111;1,506944444;1,693055556;1,447222222;3;;;;;;;
9;1;2017;1,752777778;1,611111111;1,506944444;1,693055556;1,447222222;1,229166667;5;;;;;;;
10;1;2017;1,611111111;1,506944444;1,693055556;1,447222222;1,229166667;1,276388889;6;;;;;;;
11;1;2017;1,506944444;1,693055556;1,447222222;1,229166667;1,276388889;1,3125;7;;;;;;;
12;1;2017;1,693055556;1,447222222;1,229166667;1,276388889;1,3125;0,825;7;;;;;;;
13;1;2017;1,447222222;1,229166667;1,276388889;1,3125;0,825;1,201388889;7;;;;;;;
14;1;2017;1,229166667;1,276388889;1,3125;0,825;1,201388889;1,348611111;8;;;;;;;
15;1;2017;1,276388889;1,3125;0,825;1,201388889;1,348611111;1,543055556;3;;;;;;;
16;1;2017;1,3125;0,825;1,201388889;1,348611111;1,543055556;1,566666667;7;;;;;;;
17;1;2017;0,825;1,201388889;1,348611111;1,543055556;1,566666667;1,5375;8;;;;;;;
18;1;2017;1,201388889;1,348611111;1,543055556;1,566666667;1,5375;1,523611111;4;;;;;;;
19;1;2017;1,348611111;1,543055556;1,566666667;1,5375;1,523611111;1,972222222;5;;;;;;;
20;1;2017;1,543055556;1,566666667;1,5375;1,523611111;1,972222222;1,544444444;2;;;;;;;
21;1;2017;1,566666667;1,5375;1,523611111;1,972222222;1,544444444;1,402777778;9;;;;;;;
22;1;2017;1,5375;1,523611111;1,972222222;1,544444444;1,402777778;1,102777778;3;;;;;;;
23;1;2017;1,523611111;1,972222222;1,544444444;1,402777778;1,102777778;1,218055556;6;;;;;;;
24;1;2017;1,972222222;1,544444444;1,402777778;1,102777778;1,218055556;1,520833333;7;;;;;;;
25;1;2017;1,544444444;1,402777778;1,102777778;1,218055556;1,520833333;1,669444444;4;;;;;;;
26;1;2017;1,402777778;1,102777778;1,218055556;1,520833333;1,669444444;1,601388889;5;;;;;;;
27;1;2017;1,102777778;1,218055556;1,520833333;1,669444444;1,601388889;1,773611111;4;;;;;;;
28;1;2017;1,218055556;1,520833333;1,669444444;1,601388889;1,773611111;2,130555556;7;;;;;;;
29;1;2017;1,520833333;1,669444444;1,601388889;1,773611111;2,130555556;1,659722222;2;;;;;;;
30;1;2017;1,669444444;1,601388889;1,773611111;2,130555556;1,659722222;1,568055556;4;;;;;;;
31;1;2017;1,601388889;1,773611111;2,130555556;1,659722222;1,568055556;1,255555556;5;;;;;;;
1;2;2017;1,773611111;2,130555556;1,659722222;1,568055556;1,255555556;1,484722222;4;;;;;;;
2;2;2017;2,130555556;1,659722222;1,568055556;1,255555556;1,484722222;1,6125;7;;;;;;;
3;2;2017;1,659722222;1,568055556;1,255555556;1,484722222;1,6125;1,391666667;12;;;;;;;
4;2;2017;1,568055556;1,255555556;1,484722222;1,6125;1,391666667;1,138888889;2;;;;;;;
5;2;2017;1,255555556;1,484722222;1,6125;1,391666667;1,138888889;1,331944444;10;;;;;;;
6;2;2017;1,484722222;1,6125;1,391666667;1,138888889;1,331944444;1,455555556;7;;;;;;;
7;2;2017;1,6125;1,391666667;1,138888889;1,331944444;1,455555556;1,548611111;3;;;;;;;
8;2;2017;1,391666667;1,138888889;1,331944444;1,455555556;1,548611111;1,526388889;2;;;;;;;
9;2;2017;1,138888889;1,331944444;1,455555556;1,548611111;1,526388889;1,23442623;4;;;;;;;
10;2;2017;1,331944444;1,455555556;1,548611111;1,526388889;1,23442623;1,375;5;;;;;;;
11;2;2017;1,455555556;1,548611111;1,526388889;1,23442623;1,375;1,604166667;4;;;;;;;
12;2;2017;1,548611111;1,526388889;1,23442623;1,375;1,604166667;1,050943396;6;;;;;;;
13;2;2017;1,526388889;1,23442623;1,375;1,604166667;1,050943396;0,970833333;2;;;;;;;
14;2;2017;1,23442623;1,375;1,604166667;1,050943396;0,970833333;0,820689655;3;;;;;;;
15;2;2017;1,375;1,604166667;1,050943396;0,970833333;0,820689655;0,904225352;4;;;;;;;
16;2;2017;1,604166667;1,050943396;0,970833333;0,820689655;0,904225352;1,016666667;4;;;;;;;
17;2;2017;1,050943396;0,970833333;0,820689655;0,904225352;1,016666667;1,090277778;6;;;;;;;
18;2;2017;0,970833333;0,820689655;0,904225352;1,016666667;1,090277778;1,459722222;11;;;;;;;
19;2;2017;0,820689655;0,904225352;1,016666667;1,090277778;1,459722222;1,4375;11;;;;;;;
20;2;2017;0,904225352;1,016666667;1,090277778;1,459722222;1,4375;0,751388889;7;;;;;;;
21;2;2017;1,016666667;1,090277778;1,459722222;1,4375;0,751388889;0,883333333;11;;;;;;;
22;2;2017;1,090277778;1,459722222;1,4375;0,751388889;0,883333333;0,854166667;4;;;;;;;
23;2;2017;1,459722222;1,4375;0,751388889;0,883333333;0,854166667;1,006944444;2;;;;;;;
