DAY;MONTH;YEAR;Valore;Valore;Valore;Valore;Valore;Valore;COUNT;;;;;;;;
1;1;2017;73,34416667;73,19416667;78,655;67,53083333;35,57916667;49,08916667;6;;;;;;;;
2;1;2017;73,19416667;78,655;67,53083333;35,57916667;49,08916667;61,55333333;2;;;0;1;2;3;4;5
3;1;2017;78,655;67,53083333;35,57916667;49,08916667;61,55333333;58,33416667;13;;;0,221046008;0,158218073;0,101708985;0,128217702;0,100521308;0,136508825
4;1;2017;67,53083333;35,57916667;49,08916667;61,55333333;58,33416667;71,0975;4;;;;;;;;
5;1;2017;35,57916667;49,08916667;61,55333333;58,33416667;71,0975;67,94333333;6;;;;;;;;
6;1;2017;49,08916667;61,55333333;58,33416667;71,0975;67,94333333;57,5825;6;;;;;;;;
7;1;2017;61,55333333;58,33416667;71,0975;67,94333333;57,5825;56,02583333;7;;;;;;;;
8;1;2017;58,33416667;71,0975;67,94333333;57,5825;56,02583333;53,9275;3;;;;;;;;
9;1;2017;71,0975;67,94333333;57,5825;56,02583333;53,9275;60,94166667;5;;;;;;;;
10;1;2017;67,94333333;57,5825;56,02583333;53,9275;60,94166667;62,01008403;6;;;;;;;;
11;1;2017;57,5825;56,02583333;53,9275;60,94166667;62,01008403;86,26509434;7;;;;;;;;
12;1;2017;56,02583333;53,9275;60,94166667;62,01008403;86,26509434;86,56166667;7;;;;;;;;
13;1;2017;53,9275;60,94166667;62,01008403;86,26509434;86,56166667;85,18247423;7;;;;;;;;
14;1;2017;60,94166667;62,01008403;86,26509434;86,56166667;85,18247423;88,99270833;8;;;;;;;;
15;1;2017;62,01008403;86,26509434;86,56166667;85,18247423;88,99270833;97,48541667;3;;;;;;;;
16;1;2017;86,26509434;86,56166667;85,18247423;88,99270833;97,48541667;95,3;7;;;;;;;;
17;1;2017;86,56166667;85,18247423;88,99270833;97,48541667;95,3;85,7625;8;;;;;;;;
18;1;2017;85,18247423;88,99270833;97,48541667;95,3;85,7625;96,46458333;4;;;;;;;;
19;1;2017;88,99270833;97,48541667;95,3;85,7625;96,46458333;115,0065217;5;;;;;;;;
20;1;2017;97,48541667;95,3;85,7625;96,46458333;115,0065217;92,5287037;2;;;;;;;;
21;1;2017;95,3;85,7625;96,46458333;115,0065217;92,5287037;81,1975;9;;;;;;;;
