DAY;MONTH;YEAR;Valore;Valore;Valore;Valore;Valore;Valore;COUNT;;;;;;;
1;1;2017;295,1108333;262,715;261,09;180,4833333;55,0125;87,6775;6;;;;;;;
2;1;2017;262,715;261,09;180,4833333;55,0125;87,6775;110,0883333;2;;0;1;2;3;4;5
3;1;2017;261,09;180,4833333;55,0125;87,6775;110,0883333;98,28833333;13;;0,177767507;0,119325739;0,076429414;0,117230046;0,082716722;0,127226749
4;1;2017;180,4833333;55,0125;87,6775;110,0883333;98,28833333;179,5333333;4;;;;;;;
5;1;2017;55,0125;87,6775;110,0883333;98,28833333;179,5333333;148,02;6;;;;;;;
6;1;2017;87,6775;110,0883333;98,28833333;179,5333333;148,02;119,2116667;6;;;;;;;
7;1;2017;110,0883333;98,28833333;179,5333333;148,02;119,2116667;141,7683333;7;;;;;;;
8;1;2017;98,28833333;179,5333333;148,02;119,2116667;141,7683333;102,135;3;;;;;;;
9;1;2017;179,5333333;148,02;119,2116667;141,7683333;102,135;109,5866667;5;;;;;;;
10;1;2017;148,02;119,2116667;141,7683333;102,135;109,5866667;112,3722689;6;;;;;;;
11;1;2017;119,2116667;141,7683333;102,135;109,5866667;112,3722689;220,9842593;7;;;;;;;
12;1;2017;141,7683333;102,135;109,5866667;112,3722689;220,9842593;203,6833333;7;;;;;;;
13;1;2017;102,135;109,5866667;112,3722689;220,9842593;203,6833333;240,956701;7;;;;;;;
14;1;2017;109,5866667;112,3722689;220,9842593;203,6833333;240,956701;269,675;8;;;;;;;
15;1;2017;112,3722689;220,9842593;203,6833333;240,956701;269,675;309,821875;3;;;;;;;
16;1;2017;220,9842593;203,6833333;240,956701;269,675;309,821875;293,5489583;7;;;;;;;
17;1;2017;203,6833333;240,956701;269,675;309,821875;293,5489583;243,3708333;8;;;;;;;
18;1;2017;240,956701;269,675;309,821875;293,5489583;243,3708333;285,9989583;4;;;;;;;
19;1;2017;269,675;309,821875;293,5489583;243,3708333;285,9989583;412,7347826;5;;;;;;;
20;1;2017;309,821875;293,5489583;243,3708333;285,9989583;412,7347826;240,5583333;2;;;;;;;
21;1;2017;293,5489583;243,3708333;285,9989583;412,7347826;240,5583333;202,1383333;9;;;;;;;
22;1;2017;243,3708333;285,9989583;412,7347826;240,5583333;202,1383333;145,245;3;;;;;;;
23;1;2017;285,9989583;412,7347826;240,5583333;202,1383333;145,245;167,1341667;6;;;;;;;
