DAY;MONTH;YEAR;Valore;Valore;Valore;Valore;Valore;Valore;COUNT;;;;;;;;
1;1;2017;7,216;3,954166667;9,729166667;18,31914894;53,125;35,50625;6;;;;;;;;
2;1;2017;3,954166667;9,729166667;18,31914894;53,125;35,50625;21,89583333;2;;;0;1;2;3;4;5
3;1;2017;9,729166667;18,31914894;53,125;35,50625;21,89583333;26,06875;13;;;-0,253519872;-0,227069745;-0,186877598;-0,186426039;-0,168540963;-0,163358711
4;1;2017;18,31914894;53,125;35,50625;21,89583333;26,06875;14,84166667;4;;;;;;;;
5;1;2017;53,125;35,50625;21,89583333;26,06875;14,84166667;12,36458333;6;;;;;;;;
6;1;2017;35,50625;21,89583333;26,06875;14,84166667;12,36458333;18,18958333;6;;;;;;;;
7;1;2017;21,89583333;26,06875;14,84166667;12,36458333;18,18958333;6,74375;7;;;;;;;;
8;1;2017;26,06875;14,84166667;12,36458333;18,18958333;6,74375;13,90625;3;;;;;;;;
9;1;2017;14,84166667;12,36458333;18,18958333;6,74375;13,90625;17,63958333;5;;;;;;;;
10;1;2017;12,36458333;18,18958333;6,74375;13,90625;17,63958333;20,05833333;6;;;;;;;;
11;1;2017;18,18958333;6,74375;13,90625;17,63958333;20,05833333;11,44583333;7;;;;;;;;
12;1;2017;6,74375;13,90625;17,63958333;20,05833333;11,44583333;10,56875;7;;;;;;;;
13;1;2017;13,90625;17,63958333;20,05833333;11,44583333;10,56875;10,94166667;7;;;;;;;;
14;1;2017;17,63958333;20,05833333;11,44583333;10,56875;10,94166667;12,48125;8;;;;;;;;
15;1;2017;20,05833333;11,44583333;10,56875;10,94166667;12,48125;8,979166667;3;;;;;;;;
16;1;2017;11,44583333;10,56875;10,94166667;12,48125;8,979166667;10,24791667;7;;;;;;;;
17;1;2017;10,56875;10,94166667;12,48125;8,979166667;10,24791667;17,34375;8;;;;;;;;
18;1;2017;10,94166667;12,48125;8,979166667;10,24791667;17,34375;7,677083333;4;;;;;;;;
19;1;2017;12,48125;8,979166667;10,24791667;17,34375;7,677083333;9,45;5;;;;;;;;
20;1;2017;8,979166667;10,24791667;17,34375;7,677083333;9,45;14,72083333;2;;;;;;;;
21;1;2017;10,24791667;17,34375;7,677083333;9,45;14,72083333;13,79791667;9;;;;;;;;
22;1;2017;17,34375;7,677083333;9,45;14,72083333;13,79791667;9,683333333;3;;;;;;;;
23;1;2017;7,677083333;9,45;14,72083333;13,79791667;9,683333333;5,44375;6;;;;;;;;
24;1;2017;9,45;14,72083333;13,79791667;9,683333333;5,44375;4,322916667;7;;;;;;;;
25;1;2017;14,72083333;13,79791667;9,683333333;5,44375;4,322916667;2,395833333;4;;;;;;;;
26;1;2017;13,79791667;9,683333333;5,44375;4,322916667;2,395833333;2,089583333;5;;;;;;;;
27;1;2017;9,683333333;5,44375;4,322916667;2,395833333;2,089583333;1,722916667;4;;;;;;;;
28;1;2017;5,44375;4,322916667;2,395833333;2,089583333;1,722916667;1,44375;7;;;;;;;;
29;1;2017;4,322916667;2,395833333;2,089583333;1,722916667;1,44375;1,797916667;2;;;;;;;;
30;1;2017;2,395833333;2,089583333;1,722916667;1,44375;1,797916667;1,7875;4;;;;;;;;
31;1;2017;2,089583333;1,722916667;1,44375;1,797916667;1,7875;3,627083333;5;;;;;;;;
