DAY;MONTH;YEAR;Valore;Valore;Valore;Valore;Valore;Valore;COUNT;;;;;;;
1;1;2017;71;72;51;16,33333333;19,33333333;41;6;;;;;;;
2;1;2017;72;51;16,33333333;19,33333333;41;39,33333333;2;;0;1;2;3;4;5
3;1;2017;51;16,33333333;19,33333333;41;39,33333333;77,66666667;13;;0,123063603;0,130756611;0,125823551;0,082558939;0,087525556;0,095627872
4;1;2017;16,33333333;19,33333333;41;39,33333333;77,66666667;64,33333333;4;;;;;;;
5;1;2017;19,33333333;41;39,33333333;77,66666667;64,33333333;48;6;;;;;;;
6;1;2017;41;39,33333333;77,66666667;64,33333333;48;62,33333333;6;;;;;;;
7;1;2017;39,33333333;77,66666667;64,33333333;48;62,33333333;34;7;;;;;;;
8;1;2017;77,66666667;64,33333333;48;62,33333333;34;18,66666667;3;;;;;;;
9;1;2017;64,33333333;48;62,33333333;34;18,66666667;33;5;;;;;;;
10;1;2017;48;62,33333333;34;18,66666667;33;31;6;;;;;;;
11;1;2017;62,33333333;34;18,66666667;33;31;38;7;;;;;;;
12;1;2017;34;18,66666667;33;31;38;62;7;;;;;;;
13;1;2017;18,66666667;33;31;38;62;59,5;7;;;;;;;
14;1;2017;33;31;38;62;59,5;75,66666667;8;;;;;;;
15;1;2017;31;38;62;59,5;75,66666667;93;3;;;;;;;
16;1;2017;38;62;59,5;75,66666667;93;63,66666667;7;;;;;;;
17;1;2017;62;59,5;75,66666667;93;63,66666667;66,66666667;8;;;;;;;
18;1;2017;59,5;75,66666667;93;63,66666667;66,66666667;76;4;;;;;;;
19;1;2017;75,66666667;93;63,66666667;66,66666667;76;59,66666667;5;;;;;;;
20;1;2017;93;63,66666667;66,66666667;76;59,66666667;68;2;;;;;;;
21;1;2017;63,66666667;66,66666667;76;59,66666667;68;72,66666667;9;;;;;;;
22;1;2017;66,66666667;76;59,66666667;68;72,66666667;99,66666667;3;;;;;;;
23;1;2017;76;59,66666667;68;72,66666667;99,66666667;132,6666667;6;;;;;;;
24;1;2017;59,66666667;68;72,66666667;99,66666667;132,6666667;161;7;;;;;;;
25;1;2017;68;72,66666667;99,66666667;132,6666667;161;158,3333333;4;;;;;;;
26;1;2017;72,66666667;99,66666667;132,6666667;161;158,3333333;150,6666667;5;;;;;;;
27;1;2017;99,66666667;132,6666667;161;158,3333333;150,6666667;125;4;;;;;;;
28;1;2017;132,6666667;161;158,3333333;150,6666667;125;48,66666667;7;;;;;;;
29;1;2017;161;158,3333333;150,6666667;125;48,66666667;35;2;;;;;;;
30;1;2017;158,3333333;150,6666667;125;48,66666667;35;33,66666667;4;;;;;;;
31;1;2017;150,6666667;125;48,66666667;35;33,66666667;39,5;5;;;;;;;
1;2;2017;125;48,66666667;35;33,66666667;39,5;45;4;;;;;;;
2;2;2017;48,66666667;35;33,66666667;39,5;45;39,5;7;;;;;;;
3;2;2017;35;33,66666667;39,5;45;39,5;39,66666667;12;;;;;;;
4;2;2017;33,66666667;39,5;45;39,5;39,66666667;36,66666667;2;;;;;;;
5;2;2017;39,5;45;39,5;39,66666667;36,66666667;55,33333333;10;;;;;;;
6;2;2017;45;39,5;39,66666667;36,66666667;55,33333333;51,66666667;7;;;;;;;
7;2;2017;39,5;39,66666667;36,66666667;55,33333333;51,66666667;55,66666667;3;;;;;;;
8;2;2017;39,66666667;36,66666667;55,33333333;51,66666667;55,66666667;46,33333333;2;;;;;;;
9;2;2017;36,66666667;55,33333333;51,66666667;55,66666667;46,33333333;58,66666667;4;;;;;;;
10;2;2017;55,33333333;51,66666667;55,66666667;46,33333333;58,66666667;67;5;;;;;;;
11;2;2017;51,66666667;55,66666667;46,33333333;58,66666667;67;45,66666667;4;;;;;;;
12;2;2017;55,66666667;46,33333333;58,66666667;67;45,66666667;96;6;;;;;;;
13;2;2017;46,33333333;58,66666667;67;45,66666667;96;83,33333333;2;;;;;;;
14;2;2017;58,66666667;67;45,66666667;96;83,33333333;82,5;3;;;;;;;
15;2;2017;67;45,66666667;96;83,33333333;82,5;61,33333333;4;;;;;;;
16;2;2017;45,66666667;96;83,33333333;82,5;61,33333333;92,33333333;4;;;;;;;
17;2;2017;96;83,33333333;82,5;61,33333333;92,33333333;75;6;;;;;;;
18;2;2017;83,33333333;82,5;61,33333333;92,33333333;75;87;11;;;;;;;
19;2;2017;82,5;61,33333333;92,33333333;75;87;34,66666667;11;;;;;;;
20;2;2017;61,33333333;92,33333333;75;87;34,66666667;45,33333333;7;;;;;;;
21;2;2017;92,33333333;75;87;34,66666667;45,33333333;48,33333333;11;;;;;;;
22;2;2017;75;87;34,66666667;45,33333333;48,33333333;49;4;;;;;;;
23;2;2017;87;34,66666667;45,33333333;48,33333333;49;27,33333333;2;;;;;;;
24;2;2017;34,66666667;45,33333333;48,33333333;49;27,33333333;42,33333333;3;;;;;;;
25;2;2017;45,33333333;48,33333333;49;27,33333333;42,33333333;52,5;5;;;;;;;
26;2;2017;48,33333333;49;27,33333333;42,33333333;52,5;33;1;;;;;;;
27;2;2017;49;27,33333333;42,33333333;52,5;33;16,33333333;1;;;;;;;
28;2;2017;27,33333333;42,33333333;52,5;33;16,33333333;30;2;;;;;;;
1;3;2017;42,33333333;52,5;33;16,33333333;30;15,33333333;5;;;;;;;
2;3;2017;52,5;33;16,33333333;30;15,33333333;24;6;;;;;;;
3;3;2017;33;16,33333333;30;15,33333333;24;47,33333333;9;;;;;;;
4;3;2017;16,33333333;30;15,33333333;24;47,33333333;40;6;;;;;;;
5;3;2017;30;15,33333333;24;47,33333333;40;23,5;6;;;;;;;
6;3;2017;15,33333333;24;47,33333333;40;23,5;23,66666667;4;;;;;;;
7;3;2017;24;47,33333333;40;23,5;23,66666667;35;7;;;;;;;
8;3;2017;47,33333333;40;23,5;23,66666667;35;62;3;;;;;;;
9;3;2017;40;23,5;23,66666667;35;62;81,66666667;6;;;;;;;
10;3;2017;23,5;23,66666667;35;62;81,66666667;116,3333333;6;;;;;;;
11;3;2017;23,66666667;35;62;81,66666667;116,3333333;111,5;6;;;;;;;
12;3;2017;35;62;81,66666667;116,3333333;111,5;36,66666667;4;;;;;;;
13;3;2017;62;81,66666667;116,3333333;111,5;36,66666667;44;4;;;;;;;
14;3;2017;81,66666667;116,3333333;111,5;36,66666667;44;81,5;5;;;;;;;
15;3;2017;116,3333333;111,5;36,66666667;44;81,5;96,5;3;;;;;;;
16;3;2017;111,5;36,66666667;44;81,5;96,5;63;3;;;;;;;
17;3;2017;36,66666667;44;81,5;96,5;63;44,5;8;;;;;;;
18;3;2017;44;81,5;96,5;63;44,5;31,5;4;;;;;;;
19;3;2017;81,5;96,5;63;44,5;31,5;46,5;5;;;;;;;
20;3;2017;96,5;63;44,5;31,5;46,5;16;7;;;;;;;
21;3;2017;63;44,5;31,5;46,5;16;29,5;3;;;;;;;
22;3;2017;44,5;31,5;46,5;16;29,5;41;4;;;;;;;
23;3;2017;31,5;46,5;16;29,5;41;44,66666667;2;;;;;;;
24;3;2017;46,5;16;29,5;41;44,66666667;49,33333333;2;;;;;;;
25;3;2017;16;29,5;41;44,66666667;49,33333333;52;7;;;;;;;
26;3;2017;29,5;41;44,66666667;49,33333333;52;32,33333333;5;;;;;;;
27;3;2017;41;44,66666667;49,33333333;52;32,33333333;33,5;4;;;;;;;
28;3;2017;44,66666667;49,33333333;52;32,33333333;33,5;36,33333333;5;;;;;;;
29;3;2017;49,33333333;52;32,33333333;33,5;36,33333333;35,33333333;10;;;;;;;
30;3;2017;52;32,33333333;33,5;36,33333333;35,33333333;19;5;;;;;;;
31;3;2017;32,33333333;33,5;36,33333333;35,33333333;19;28;7;;;;;;;
1;4;2017;33,5;36,33333333;35,33333333;19;28;39,66666667;2;;;;;;;
2;4;2017;36,33333333;35,33333333;19;28;39,66666667;44,66666667;1;;;;;;;
3;4;2017;35,33333333;19;28;39,66666667;44,66666667;46,66666667;8;;;;;;;
4;4;2017;19;28;39,66666667;44,66666667;46,66666667;37,66666667;7;;;;;;;
5;4;2017;28;39,66666667;44,66666667;46,66666667;37,66666667;36,33333333;5;;;;;;;
6;4;2017;39,66666667;44,66666667;46,66666667;37,66666667;36,33333333;35;6;;;;;;;
7;4;2017;44,66666667;46,66666667;37,66666667;36,33333333;35;32,33333333;10;;;;;;;
8;4;2017;46,66666667;37,66666667;36,33333333;35;32,33333333;29,66666667;8;;;;;;;
9;4;2017;37,66666667;36,33333333;35;32,33333333;29,66666667;28,33333333;4;;;;;;;
10;4;2017;36,33333333;35;32,33333333;29,66666667;28,33333333;18,33333333;3;;;;;;;
11;4;2017;35;32,33333333;29,66666667;28,33333333;18,33333333;14,66666667;6;;;;;;;
12;4;2017;32,33333333;29,66666667;28,33333333;18,33333333;14,66666667;24,66666667;6;;;;;;;
13;4;2017;29,66666667;28,33333333;18,33333333;14,66666667;24,66666667;14;2;;;;;;;
14;4;2017;28,33333333;18,33333333;14,66666667;24,66666667;14;16;1;;;;;;;
15;4;2017;18,33333333;14,66666667;24,66666667;14;16;27,5;1;;;;;;;
16;4;2017;14,66666667;24,66666667;14;16;27,5;29;2;;;;;;;
17;4;2017;24,66666667;14;16;27,5;29;24,33333333;4;;;;;;;
18;4;2017;14;16;27,5;29;24,33333333;31,66666667;2;;;;;;;
19;4;2017;16;27,5;29;24,33333333;31,66666667;35;5;;;;;;;
20;4;2017;27,5;29;24,33333333;31,66666667;35;17,33333333;8;;;;;;;
21;4;2017;29;24,33333333;31,66666667;35;17,33333333;17,66666667;5;;;;;;;
22;4;2017;24,33333333;31,66666667;35;17,33333333;17,66666667;9,666666667;2;;;;;;;
23;4;2017;31,66666667;35;17,33333333;17,66666667;9,666666667;18,66666667;6;;;;;;;
24;4;2017;35;17,33333333;17,66666667;9,666666667;18,66666667;18,66666667;5;;;;;;;
25;4;2017;17,33333333;17,66666667;9,666666667;18,66666667;18,66666667;19,33333333;5;;;;;;;
26;4;2017;17,66666667;9,666666667;18,66666667;18,66666667;19,33333333;13;6;;;;;;;
27;4;2017;9,666666667;18,66666667;18,66666667;19,33333333;13;12;7;;;;;;;
28;4;2017;18,66666667;18,66666667;19,33333333;13;12;16,66666667;8;;;;;;;
29;4;2017;18,66666667;19,33333333;13;12;16,66666667;21,66666667;3;;;;;;;
30;4;2017;19,33333333;13;12;16,66666667;21,66666667;27,33333333;4;;;;;;;
1;5;2017;13;12;16,66666667;21,66666667;27,33333333;19;3;;;;;;;
2;5;2017;12;16,66666667;21,66666667;27,33333333;19;16,66666667;7;;;;;;;
3;5;2017;16,66666667;21,66666667;27,33333333;19;16,66666667;12,66666667;8;;;;;;;
4;5;2017;21,66666667;27,33333333;19;16,66666667;12,66666667;21,33333333;5;;;;;;;
5;5;2017;27,33333333;19;16,66666667;12,66666667;21,33333333;26;11;;;;;;;
6;5;2017;19;16,66666667;12,66666667;21,33333333;26;25;9;;;;;;;
7;5;2017;16,66666667;12,66666667;21,33333333;26;25;15,66666667;6;;;;;;;
8;5;2017;12,66666667;21,33333333;26;25;15,66666667;19;7;;;;;;;
9;5;2017;21,33333333;26;25;15,66666667;19;16,66666667;4;;;;;;;
10;5;2017;26;25;15,66666667;19;16,66666667;17,33333333;2;;;;;;;
11;5;2017;25;15,66666667;19;16,66666667;17,33333333;25,33333333;2;;;;;;;
12;5;2017;15,66666667;19;16,66666667;17,33333333;25,33333333;25,33333333;10;;;;;;;
13;5;2017;19;16,66666667;17,33333333;25,33333333;25,33333333;24;5;;;;;;;
14;5;2017;16,66666667;17,33333333;25,33333333;25,33333333;24;11,66666667;3;;;;;;;
15;5;2017;17,33333333;25,33333333;25,33333333;24;11,66666667;13,66666667;5;;;;;;;
16;5;2017;25,33333333;25,33333333;24;11,66666667;13,66666667;18,66666667;6;;;;;;;
17;5;2017;25,33333333;24;11,66666667;13,66666667;18,66666667;20,66666667;5;;;;;;;
18;5;2017;24;11,66666667;13,66666667;18,66666667;20,66666667;26;4;;;;;;;
19;5;2017;11,66666667;13,66666667;18,66666667;20,66666667;26;30,66666667;4;;;;;;;
20;5;2017;13,66666667;18,66666667;20,66666667;26;30,66666667;19,66666667;2;;;;;;;
21;5;2017;18,66666667;20,66666667;26;30,66666667;19,66666667;25,66666667;0;;;;;;;
22;5;2017;20,66666667;26;30,66666667;19,66666667;25,66666667;24;5;;;;;;;
23;5;2017;26;30,66666667;19,66666667;25,66666667;24;26,33333333;4;;;;;;;
24;5;2017;30,66666667;19,66666667;25,66666667;24;26,33333333;24;3;;;;;;;
25;5;2017;19,66666667;25,66666667;24;26,33333333;24;20,66666667;4;;;;;;;
26;5;2017;25,66666667;24;26,33333333;24;20,66666667;22,33333333;5;;;;;;;
27;5;2017;24;26,33333333;24;20,66666667;22,33333333;16,33333333;6;;;;;;;
28;5;2017;26,33333333;24;20,66666667;22,33333333;16,33333333;20,66666667;5;;;;;;;
29;5;2017;24;20,66666667;22,33333333;16,33333333;20,66666667;17,33333333;6;;;;;;;
30;5;2017;20,66666667;22,33333333;16,33333333;20,66666667;17,33333333;19,66666667;8;;;;;;;
31;5;2017;22,33333333;16,33333333;20,66666667;17,33333333;19,66666667;19;5;;;;;;;
1;6;2017;16,33333333;20,66666667;17,33333333;19,66666667;19;12,66666667;2;;;;;;;
2;6;2017;20,66666667;17,33333333;19,66666667;19;12,66666667;20;1;;;;;;;
3;6;2017;17,33333333;19,66666667;19;12,66666667;20;37;2;;;;;;;
4;6;2017;19,66666667;19;12,66666667;20;37;43;3;;;;;;;
5;6;2017;19;12,66666667;20;37;43;36,5;3;;;;;;;
6;6;2017;12,66666667;20;37;43;36,5;31;7;;;;;;;
7;6;2017;20;37;43;36,5;31;29,33333333;6;;;;;;;
8;6;2017;37;43;36,5;31;29,33333333;34;6;;;;;;;
9;6;2017;43;36,5;31;29,33333333;34;30,66666667;2;;;;;;;
10;6;2017;36,5;31;29,33333333;34;30,66666667;22;3;;;;;;;
11;6;2017;31;29,33333333;34;30,66666667;22;23,66666667;7;;;;;;;
12;6;2017;29,33333333;34;30,66666667;22;23,66666667;16,33333333;4;;;;;;;
13;6;2017;34;30,66666667;22;23,66666667;16,33333333;19,66666667;3;;;;;;;
14;6;2017;30,66666667;22;23,66666667;16,33333333;19,66666667;25,5;3;;;;;;;
15;6;2017;22;23,66666667;16,33333333;19,66666667;25,5;22,66666667;5;;;;;;;
16;6;2017;23,66666667;16,33333333;19,66666667;25,5;22,66666667;28;2;;;;;;;
17;6;2017;16,33333333;19,66666667;25,5;22,66666667;28;27;1;;;;;;;
18;6;2017;19,66666667;25,5;22,66666667;28;27;27,66666667;3;;;;;;;
19;6;2017;25,5;22,66666667;28;27;27,66666667;18,33333333;0;;;;;;;
20;6;2017;22,66666667;28;27;27,66666667;18,33333333;19;3;;;;;;;
21;6;2017;28;27;27,66666667;18,33333333;19;18;7;;;;;;;
22;6;2017;27;27,66666667;18,33333333;19;18;22;7;;;;;;;
23;6;2017;27,66666667;18,33333333;19;18;22;16,5;8;;;;;;;
24;6;2017;18,33333333;19;18;22;16,5;13;5;;;;;;;
25;6;2017;19;18;22;16,5;13;15;5;;;;;;;
26;6;2017;18;22;16,5;13;15;10,66666667;1;;;;;;;
27;6;2017;22;16,5;13;15;10,66666667;14;4;;;;;;;
28;6;2017;16,5;13;15;10,66666667;14;18;2;;;;;;;
29;6;2017;13;15;10,66666667;14;18;23;3;;;;;;;
30;6;2017;15;10,66666667;14;18;23;21;2;;;;;;;
1;7;2017;10,66666667;14;18;23;21;20,66666667;4;;;;;;;
2;7;2017;14;18;23;21;20,66666667;25,33333333;4;;;;;;;
3;7;2017;18;23;21;20,66666667;25,33333333;22,66666667;6;;;;;;;
4;7;2017;23;21;20,66666667;25,33333333;22,66666667;25;8;;;;;;;
5;7;2017;21;20,66666667;25,33333333;22,66666667;25;20;2;;;;;;;
6;7;2017;20,66666667;25,33333333;22,66666667;25;20;24,33333333;2;;;;;;;
7;7;2017;25,33333333;22,66666667;25;20;24,33333333;28,33333333;6;;;;;;;
8;7;2017;22,66666667;25;20;24,33333333;28,33333333;14,66666667;3;;;;;;;
9;7;2017;25;20;24,33333333;28,33333333;14,66666667;16;5;;;;;;;
10;7;2017;20;24,33333333;28,33333333;14,66666667;16;11,33333333;3;;;;;;;
11;7;2017;24,33333333;28,33333333;14,66666667;16;11,33333333;14;4;;;;;;;
12;7;2017;28,33333333;14,66666667;16;11,33333333;14;20,33333333;5;;;;;;;
13;7;2017;14,66666667;16;11,33333333;14;20,33333333;24;2;;;;;;;
14;7;2017;16;11,33333333;14;20,33333333;24;23;4;;;;;;;
15;7;2017;11,33333333;14;20,33333333;24;23;27;5;;;;;;;
