Valore;Valore;Valore;Valore;Valore;Valore;COUNT;;;;;;;
2,519119351;3,571527778;3,649189815;4,969791667;6,180555556;1,722800926;6;;;;;;;
3,571527778;3,649189815;4,969791667;6,180555556;1,722800926;-0,769328704;2;;0;1;2;3;4;5
3,649189815;4,969791667;6,180555556;1,722800926;-0,769328704;-1,065625;13;;-0,257400067;-0,244756962;-0,23365224;-0,229149192;-0,215926856;-0,217104804
4,969791667;6,180555556;1,722800926;-0,769328704;-1,065625;-0,06087963;4;;;;;;;
6,180555556;1,722800926;-0,769328704;-1,065625;-0,06087963;0,224305556;6;;;;;;;
1,722800926;-0,769328704;-1,065625;-0,06087963;0,224305556;-0,165277778;6;;;;;;;
-0,769328704;-1,065625;-0,06087963;0,224305556;-0,165277778;0,853240741;7;;;;;;;
-1,065625;-0,06087963;0,224305556;-0,165277778;0,853240741;1,952777778;3;;;;;;;
-0,06087963;0,224305556;-0,165277778;0,853240741;1,952777778;4,569328704;5;;;;;;;
0,224305556;-0,165277778;0,853240741;1,952777778;4,569328704;3,996180556;6;;;;;;;
-0,165277778;0,853240741;1,952777778;4,569328704;3,996180556;1,655156431;7;;;;;;;
0,853240741;1,952777778;4,569328704;3,996180556;1,655156431;2,929861111;7;;;;;;;
1,952777778;4,569328704;3,996180556;1,655156431;2,929861111;2,443634259;7;;;;;;;
4,569328704;3,996180556;1,655156431;2,929861111;2,443634259;2,817013889;8;;;;;;;
3,996180556;1,655156431;2,929861111;2,443634259;2,817013889;2,232523148;3;;;;;;;
1,655156431;2,929861111;2,443634259;2,817013889;2,232523148;2,218287037;7;;;;;;;
2,929861111;2,443634259;2,817013889;2,232523148;2,218287037;3,277546296;8;;;;;;;
2,443634259;2,817013889;2,232523148;2,218287037;3,277546296;3,976593279;4;;;;;;;
2,817013889;2,232523148;2,218287037;3,277546296;3,976593279;4,462037037;5;;;;;;;
2,232523148;2,218287037;3,277546296;3,976593279;4,462037037;4,092592593;2;;;;;;;
2,218287037;3,277546296;3,976593279;4,462037037;4,092592593;2,080208333;9;;;;;;;
3,277546296;3,976593279;4,462037037;4,092592593;2,080208333;2,89212963;3;;;;;;;
3,976593279;4,462037037;4,092592593;2,080208333;2,89212963;2,601851852;6;;;;;;;
4,462037037;4,092592593;2,080208333;2,89212963;2,601851852;2,698263889;7;;;;;;;
4,092592593;2,080208333;2,89212963;2,601851852;2,698263889;4,078009259;4;;;;;;;
2,080208333;2,89212963;2,601851852;2,698263889;4,078009259;4,21412037;5;;;;;;;
