Valore;Valore;Valore;Valore;Valore;Valore;COUNT;;;;;;;;
79,14478442;73,12708333;79,63027778;66,67833333;27,25361111;27,36;6;;;;;;;;
73,12708333;79,63027778;66,67833333;27,25361111;27,36;45,91041667;2;;;;;;;;
79,63027778;66,67833333;27,25361111;27,36;45,91041667;55,32;13;;;0;1;2;3;4;5
66,67833333;27,25361111;27,36;45,91041667;55,32;62,22347222;4;;;0,142486408;0,124756725;0,106821681;0,115789049;0,070760365;0,116373957
27,25361111;27,36;45,91041667;55,32;62,22347222;69,00722222;6;;;;;;;;
27,36;45,91041667;55,32;62,22347222;69,00722222;59,75875;6;;;;;;;;
45,91041667;55,32;62,22347222;69,00722222;59,75875;74,25625;7;;;;;;;;
55,32;62,22347222;69,00722222;59,75875;74,25625;73,58027778;3;;;;;;;;
62,22347222;69,00722222;59,75875;74,25625;73,58027778;42,20486111;5;;;;;;;;
69,00722222;59,75875;74,25625;73,58027778;42,20486111;45,43388889;6;;;;;;;;
59,75875;74,25625;73,58027778;42,20486111;45,43388889;37,77107093;7;;;;;;;;
74,25625;73,58027778;42,20486111;45,43388889;37,77107093;30,59902778;7;;;;;;;;
73,58027778;42,20486111;45,43388889;37,77107093;30,59902778;45,60152778;7;;;;;;;;
42,20486111;45,43388889;37,77107093;30,59902778;45,60152778;51,09888889;8;;;;;;;;
45,43388889;37,77107093;30,59902778;45,60152778;51,09888889;59,02013889;3;;;;;;;;
37,77107093;30,59902778;45,60152778;51,09888889;59,02013889;62,12263889;7;;;;;;;;
30,59902778;45,60152778;51,09888889;59,02013889;62,12263889;56,80805556;8;;;;;;;;
45,60152778;51,09888889;59,02013889;62,12263889;56,80805556;53,45632823;4;;;;;;;;
51,09888889;59,02013889;62,12263889;56,80805556;53,45632823;55,06319444;5;;;;;;;;
59,02013889;62,12263889;56,80805556;53,45632823;55,06319444;51,69291667;2;;;;;;;;
62,12263889;56,80805556;53,45632823;55,06319444;51,69291667;59,53833333;9;;;;;;;;
56,80805556;53,45632823;55,06319444;51,69291667;59,53833333;60,50513889;3;;;;;;;;
53,45632823;55,06319444;51,69291667;59,53833333;60,50513889;69,29944444;6;;;;;;;;
55,06319444;51,69291667;59,53833333;60,50513889;69,29944444;79,40375;7;;;;;;;;
51,69291667;59,53833333;60,50513889;69,29944444;79,40375;76,33569444;4;;;;;;;;
59,53833333;60,50513889;69,29944444;79,40375;76,33569444;89,0375;5;;;;;;;;
60,50513889;69,29944444;79,40375;76,33569444;89,0375;92,55200669;4;;;;;;;;
69,29944444;79,40375;76,33569444;89,0375;92,55200669;97,84223485;7;;;;;;;;
79,40375;76,33569444;89,0375;92,55200669;97,84223485;97,48869732;2;;;;;;;;
76,33569444;89,0375;92,55200669;97,84223485;97,48869732;96,97314815;4;;;;;;;;
89,0375;92,55200669;97,84223485;97,48869732;96,97314815;98,03483366;5;;;;;;;;
92,55200669;97,84223485;97,48869732;96,97314815;98,03483366;92,33480885;4;;;;;;;;
97,84223485;97,48869732;96,97314815;98,03483366;92,33480885;79,21473684;7;;;;;;;;
97,48869732;96,97314815;98,03483366;92,33480885;79,21473684;80,16694444;12;;;;;;;;
96,97314815;98,03483366;92,33480885;79,21473684;80,16694444;61,57093185;2;;;;;;;;
98,03483366;92,33480885;79,21473684;80,16694444;61,57093185;84,66458333;10;;;;;;;;
92,33480885;79,21473684;80,16694444;61,57093185;84,66458333;89,6975;7;;;;;;;;
79,21473684;80,16694444;61,57093185;84,66458333;89,6975;89,92458333;3;;;;;;;;
80,16694444;61,57093185;84,66458333;89,6975;89,92458333;89,09533898;2;;;;;;;;
61,57093185;84,66458333;89,6975;89,92458333;89,09533898;64,89208333;4;;;;;;;;
84,66458333;89,6975;89,92458333;89,09533898;64,89208333;76,03601695;5;;;;;;;;
89,6975;89,92458333;89,09533898;64,89208333;76,03601695;70,56125874;4;;;;;;;;
89,92458333;89,09533898;64,89208333;76,03601695;70,56125874;75,87520891;6;;;;;;;;
89,09533898;64,89208333;76,03601695;70,56125874;75,87520891;85,76444444;2;;;;;;;;
64,89208333;76,03601695;70,56125874;75,87520891;85,76444444;86,73826816;3;;;;;;;;
76,03601695;70,56125874;75,87520891;85,76444444;86,73826816;91,10916667;4;;;;;;;;
70,56125874;75,87520891;85,76444444;86,73826816;91,10916667;81,58194444;4;;;;;;;;
75,87520891;85,76444444;86,73826816;91,10916667;81,58194444;88,4375;6;;;;;;;;
85,76444444;86,73826816;91,10916667;81,58194444;88,4375;91,63635097;11;;;;;;;;
86,73826816;91,10916667;81,58194444;88,4375;91,63635097;88,04170153;11;;;;;;;;
91,10916667;81,58194444;88,4375;91,63635097;88,04170153;64,26083333;7;;;;;;;;
81,58194444;88,4375;91,63635097;88,04170153;64,26083333;55,72047354;11;;;;;;;;
88,4375;91,63635097;88,04170153;64,26083333;55,72047354;64,41375;4;;;;;;;;
91,63635097;88,04170153;64,26083333;55,72047354;64,41375;93,86360856;2;;;;;;;;
88,04170153;64,26083333;55,72047354;64,41375;93,86360856;45,29596662;3;;;;;;;;
64,26083333;55,72047354;64,41375;93,86360856;45,29596662;60,51222222;5;;;;;;;;
55,72047354;64,41375;93,86360856;45,29596662;60,51222222;82,35041667;1;;;;;;;;
64,41375;93,86360856;45,29596662;60,51222222;82,35041667;93,77597222;1;;;;;;;;
93,86360856;45,29596662;60,51222222;82,35041667;93,77597222;66,68138889;2;;;;;;;;
45,29596662;60,51222222;82,35041667;93,77597222;66,68138889;74,83161994;5;;;;;;;;
60,51222222;82,35041667;93,77597222;66,68138889;74,83161994;33,36741742;6;;;;;;;;
82,35041667;93,77597222;66,68138889;74,83161994;33,36741742;29,68108484;9;;;;;;;;
93,77597222;66,68138889;74,83161994;33,36741742;29,68108484;40,15069444;6;;;;;;;;
66,68138889;74,83161994;33,36741742;29,68108484;40,15069444;30,84175824;6;;;;;;;;
74,83161994;33,36741742;29,68108484;40,15069444;30,84175824;28,60570613;4;;;;;;;;
33,36741742;29,68108484;40,15069444;30,84175824;28,60570613;36,11954351;7;;;;;;;;
29,68108484;40,15069444;30,84175824;28,60570613;36,11954351;47,44722222;3;;;;;;;;
40,15069444;30,84175824;28,60570613;36,11954351;47,44722222;48,93212796;6;;;;;;;;
30,84175824;28,60570613;36,11954351;47,44722222;48,93212796;46,86388889;6;;;;;;;;
28,60570613;36,11954351;47,44722222;48,93212796;46,86388889;52,45083333;6;;;;;;;;
36,11954351;47,44722222;48,93212796;46,86388889;52,45083333;55,95760563;4;;;;;;;;
47,44722222;48,93212796;46,86388889;52,45083333;55,95760563;64,56611111;4;;;;;;;;
48,93212796;46,86388889;52,45083333;55,95760563;64,56611111;66,58305556;5;;;;;;;;
46,86388889;52,45083333;55,95760563;64,56611111;66,58305556;67,31930556;3;;;;;;;;
52,45083333;55,95760563;64,56611111;66,58305556;67,31930556;72,78333333;3;;;;;;;;
55,95760563;64,56611111;66,58305556;67,31930556;72,78333333;85,74819444;8;;;;;;;;
64,56611111;66,58305556;67,31930556;72,78333333;85,74819444;91,28400556;4;;;;;;;;
66,58305556;67,31930556;72,78333333;85,74819444;91,28400556;84,53958333;5;;;;;;;;
67,31930556;72,78333333;85,74819444;91,28400556;84,53958333;78,69416667;7;;;;;;;;
72,78333333;85,74819444;91,28400556;84,53958333;78,69416667;81,54047619;3;;;;;;;;
85,74819444;91,28400556;84,53958333;78,69416667;81,54047619;53,1946299;4;;;;;;;;
91,28400556;84,53958333;78,69416667;81,54047619;53,1946299;52,71666667;2;;;;;;;;
84,53958333;78,69416667;81,54047619;53,1946299;52,71666667;49,71666667;2;;;;;;;;
78,69416667;81,54047619;53,1946299;52,71666667;49,71666667;46,47611111;7;;;;;;;;
81,54047619;53,1946299;52,71666667;49,71666667;46,47611111;46,37652778;5;;;;;;;;
53,1946299;52,71666667;49,71666667;46,47611111;46,37652778;48,07125;4;;;;;;;;
52,71666667;49,71666667;46,47611111;46,37652778;48,07125;68,71194444;5;;;;;;;;
49,71666667;46,47611111;46,37652778;48,07125;68,71194444;52,7310153;10;;;;;;;;
46,47611111;46,37652778;48,07125;68,71194444;52,7310153;44,37486111;5;;;;;;;;
46,37652778;48,07125;68,71194444;52,7310153;44,37486111;69,68930556;7;;;;;;;;
48,07125;68,71194444;52,7310153;44,37486111;69,68930556;55,87486111;2;;;;;;;;
68,71194444;52,7310153;44,37486111;69,68930556;55,87486111;59,82347222;1;;;;;;;;
52,7310153;44,37486111;69,68930556;55,87486111;59,82347222;57,08291667;8;;;;;;;;
44,37486111;69,68930556;55,87486111;59,82347222;57,08291667;56,23263889;7;;;;;;;;
69,68930556;55,87486111;59,82347222;57,08291667;56,23263889;49,11569444;5;;;;;;;;
55,87486111;59,82347222;57,08291667;56,23263889;49,11569444;51,38;6;;;;;;;;
59,82347222;57,08291667;56,23263889;49,11569444;51,38;57,11680556;10;;;;;;;;
57,08291667;56,23263889;49,11569444;51,38;57,11680556;57,37736111;8;;;;;;;;
56,23263889;49,11569444;51,38;57,11680556;57,37736111;58,60833333;4;;;;;;;;
49,11569444;51,38;57,11680556;57,37736111;58,60833333;60,00805556;3;;;;;;;;
51,38;57,11680556;57,37736111;58,60833333;60,00805556;44,32194444;6;;;;;;;;
