DAY;MONTH;YEAR;Valore
1;1;2015;
2;1;2015;
3;1;2015;
4;1;2015;
5;1;2015;
6;1;2015;
7;1;2015;
8;1;2015;
9;1;2015;
10;1;2015;
11;1;2015;
12;1;2015;
13;1;2015;
14;1;2015;
15;1;2015;
16;1;2015;
17;1;2015;
18;1;2015;
19;1;2015;
20;1;2015;
21;1;2015;
22;1;2015;9,1
23;1;2015;8,2
24;1;2015;3,0
25;1;2015;3,8
26;1;2015;9,3
27;1;2015;6,7
28;1;2015;6,5
29;1;2015;5,9
30;1;2015;5,8
31;1;2015;6,2
1;2;2015;5,2
2;2;2015;6,1
3;2;2015;6,9
4;2;2015;6,7
5;2;2015;7,7
6;2;2015;5,9
7;2;2015;4,7
8;2;2015;4,9
9;2;2015;6,1
10;2;2015;8,8
11;2;2015;8,8
12;2;2015;9,5
13;2;2015;7,6
14;2;2015;6,6
15;2;2015;7,3
16;2;2015;6,6
17;2;2015;4,8
18;2;2015;6,3
19;2;2015;6,4
20;2;2015;5,1
21;2;2015;5,0
22;2;2015;5,4
23;2;2015;4,7
24;2;2015;3,2
25;2;2015;5,0
26;2;2015;6,5
27;2;2015;7,0
28;2;2015;8,1
1;3;2015;8,8
2;3;2015;6,4
3;3;2015;8,0
4;3;2015;2,3
5;3;2015;1,8
6;3;2015;3,1
7;3;2015;6,1
8;3;2015;6,8
9;3;2015;12,4
10;3;2015;15,7
11;3;2015;13,4
12;3;2015;12,5
13;3;2015;15,3
14;3;2015;15,8
15;3;2015;14,9
16;3;2015;13,7
17;3;2015;10,8
18;3;2015;9,8
19;3;2015;7,1
20;3;2015;12,8
21;3;2015;11,9
22;3;2015;11,2
23;3;2015;10,7
24;3;2015;10,7
25;3;2015;10,2
26;3;2015;3,0
27;3;2015;3,0
28;3;2015;5,2
29;3;2015;9,1
30;3;2015;6,7
31;3;2015;0,5
1;4;2015;0,8
2;4;2015;2,8
3;4;2015;4,2
4;4;2015;5,3
5;4;2015;2,8
6;4;2015;0,7
7;4;2015;3,4
8;4;2015;6,8
9;4;2015;10,3
10;4;2015;10,5
11;4;2015;8,7
12;4;2015;9,6
13;4;2015;6,3
14;4;2015;8,2
15;4;2015;7,7
16;4;2015;8,5
17;4;2015;8,6
18;4;2015;2,3
19;4;2015;4,4
20;4;2015;6,1
21;4;2015;6,7
22;4;2015;5,1
23;4;2015;6,2
24;4;2015;7,0
25;4;2015;8,9
26;4;2015;6,6
27;4;2015;5,0
28;4;2015;5,4
29;4;2015;5,8
30;4;2015;5,2
1;5;2015;6,3
2;5;2015;7,0
