DAY;MONTH;YEAR;Valore
1;1;2015;3,3
2;1;2015;4,4
3;1;2015;2,45
4;1;2015;2,1
5;1;2015;3,0
6;1;2015;4,050000000000002
7;1;2015;3,7
8;1;2015;4,2
9;1;2015;2,233333333333334
10;1;2015;2,066666666666667
11;1;2015;3,0666666666666664
12;1;2015;4,433333333333334
13;1;2015;4,9
14;1;2015;4,4
15;1;2015;3,1666666666666665
16;1;2015;2,433333333333333
17;1;2015;2,5666666666666664
18;1;2015;4,866666666666666
19;1;2015;3,975000000000001
20;1;2015;3,1666666666666665
21;1;2015;3,2
22;1;2015;4,125
23;1;2015;4,733333333333333
24;1;2015;1,9
25;1;2015;2,233333333333333
26;1;2015;4,5
27;1;2015;3,966666666666667
28;1;2015;6,066666666666666
29;1;2015;2,3000000000000003
30;1;2015;3,0666666666666664
31;1;2015;2,8666666666666667
1;2;2015;3,5
2;2;2015;3,1
3;2;2015;2,95
4;2;2015;2,3
5;2;2015;3,05
6;2;2015;1,9666666666666668
7;2;2015;2,1
8;2;2015;2,766666666666667
9;2;2015;3,65
10;2;2015;4,5
11;2;2015;5,366666666666667
12;2;2015;3,9666666666666655
13;2;2015;2,625
14;2;2015;2,5
15;2;2015;3,2
16;2;2015;2,825
17;2;2015;2,45
18;2;2015;3,8
19;2;2015;3,95
20;2;2015;1,6333333333333335
21;2;2015;1,1
22;2;2015;3,5666666666666664
23;2;2015;2,7
24;2;2015;1,5
25;2;2015;2,333333333333333
26;2;2015;2,533333333333333
27;2;2015;2,8000000000000003
28;2;2015;3,5666666666666664
1;3;2015;1,8
2;3;2015;1,7666666666666668
3;3;2015;2,1666666666666665
4;3;2015;0,9
5;3;2015;1,7666666666666668
6;3;2015;1,35
7;3;2015;1,9250000000000005
8;3;2015;2,125
9;3;2015;2,975
10;3;2015;3,4000000000000004
11;3;2015;1,7
12;3;2015;2,233333333333333
13;3;2015;1,5
14;3;2015;1,4333333333333331
15;3;2015;1,9
16;3;2015;2,533333333333333
17;3;2015;2,966666666666667
18;3;2015;2,425
19;3;2015;1,85
20;3;2015;1,475
21;3;2015;1,275
22;3;2015;2,3000000000000003
23;3;2015;2,05
24;3;2015;1,525
25;3;2015;1,5666666666666664
26;3;2015;1,05
27;3;2015;1,3250000000000002
28;3;2015;1,3
29;3;2015;1,225
30;3;2015;1,0
31;3;2015;0,525
1;4;2015;0,85
2;4;2015;1,2
3;4;2015;0,6000000000000001
4;4;2015;0,6749999999999999
5;4;2015;0,575
6;4;2015;0,875
7;4;2015;1,6
8;4;2015;1,55
9;4;2015;1,5333333333333332
10;4;2015;1,0
11;4;2015;0,975
12;4;2015;1,7333333333333334
13;4;2015;1,7333333333333332
14;4;2015;1,5666666666666669
15;4;2015;1,1333333333333333
16;4;2015;1,0666666666666669
17;4;2015;1,2333333333333334
18;4;2015;0,6666666666666666
19;4;2015;1,6
20;4;2015;2,1
21;4;2015;1,55
22;4;2015;0,775
23;4;2015;0,9
24;4;2015;0,7749999999999999
25;4;2015;0,9
26;4;2015;0,7666666666666666
27;4;2015;1,0333333333333334
28;4;2015;0,8333333333333334
29;4;2015;0,975
30;4;2015;0,8999999999999999
1;5;2015;0,825
2;5;2015;1,3
3;5;2015;1,7333333333333334
4;5;2015;1,6666666666666667
5;5;2015;1,9666666666666668
6;5;2015;1,225
7;5;2015;1,45
8;5;2015;1,075
9;5;2015;0,9
10;5;2015;1,8333333333333333
11;5;2015;1,4333333333333331
12;5;2015;1,3
13;5;2015;0,6749999999999999
14;5;2015;0,625
15;5;2015;0,725
16;5;2015;0,725
17;5;2015;1,125
18;5;2015;0,8749999999999999
19;5;2015;0,7999999999999999
20;5;2015;0,825
21;5;2015;0,825
22;5;2015;0,925
23;5;2015;0,65
24;5;2015;1,0499999999999998
25;5;2015;0,925
26;5;2015;1,025
27;5;2015;0,9
28;5;2015;0,85
29;5;2015;0,425
30;5;2015;0,5
31;5;2015;0,6499999999999999
1;6;2015;0,6
2;6;2015;0,975
3;6;2015;1,625
4;6;2015;1,35
5;6;2015;0,925
6;6;2015;0,5499999999999999
7;6;2015;0,675
8;6;2015;0,7999999999999999
9;6;2015;0,8250000000000001
10;6;2015;1,225
11;6;2015;1,1
12;6;2015;0,9
13;6;2015;0,7333333333333334
14;6;2015;0,9333333333333332
15;6;2015;1,1
16;6;2015;1,0666666666666669
17;6;2015;1,2666666666666666
18;6;2015;1,3333333333333333
19;6;2015;0,6666666666666666
20;6;2015;0,5
21;6;2015;1,0
22;6;2015;0,9333333333333332
23;6;2015;0,7666666666666667
24;6;2015;1,1
25;6;2015;1,2
26;6;2015;0,9333333333333332
27;6;2015;0,6000000000000001
28;6;2015;1,0
29;6;2015;1,0333333333333334
30;6;2015;1,0333333333333334
1;7;2015;1,0333333333333332
2;7;2015;0,9
3;7;2015;0,6
4;7;2015;0,4666666666666666
5;7;2015;1,0
6;7;2015;0,85
7;7;2015;0,5
8;7;2015;0,7999999999999999
9;7;2015;0,7666666666666666
10;7;2015;0,7666666666666666
11;7;2015;0,6
12;7;2015;0,9666666666666668
13;7;2015;0,9
14;7;2015;1,0333333333333334
15;7;2015;0,7999999999999999
16;7;2015;1,0666666666666669
17;7;2015;0,75
18;7;2015;0,45
19;7;2015;0,575
20;7;2015;1,0
21;7;2015;1,0333333333333334
22;7;2015;0,8
23;7;2015;0,7000000000000001
24;7;2015;0,4
25;7;2015;0,4666666666666666
26;7;2015;0,6333333333333333
27;7;2015;0,825
28;7;2015;0,65
29;7;2015;0,8333333333333334
30;7;2015;0,8333333333333334
31;7;2015;0,7000000000000001
1;8;2015;0,5333333333333333
2;8;2015;0,9666666666666668
3;8;2015;1,0000000000000002
4;8;2015;0,9333333333333332
5;8;2015;1,25
6;8;2015;1,0
7;8;2015;1,2
8;8;2015;0,5
9;8;2015;0,5
10;8;2015;0,9
11;8;2015;1,0666666666666669
12;8;2015;0,9666666666666668
13;8;2015;0,7666666666666666
14;8;2015;0,4666666666666666
15;8;2015;0,26666666666666666
16;8;2015;0,4000000000000001
17;8;2015;0,4333333333333333
18;8;2015;0,43333333333333335
19;8;2015;0,6000000000000001
20;8;2015;0,5333333333333333
21;8;2015;0,5
22;8;2015;0,4666666666666666
23;8;2015;0,6333333333333333
24;8;2015;0,7000000000000001
25;8;2015;1,0
26;8;2015;1,2666666666666668
27;8;2015;1,5333333333333332
28;8;2015;1,1333333333333333
29;8;2015;1,2333333333333334
30;8;2015;1,3999999999999997
31;8;2015;1,2333333333333334
1;9;2015;1,0333333333333332
2;9;2015;0,9
3;9;2015;0,8333333333333334
4;9;2015;0,525
5;9;2015;0,675
6;9;2015;1,175
7;9;2015;1,225
8;9;2015;1,175
9;9;2015;1,1666666666666667
10;9;2015;1,2333333333333334
11;9;2015;1,3666666666666665
12;9;2015;0,9333333333333336
13;9;2015;1,3
14;9;2015;1,7
15;9;2015;2,333333333333333
16;9;2015;2,2666666666666666
17;9;2015;1,9
18;9;2015;1,05
19;9;2015;0,9000000000000001
20;9;2015;1,6749999999999998
21;9;2015;1,375
22;9;2015;1,325
23;9;2015;2,2
24;9;2015;2,25
25;9;2015;1,325
26;9;2015;0,9
27;9;2015;1,05
28;9;2015;1,4500000000000002
29;9;2015;1,5
30;9;2015;1,25
1;10;2015;1,925
2;10;2015;1,4
3;10;2015;1,2000000000000002
4;10;2015;2,033333333333333
5;10;2015;1,7
6;10;2015;1,7999999999999998
7;10;2015;1,85
8;10;2015;1,775
9;10;2015;1,125
10;10;2015;1,75
11;10;2015;1,925
12;10;2015;1,3
13;10;2015;1,4
14;10;2015;1,375
15;10;2015;1,275
16;10;2015;1,6
17;10;2015;1,4
18;10;2015;2,475
19;10;2015;2,45
20;10;2015;2,975
21;10;2015;2,8500000000000005
22;10;2015;3,9
23;10;2015;4,0
24;10;2015;3,925
25;10;2015;4,875
26;10;2015;5,1000000000000005
27;10;2015;2,625
28;10;2015;2,1
29;10;2015;3,75
30;10;2015;2,925
31;10;2015;2,5250000000000004
1;11;2015;3,0
2;11;2015;4,1
3;11;2015;3,0
4;11;2015;4,925000000000002
5;11;2015;5,05
6;11;2015;5,375
7;11;2015;4,95
8;11;2015;3,125
9;11;2015;4,2
10;11;2015;5,175
11;11;2015;4,733333333333333
12;11;2015;5,65
13;11;2015;2,375
14;11;2015;2,05
15;11;2015;2,95
16;11;2015;3,225
17;11;2015;3,325
18;11;2015;2,475
19;11;2015;2,575
20;11;2015;2,075
21;11;2015;0,7666666666666666
22;11;2015;1,65
23;11;2015;2,95
24;11;2015;3,05
25;11;2015;3,975
26;11;2015;4,325
27;11;2015;4,05
28;11;2015;4,0
29;11;2015;4,35
30;11;2015;4,0
1;12;2015;4,45
2;12;2015;4,9750000000000005
3;12;2015;5,0
4;12;2015;2,8500000000000005
5;12;2015;2,75
6;12;2015;3,1
7;12;2015;4,0
8;12;2015;3,35
9;12;2015;3,7
10;12;2015;4,3
11;12;2015;4,3
12;12;2015;3,65
13;12;2015;3,85
14;12;2015;4,7
15;12;2015;4,8
16;12;2015;5,4
17;12;2015;5,933333333333334
18;12;2015;5,433333333333334
19;12;2015;5,199999999999998
20;12;2015;4,533333333333334
21;12;2015;4,2
22;12;2015;4,066666666666666
23;12;2015;2,5666666666666664
24;12;2015;2,533333333333333
25;12;2015;3,4
26;12;2015;4,4
27;12;2015;3,9666666666666655
28;12;2015;5,033333333333334
29;12;2015;3,4
30;12;2015;1,7
31;12;2015;2,6999999999999997
