DAY;MONTH;YEAR;Valore
1;1;2015;96,44510869565214
2;1;2015;142,14427083333328
3;1;2015;243,5682291666665
4;1;2015;121,28020833333332
5;1;2015;172,08333333333337
6;1;2015;162,15706806282725
7;1;2015;230,65625
8;1;2015;193,05520833333324
9;1;2015;265,57291666666663
10;1;2015;104,49583333333337
11;1;2015;77,73246073298431
12;1;2015;213,91666666666674
13;1;2015;304,67142857142846
14;1;2015;317,27023809523797
15;1;2015;246,18809523809537
16;1;2015;161,43444444444447
17;1;2015;103,83023255813956
18;1;2015;109,47810650887573
19;1;2015;270,0305084745763
20;1;2015;210,8057291666668
21;1;2015;198,9625
22;1;2015;140,1640625
23;1;2015;218,4885416666667
24;1;2015;323,84374999999994
25;1;2015;140,15468749999994
26;1;2015;145,6906250000001
27;1;2015;321,7821052631578
28;1;2015;265,95625000000007
29;1;2015;289,5572916666665
30;1;2015;135,09214659685853
31;1;2015;194,49427083333333
1;2;2015;147,33333333333331
2;2;2015;246,97708333333333
3;2;2015;187,2411458333333
4;2;2015;182,99843749999994
5;2;2015;132,68906250000006
6;2;2015;216,1145833333335
7;2;2015;99,35520833333337
8;2;2015;88,87447916666667
9;2;2015;165,38802083333331
10;2;2015;224,19427083333323
11;2;2015;273,3265625000001
12;2;2015;301,06871508379885
13;2;2015;207,3138121546962
14;2;2015;123,12656250000002
15;2;2015;113,5135416666667
16;2;2015;219,80364583333332
17;2;2015;170,41458333333333
18;2;2015;119,92135416666662
19;2;2015;203,3958333333336
20;2;2015;222,15364583333317
21;2;2015;82,10572916666662
22;2;2015;63,082291666666706
23;2;2015;216,33593749999991
24;2;2015;196,69322916666655
25;2;2015;119,83541666666677
26;2;2015;151,5354166666667
27;2;2015;172,24635416666672
28;2;2015;165,66927083333314
1;3;2015;201,15625000000003
2;3;2015;113,08749999999996
3;3;2015;126,17708333333326
4;3;2015;133,04375
5;3;2015;75,74375000000002
6;3;2015;129,38125000000005
7;3;2015;91,43281249999997
8;3;2015;109,54270833333334
9;3;2015;123,90885416666669
10;3;2015;163,33854166666669
11;3;2015;183,25937499999992
12;3;2015;100,1296875
13;3;2015;145,41197916666667
14;3;2015;75,66562500000003
15;3;2015;52,204687499999984
16;3;2015;93,32499999999992
17;3;2015;132,83958333333322
18;3;2015;157,40208333333334
19;3;2015;131,52447916666668
20;3;2015;98,06387434554966
21;3;2015;68,79062499999999
22;3;2015;62,27135416666667
23;3;2015;126,50052083333338
24;3;2015;109,48020833333328
25;3;2015;94,27239583333336
26;3;2015;85,8458333333333
27;3;2015;75,59583333333332
28;3;2015;88,27604166666669
29;3;2015;80,23697916666667
30;3;2015;85,74114583333333
31;3;2015;74,1927083333333
1;4;2015;44,662303664921495
2;4;2015;79,64374999999995
3;4;2015;57,607812500000016
4;4;2015;44,5984375
5;4;2015;34,56568047337279
6;4;2015;38,94712041884815
7;4;2015;70,8260416666667
8;4;2015;129,21562500000007
9;4;2015;121,00965909090908
10;4;2015;95,11190476190474
11;4;2015;60,641666666666644
12;4;2015;63,719642857142865
13;4;2015;110,90952380952385
14;4;2015;114,12987804878051
15;4;2015;93,08024691358023
16;4;2015;65,72528735632183
17;4;2015;77,2567708333333
18;4;2015;67,30160427807486
19;4;2015;38,94497354497354
20;4;2015;105,38235294117645
21;4;2015;122,37329842931943
22;4;2015;97,53406593406594
23;4;2015;43,45416666666667
24;4;2015;53,59880239520959
25;4;2015;50,217931034482795
26;4;2015;56,57569444444446
27;4;2015;74,78888888888888
28;4;2015;73,58402777777779
29;4;2015;73,77083333333336
30;4;2015;61,08601398601397
1;5;2015;64,35347222222221
2;5;2015;45,63055555555556
3;5;2015;53,718055555555566
4;5;2015;92,5388888888889
5;5;2015;83,09444444444443
6;5;2015;94,3847222222223
7;5;2015;69,72777777777783
8;5;2015;93,12430555555555
9;5;2015;71,6222222222222
10;5;2015;66,35594405594402
11;5;2015;96,48857142857143
12;5;2015;71,61699346405227
13;5;2015;60,61488095238092
14;5;2015;42,229444444444454
15;5;2015;46,71302083333333
16;5;2015;36,16354166666667
17;5;2015;41,95833333333332
18;5;2015;59,07
19;5;2015;47,32619047619048
20;5;2015;61,8309523809524
21;5;2015;62,12083333333333
