DAY;MONTH;YEAR;Valore
1;1;2015;67,33333333333333
2;1;2015;79,33333333333333
3;1;2015;45,0
4;1;2015;28,33333333333333
5;1;2015;53,0
6;1;2015;88,33333333333331
7;1;2015;76,33333333333333
8;1;2015;83,33333333333333
9;1;2015;49,66666666666666
10;1;2015;64,66666666666667
11;1;2015;34,666666666666664
12;1;2015;70,66666666666667
13;1;2015;88,5
14;1;2015;73,66666666666667
15;1;2015;69,66666666666667
16;1;2015;30,66666666666667
17;1;2015;32,666666666666664
18;1;2015;55,66666666666666
19;1;2015;64,0
20;1;2015;40,66666666666666
21;1;2015;30,0
22;1;2015;45,33333333333334
23;1;2015;61,33333333333334
24;1;2015;16,0
25;1;2015;27,33333333333333
26;1;2015;73,0
27;1;2015;60,66666666666666
28;1;2015;64,0
29;1;2015;35,666666666666664
30;1;2015;42,0
31;1;2015;49,33333333333334
1;2;2015;45,0
2;2;2015;61,0
3;2;2015;55,0
4;2;2015;19,33333333333333
5;2;2015;20,0
6;2;2015;24,66666666666667
7;2;2015;37,0
8;2;2015;56,0
9;2;2015;92,33333333333331
10;2;2015;111,66666666666669
11;2;2015;131,33333333333334
12;2;2015;141,33333333333334
13;2;2015;60,33333333333334
14;2;2015;24,0
15;2;2015;36,333333333333336
16;2;2015;51,66666666666666
17;2;2015;58,0
18;2;2015;84,0
19;2;2015;76,33333333333333
20;2;2015;57,0
21;2;2015;14,666666666666664
22;2;2015;43,33333333333334
23;2;2015;27,5
24;2;2015;16,5
25;2;2015;27,66666666666667
26;2;2015;52,0
27;2;2015;64,66666666666667
28;2;2015;60,33333333333334
1;3;2015;39,333333333333336
2;3;2015;35,333333333333336
3;3;2015;53,0
4;3;2015;13,666666666666664
5;3;2015;26,0
6;3;2015;27,33333333333333
7;3;2015;47,66666666666666
8;3;2015;53,5
9;3;2015;81,0
10;3;2015;99,66666666666669
11;3;2015;46,0
12;3;2015;53,5
13;3;2015;43,33333333333334
14;3;2015;41,333333333333336
15;3;2015;35,0
16;3;2015;34,0
17;3;2015;56,66666666666666
18;3;2015;86,33333333333331
19;3;2015;59,66666666666666
20;3;2015;53,33333333333334
21;3;2015;33,666666666666664
22;3;2015;49,5
23;3;2015;70,0
24;3;2015;35,666666666666664
25;3;2015;28,33333333333333
26;3;2015;16,333333333333332
27;3;2015;22,0
28;3;2015;31,33333333333333
29;3;2015;21,33333333333333
30;3;2015;22,0
31;3;2015;10,5
1;4;2015;14,666666666666664
2;4;2015;22,66666666666667
3;4;2015;17,333333333333332
4;4;2015;16,0
5;4;2015;12,0
6;4;2015;18,666666666666668
7;4;2015;35,666666666666664
8;4;2015;51,66666666666666
9;4;2015;50,66666666666666
10;4;2015;31,33333333333333
11;4;2015;39,333333333333336
12;4;2015;51,0
13;4;2015;45,0
14;4;2015;47,66666666666666
15;4;2015;34,0
16;4;2015;24,66666666666667
17;4;2015;31,33333333333333
18;4;2015;17,333333333333332
19;4;2015;33,0
20;4;2015;41,0
21;4;2015;34,0
22;4;2015;21,33333333333333
23;4;2015;32,333333333333336
24;4;2015;34,666666666666664
25;4;2015;34,666666666666664
26;4;2015;19,666666666666668
27;4;2015;18,33333333333333
28;4;2015;21,33333333333333
29;4;2015;20,33333333333333
30;4;2015;24,0
1;5;2015;22,33333333333333
2;5;2015;32,0
3;5;2015;28,0
4;5;2015;51,0
5;5;2015;60,0
6;5;2015;41,0
7;5;2015;37,66666666666666
8;5;2015;18,33333333333333
9;5;2015;14,333333333333336
10;5;2015;29,33333333333333
11;5;2015;31,66666666666667
12;5;2015;33,0
13;5;2015;32,0
14;5;2015;26,66666666666667
15;5;2015;12,666666666666664
16;5;2015;18,33333333333333
17;5;2015;29,66666666666667
18;5;2015;25,66666666666667
19;5;2015;12,333333333333336
20;5;2015;11,666666666666664
21;5;2015;16,333333333333332
22;5;2015;14,666666666666664
23;5;2015;8,333333333333334
24;5;2015;16,333333333333332
25;5;2015;19,33333333333333
26;5;2015;14,333333333333336
27;5;2015;21,66666666666667
28;5;2015;27,33333333333333
29;5;2015;20,0
30;5;2015;23,33333333333333
