DAY;MONTH;YEAR;Valore
1;1;2015;2,3826086956521744
2;1;2015;4,2375
3;1;2015;4,299999999999999
4;1;2015;5,283333333333334
5;1;2015;4,408333333333333
6;1;2015;4,066666666666666
7;1;2015;2,308333333333333
8;1;2015;1,4916666666666665
9;1;2015;1,3500000000000003
10;1;2015;3,0291666666666663
11;1;2015;1,7500000000000002
12;1;2015;1,7541666666666664
13;1;2015;2,075
14;1;2015;3,5875
15;1;2015;2,5083333333333333
16;1;2015;2,529166666666667
17;1;2015;2,8
18;1;2015;
19;1;2015;2,4875000000000003
20;1;2015;3,470833333333333
21;1;2015;3,5500000000000003
22;1;2015;3,541666666666666
23;1;2015;5,291666666666667
24;1;2015;5,95
25;1;2015;4,183333333333334
26;1;2015;3,125
27;1;2015;3,35
28;1;2015;2,9875000000000007
29;1;2015;4,291666666666667
30;1;2015;6,570833333333334
31;1;2015;5,904166666666668
1;2;2015;6,095833333333335
2;2;2015;5,433333333333334
3;2;2015;3,8625
4;2;2015;4,779166666666668
5;2;2015;3,058333333333333
6;2;2015;2,916666666666666
7;2;2015;0,9458333333333332
8;2;2015;1,8291666666666664
9;2;2015;1,7374999999999998
10;2;2015;1,825
11;2;2015;2,5
12;2;2015;1,8166666666666669
13;2;2015;2,516666666666667
14;2;2015;1,8583333333333327
15;2;2015;2,2
16;2;2015;2,5708333333333333
17;2;2015;3,1708333333333343
18;2;2015;0,9909090909090912
19;2;2015;2,125
20;2;2015;3,3166666666666664
21;2;2015;2,891666666666667
22;2;2015;3,916666666666666
23;2;2015;4,516666666666667
24;2;2015;4,404166666666667
25;2;2015;3,2875
26;2;2015;2,704166666666667
27;2;2015;3,795833333333334
28;2;2015;3,3875000000000006
1;3;2015;3,5916666666666663
2;3;2015;3,4875000000000003
3;3;2015;2,8083333333333336
4;3;2015;2,4666666666666663
5;3;2015;1,6916666666666662
6;3;2015;1,3625
7;3;2015;0,725
8;3;2015;1,3374999999999997
9;3;2015;1,3315789473684212
10;3;2015;
11;3;2015;3,63913043478261
12;3;2015;1,5041666666666664
13;3;2015;3,3249999999999997
14;3;2015;1,554166666666667
15;3;2015;0,8791666666666665
16;3;2015;0,3458333333333334
17;3;2015;0,8916666666666667
18;3;2015;2,2166666666666663
19;3;2015;2,566666666666667
20;3;2015;2,2826086956521734
21;3;2015;2,9
22;3;2015;2,7374999999999994
23;3;2015;3,9625
24;3;2015;4,795833333333333
25;3;2015;5,370833333333334
26;3;2015;5,891666666666667
27;3;2015;5,529166666666666
28;3;2015;5,558333333333334
29;3;2015;5,966666666666666
30;3;2015;7,208333333333332
31;3;2015;4,5375000000000005
1;4;2015;0,3583333333333333
2;4;2015;2,7624999999999997
3;4;2015;0,8458333333333333
4;4;2015;1,2458333333333331
5;4;2015;0,9499999999999998
6;4;2015;0,21666666666666665
7;4;2015;0,0
8;4;2015;1,7823529411764705
9;4;2015;0,6347826086956521
10;4;2015;0,6916666666666668
11;4;2015;1,2458333333333336
12;4;2015;0,525
13;4;2015;0,975
14;4;2015;1,0750000000000002
15;4;2015;1,9043478260869564
16;4;2015;3,158333333333333
17;4;2015;1,6125
18;4;2015;1,9625
19;4;2015;0,7375000000000002
20;4;2015;1,3625
21;4;2015;2,083333333333333
22;4;2015;3,758333333333333
23;4;2015;3,7291666666666665
24;4;2015;2,6749999999999994
25;4;2015;1,8291666666666668
26;4;2015;2,575
27;4;2015;3,0625000000000004
28;4;2015;3,6458333333333335
29;4;2015;2,3666666666666667
30;4;2015;2,5333333333333337
1;5;2015;3,141666666666667
2;5;2015;3,4875000000000003
3;5;2015;3,158333333333333
4;5;2015;3,6666666666666665
5;5;2015;3,6458333333333335
6;5;2015;6,083333333333332
7;5;2015;4,004166666666666
8;5;2015;3,979166666666668
9;5;2015;4,062500000000001
10;5;2015;3,5291666666666663
11;5;2015;3,525
12;5;2015;3,4000000000000004
13;5;2015;5,170833333333333
14;5;2015;6,095833333333332
15;5;2015;5,770833333333332
16;5;2015;4,249999999999999
17;5;2015;4,179166666666667
18;5;2015;5,070833333333334
19;5;2015;6,020833333333332
20;5;2015;6,0458333333333325
21;5;2015;5,358333333333333
22;5;2015;5,112500000000002
23;5;2015;5,3875
24;5;2015;5,141666666666667
25;5;2015;6,058333333333334
26;5;2015;4,545833333333333
27;5;2015;1,4541666666666668
28;5;2015;1,4166666666666663
29;5;2015;2,7750000000000004
30;5;2015;2,045833333333334
31;5;2015;1,8500000000000003
1;6;2015;1,883333333333333
2;6;2015;2,141666666666667
3;6;2015;1,991666666666667
4;6;2015;1,6375000000000002
5;6;2015;2,1125
6;6;2015;2,35
7;6;2015;2,204166666666667
8;6;2015;2,0625000000000004
9;6;2015;2,626086956521738
10;6;2015;1,8708333333333331
11;6;2015;2,733333333333333
12;6;2015;3,4166666666666665
13;6;2015;2,5875
14;6;2015;3,0416666666666674
15;6;2015;3,0458333333333343
16;6;2015;3,0500000000000007
17;6;2015;3,020833333333333
18;6;2015;3,3125
19;6;2015;4,875
20;6;2015;3,399999999999999
21;6;2015;3,1541666666666663
22;6;2015;3,6833333333333336
23;6;2015;5,070833333333332
24;6;2015;3,2041666666666675
25;6;2015;3,045833333333334
26;6;2015;3,649999999999999
27;6;2015;4,5875
28;6;2015;4,291666666666667
29;6;2015;4,366666666666666
30;6;2015;4,525
1;7;2015;4,520833333333333
2;7;2015;4,841666666666667
3;7;2015;4,4875
4;7;2015;4,658333333333334
5;7;2015;5,254166666666666
6;7;2015;5,540909090909091
7;7;2015;
8;7;2015;
9;7;2015;
10;7;2015;0,3565217391304348
11;7;2015;1,875
12;7;2015;5,620833333333333
13;7;2015;4,2875
14;7;2015;3,0500000000000003
15;7;2015;3,412500000000001
16;7;2015;3,5291666666666663
17;7;2015;3,5416666666666674
18;7;2015;3,7416666666666663
19;7;2015;4,879166666666666
20;7;2015;5,404166666666669
21;7;2015;6,841666666666668
22;7;2015;6,254166666666666
23;7;2015;6,029166666666666
24;7;2015;5,491666666666667
25;7;2015;4,754166666666666
26;7;2015;4,754166666666666
27;7;2015;5,962500000000001
28;7;2015;5,845833333333334
29;7;2015;6,666666666666665
30;7;2015;5,804166666666666
31;7;2015;4,55
1;8;2015;4,3625
2;8;2015;4,7
3;8;2015;4,833333333333333
4;8;2015;4,070833333333334
5;8;2015;1,6875000000000009
6;8;2015;1,975
7;8;2015;3,0058823529411764
8;8;2015;
9;8;2015;
10;8;2015;
11;8;2015;
12;8;2015;
13;8;2015;2,933333333333333
14;8;2015;3,4416666666666664
15;8;2015;2,8624999999999994
16;8;2015;2,8166666666666664
17;8;2015;3,579166666666666
18;8;2015;2,9
19;8;2015;2,643478260869565
20;8;2015;2,5916666666666663
21;8;2015;2,025
22;8;2015;2,6833333333333336
23;8;2015;3,0208333333333326
24;8;2015;3,308333333333333
25;8;2015;3,604166666666666
26;8;2015;3,558333333333333
27;8;2015;4,116666666666666
28;8;2015;4,7875
29;8;2015;4,445833333333334
30;8;2015;4,633333333333334
31;8;2015;5,6291666666666655
1;9;2015;6,941666666666666
2;9;2015;7,329166666666667
3;9;2015;6,208333333333332
4;9;2015;6,6083333333333325
5;9;2015;5,691666666666666
6;9;2015;4,679166666666667
7;9;2015;4,945833333333334
8;9;2015;4,995833333333334
9;9;2015;5,695833333333334
10;9;2015;5,283333333333333
11;9;2015;5,141666666666667
12;9;2015;6,083333333333335
13;9;2015;5,229166666666667
14;9;2015;6,095833333333332
15;9;2015;7,2458333333333345
16;9;2015;7,716666666666669
17;9;2015;8,4
18;9;2015;7,512499999999998
19;9;2015;7,891666666666667
20;9;2015;6,645833333333332
21;9;2015;7,137500000000002
22;9;2015;7,234782608695655
23;9;2015;7,15
24;9;2015;6,9125000000000005
25;9;2015;7,179166666666667
26;9;2015;6,895833333333332
27;9;2015;5,320833333333334
28;9;2015;5,386956521739132
29;9;2015;6,229166666666668
30;9;2015;7,354166666666668
1;10;2015;5,804166666666666
2;10;2015;6,4375
3;10;2015;5,795833333333333
4;10;2015;6,091666666666666
5;10;2015;7,233333333333335
6;10;2015;7,429166666666667
7;10;2015;8,612500000000002
8;10;2015;9,275
9;10;2015;7,858333333333335
10;10;2015;8,6
11;10;2015;9,475
12;10;2015;8,7
13;10;2015;8,079166666666667
14;10;2015;9,087499999999997
15;10;2015;9,045833333333334
16;10;2015;8,425
17;10;2015;8,237499999999999
18;10;2015;7,841666666666666
19;10;2015;9,7625
20;10;2015;9,416666666666666
21;10;2015;10,05
22;10;2015;10,1
23;10;2015;7,254166666666669
24;10;2015;4,141666666666667
25;10;2015;3,6666666666666665
26;10;2015;4,029166666666667
27;10;2015;4,55
28;10;2015;3,7458333333333336
29;10;2015;3,9125
30;10;2015;4,033333333333334
31;10;2015;3,275
1;11;2015;3,2416666666666667
2;11;2015;3,1
3;11;2015;5,129166666666666
4;11;2015;6,433333333333334
5;11;2015;8,641666666666667
6;11;2015;8,350000000000003
7;11;2015;8,879166666666668
8;11;2015;7,591666666666668
9;11;2015;6,5
10;11;2015;7,270833333333335
11;11;2015;9,483333333333333
12;11;2015;8,816666666666668
13;11;2015;9,991666666666667
14;11;2015;6,0166666666666675
15;11;2015;6,929166666666667
16;11;2015;7,374999999999997
17;11;2015;8,104166666666666
18;11;2015;8,266666666666664
19;11;2015;4,795652173913044
20;11;2015;4,325
21;11;2015;7,079166666666667
22;11;2015;4,991666666666666
23;11;2015;2,433333333333333
24;11;2015;3,208333333333333
25;11;2015;4,941666666666666
26;11;2015;6,7333333333333325
27;11;2015;7,779166666666668
28;11;2015;6,583333333333332
29;11;2015;5,116666666666667
30;11;2015;7,466666666666669
1;12;2015;5,758333333333333
2;12;2015;4,187500000000001
3;12;2015;3,879166666666668
4;12;2015;4,129166666666666
5;12;2015;2,733333333333334
6;12;2015;2,6375
7;12;2015;2,8416666666666672
8;12;2015;4,345833333333334
9;12;2015;3,5666666666666678
10;12;2015;
11;12;2015;3,85
12;12;2015;5,3500000000000005
13;12;2015;5,133333333333335
14;12;2015;5,229166666666667
15;12;2015;6,2333333333333325
16;12;2015;6,074999999999998
17;12;2015;6,983333333333335
18;12;2015;7,225000000000001
19;12;2015;6,908333333333332
20;12;2015;6,895833333333332
21;12;2015;5,6916666666666655
22;12;2015;5,991666666666667
23;12;2015;5,979166666666668
24;12;2015;5,245833333333334
25;12;2015;5,104166666666667
