;IdSensore;NomeTipoSensore_x;UnitaMisura_x;Idstazione_x;NomeStazione_x;Quota_x;Provincia_x;Comune_x;Storico_x;DataStart_x;DataStop_x;Utm_Nord_x;UTM_Est_x;lat_x;lng_x;location_x;Valore;DATE_TIME;NomeTipoSensore_y;UnitaMisura_y;Idstazione_y;NomeStazione_y;Quota_y;Provincia_y;Comune_y;Storico_y;DataStart_y;DataStop_y;Utm_Nord_y;UTM_Est_y;lat_y;lng_y;location_y
36;9873;Particelle sospese PM2.5;µg/m³;554;Saronno - via Santuario;212.0;VA;Saronno;N;11/12/2005;;5052520;503123;45.62621896083601;9.040063090678212;(45.626218960836006, 9.04006309067821);34.0;2016-11-14;Particelle sospese PM2.5;µg/m³;554.0;Saronno - via Santuario;212.0;VA;Saronno;N;11/12/2005;;5052520.0;503123.0;45.62621896083601;9.040063090678213;(45.626218960836006, 9.04006309067821)
20;9915;Particelle sospese PM2.5;µg/m³;591;Seriate;256.0;BG;Seriate;S;28/11/2005;01/01/2017;5059449;555672;45.686356064399135;9.714947917631527;(45.68635606439914, 9.714947917631529);37.0;2016-11-14;Particelle sospese PM2.5;µg/m³;591.0;Seriate;256.0;BG;Seriate;S;28/11/2005;01/01/2017;5059449.0;555672.0;45.686356064399135;9.714947917631527;(45.68635606439914, 9.714947917631529)
30;9978;Particelle sospese PM2.5;µg/m³;609;Casirate d`Adda;108.0;BG;Casirate d'Adda;N;11/11/2005;;5038450;543458;45.498227133944944;9.55623226235176;(45.49822713394494, 9.556232262351761);31.0;2016-11-14;Particelle sospese PM2.5;µg/m³;609.0;Casirate d`Adda;108.0;BG;Casirate d'Adda;N;11/11/2005;;5038450.0;543458.0;45.498227133944944;9.55623226235176;(45.49822713394494, 9.556232262351761)
5;9983;Particelle sospese PM2.5;µg/m³;672;Cornale (Voghera Energia);74.0;PV;Cornale;N;02/02/2006;;4987406;493238;45.040076572029626;8.914144599002407;(45.04007657202963, 8.914144599002409);32.0;2016-11-14;Particelle sospese PM2.5;µg/m³;672.0;Cornale (Voghera Energia);74.0;PV;Cornale;N;02/02/2006;;4987406.0;493238.0;45.04007657202962;8.914144599002407;(45.04007657202963, 8.914144599002409)
21;9984;Particelle sospese PM2.5;µg/m³;669;Brescia - Villaggio Sereno;70.0;BS;Brescia;N;06/06/2006;;5040636;593101;45.513038818653754;10.19194188877931;(45.513038818653754, 10.19194188877931);32.0;2016-11-14;Particelle sospese PM2.5;µg/m³;669.0;Brescia - Villaggio Sereno;70.0;BS;Brescia;N;06/06/2006;;5040636.0;593101.0;45.513038818653754;10.19194188877931;(45.513038818653754, 10.19194188877931)
26;9985;Particelle sospese PM2.5;µg/m³;600;Lodi - viale Vignati;80.0;LO;Lodi;N;10/07/2006;;5017060;538042;45.30601298752377;9.48526286320174;(45.30601298752377, 9.48526286320174);27.0;2016-11-14;Particelle sospese PM2.5;µg/m³;600.0;Lodi - viale Vignati;80.0;LO;Lodi;N;10/07/2006;;5017060.0;538042.0;45.30601298752377;9.48526286320174;(45.30601298752377, 9.48526286320174)
25;10013;Particelle sospese PM2.5;µg/m³;576;Merate;279.0;LC;Merate;N;10/09/2006;;5060569;531623;45.697951989702425;9.406190938686596;(45.69795198970243, 9.406190938686596);32.0;2016-11-14;Particelle sospese PM2.5;µg/m³;576.0;Merate;279.0;LC;Merate;N;10/09/2006;;5060569.0;531623.0;45.697951989702425;9.406190938686596;(45.69795198970243, 9.406190938686596)
9;10028;Particelle sospese PM2.5;µg/m³;685;Calusco d' Adda;273.0;BG;Calusco d'Adda;N;30/06/2006;;5059767;537706;45.690429078545144;9.484260927647787;(45.69042907854514, 9.484260927647789);34.0;2016-11-14;Particelle sospese PM2.5;µg/m³;685.0;Calusco d' Adda;273.0;BG;Calusco d'Adda;N;30/06/2006;;5059767.0;537706.0;45.690429078545144;9.484260927647787;(45.69042907854514, 9.484260927647789)
8;10085;Particelle sospese PM2.5;µg/m³;695;Ponti sul Mincio;113.0;MN;Ponti sul Mincio;N;12/01/2007;;5030184;631718;45.412771691686345;10.683357343786836;(45.41277169168634, 10.683357343786835);30.0;2016-11-14;Particelle sospese PM2.5;µg/m³;695.0;Ponti sul Mincio;113.0;MN;Ponti sul Mincio;N;12/01/2007;;5030184.0;631718.0;45.412771691686345;10.683357343786836;(45.41277169168634, 10.683357343786835)
18;10176;Particelle sospese PM2.5;µg/m³;703;Schivenoglia;;MN;Schivenoglia;N;13/12/2006;;4986922;663580;45.01687782075543;11.07609463264049;(45.016877820755425, 11.07609463264049);23.0;2016-11-14;Particelle sospese PM2.5;µg/m³;703.0;Schivenoglia;;MN;Schivenoglia;N;13/12/2006;;4986922.0;663580.0;45.01687782075543;11.07609463264049;(45.016877820755425, 11.07609463264049)
