;IdSensore;NomeTipoSensore_x;UnitaMisura_x;Idstazione_x;NomeStazione_x;Quota_x;Provincia_x;Comune_x;Storico_x;DataStart_x;DataStop_x;Utm_Nord_x;UTM_Est_x;lat_x;lng_x;location_x;Valore;DATE_TIME;NomeTipoSensore_y;UnitaMisura_y;Idstazione_y;NomeStazione_y;Quota_y;Provincia_y;Comune_y;Storico_y;DataStart_y;DataStop_y;Utm_Nord_y;UTM_Est_y;lat_y;lng_y;location_y
0;5989;Benzene;µg/m³;584;Bergamo - via Garibaldi;249.0;BG;Bergamo;N;02/08/1997;;5060449;551482;45.69568034432694;9.66124914606551;(45.69568034432694, 9.66124914606551);2.3;2016-11-14;Benzene;µg/m³;584.0;Bergamo - via Garibaldi;249.0;BG;Bergamo;N;02/08/1997;;5060449.0;551482.0;45.69568034432694;9.66124914606551;(45.69568034432694, 9.66124914606551)
13;6005;Benzene;µg/m³;627;Cremona - p.zza Cadorna;39.0;CR;Cremona;N;16/05/2002;;4998110;579872;45.131946912851724;10.015741513336044;(45.13194691285173, 10.015741513336042);4.0;2016-11-14;Benzene;µg/m³;627.0;Cremona - p.zza Cadorna;39.0;CR;Cremona;N;16/05/2002;;4998110.0;579872.0;45.131946912851724;10.015741513336044;(45.13194691285173, 10.015741513336042)
7;6057;Benzene;µg/m³;548;Milano - via Senato;118.0;MI;Milano;N;01/01/1999;;5035238;515435;45.470499014097;9.197460360112533;(45.470499014097, 9.197460360112531);2.2;2016-11-14;Benzene;µg/m³;548.0;Milano - via Senato;118.0;MI;Milano;N;01/01/1999;;5035238.0;515435.0;45.470499014097;9.197460360112533;(45.470499014097, 9.197460360112531)
29;6062;Benzene;µg/m³;503;Milano - P.zza  Zavattari;122.0;MI;Milano;S;17/01/2000;;5035847;511082;45.476063405097904;9.141786267186658;(45.47606340509791, 9.141786267186658);2.3;2016-11-14;Benzene;µg/m³;503.0;Milano - P.zza  Zavattari;122.0;MI;Milano;S;17/01/2000;;5035847.0;511082.0;45.4760634050979;9.141786267186658;(45.47606340509791, 9.141786267186658)
1;6083;Benzene;µg/m³;559;Somma Lombardo - MXP;210.0;VA;Somma Lombardo;S;21/03/2000;01/01/2017;5055150;477613;45.649537127292405;8.712691458284791;(45.649537127292405, 8.71269145828479);1.0;2016-11-14;Benzene;µg/m³;559.0;Somma Lombardo - MXP;210.0;VA;Somma Lombardo;S;21/03/2000;01/01/2017;5055150.0;477613.0;45.649537127292405;8.712691458284791;(45.649537127292405, 8.71269145828479)
26;6869;Benzene;µg/m³;642;Pavia - via Folperti;77.0;PV;Pavia;N;06/06/2002;;5004590;512932;45.19467609907785;9.164638300630086;(45.19467609907785, 9.164638300630086);1.9;2016-11-14;Benzene;µg/m³;642.0;Pavia - via Folperti;77.0;PV;Pavia;N;06/06/2002;;5004590.0;512932.0;45.19467609907785;9.164638300630086;(45.19467609907785, 9.164638300630086)
25;6870;Benzene;µg/m³;663;Mantova - via Ariosto;18.0;MN;Mantova;N;01/01/2003;;5000669;641770;45.145260125788965;10.80332595007927;(45.14526012578896, 10.80332595007927);1.6;2016-11-14;Benzene;µg/m³;663.0;Mantova - via Ariosto;18.0;MN;Mantova;N;01/01/2003;;5000669.0;641770.0;45.145260125788965;10.80332595007927;(45.14526012578896, 10.80332595007927)
12;9772;Benzene;µg/m³;600;Lodi - viale Vignati;80.0;LO;Lodi;N;23/04/2005;;5017060;538042;45.30601298752377;9.48526286320174;(45.30601298752377, 9.48526286320174);1.5;2016-11-14;Benzene;µg/m³;600.0;Lodi - viale Vignati;80.0;LO;Lodi;N;23/04/2005;;5017060.0;538042.0;45.30601298752377;9.48526286320174;(45.30601298752377, 9.48526286320174)
22;9797;Benzene;µg/m³;670;Mantova - S.Agnese;22.0;MN;Mantova;N;30/09/2005;;5002356;641122;45.16056833010576;10.795564113707881;(45.16056833010576, 10.79556411370788);1.0;2016-11-14;Benzene;µg/m³;670.0;Mantova - S.Agnese;22.0;MN;Mantova;N;30/09/2005;;5002356.0;641122.0;45.16056833010576;10.795564113707881;(45.16056833010576, 10.79556411370788)
23;9833;Benzene;µg/m³;664;Mantova - p.zza Gramsci;18.0;MN;Mantova;N;16/05/2005;;5001351;640031;45.151743379576594;10.78140770009565;(45.151743379576594, 10.78140770009565);2.7;2016-11-14;Benzene;µg/m³;664.0;Mantova - p.zza Gramsci;18.0;MN;Mantova;N;16/05/2005;;5001351.0;640031.0;45.151743379576594;10.78140770009565;(45.151743379576594, 10.78140770009565)
6;10018;Benzene;µg/m³;685;Calusco d' Adda;273.0;BG;Calusco d'Adda;N;30/06/2006;;5059767;537706;45.690429078545144;9.484260927647787;(45.69042907854514, 9.484260927647789);1.2;2016-11-14;Benzene;µg/m³;685.0;Calusco d' Adda;273.0;BG;Calusco d'Adda;N;30/06/2006;;5059767.0;537706.0;45.690429078545144;9.484260927647787;(45.69042907854514, 9.484260927647789)
9;10035;Benzene;µg/m³;672;Cornale (Voghera Energia);74.0;PV;Cornale;N;02/02/2006;;4987406;493238;45.040076572029626;8.914144599002407;(45.04007657202963, 8.914144599002409);0.9;2016-11-14;Benzene;µg/m³;672.0;Cornale (Voghera Energia);74.0;PV;Cornale;N;02/02/2006;;4987406.0;493238.0;45.04007657202962;8.914144599002407;(45.04007657202963, 8.914144599002409)
18;10036;Benzene;µg/m³;673;Voghera - via Pozzoni;90.0;PV;Voghera;N;28/07/2005;;4982900;500665;44.99954598914025;9.008437381815693;(44.99954598914026, 9.008437381815693);0.9;2016-11-14;Benzene;µg/m³;673.0;Voghera - via Pozzoni;90.0;PV;Voghera;N;28/07/2005;;4982900.0;500665.0;44.99954598914025;9.008437381815693;(44.99954598914026, 9.008437381815693)
19;10087;Benzene;µg/m³;696;Monzambano - campo sportivo;88.0;MN;Monzambano;S;01/12/2006;01/01/2017;5027572;632338;45.38915354023782;10.690576265072083;(45.38915354023782, 10.690576265072083);0.5;2016-11-14;Benzene;µg/m³;696.0;Monzambano - campo sportivo;88.0;MN;Monzambano;S;01/12/2006;01/01/2017;5027572.0;632338.0;45.38915354023782;10.690576265072083;(45.38915354023782, 10.690576265072083)
30;10096;Benzene;µg/m³;697;Borgofranco - loc. Bonizzo;14.0;MN;Borgofranco sul Po;S;29/11/2006;;4990430;671752;45.046501538167355;11.18093581912755;(45.04650153816735, 11.18093581912755);1.1;2016-11-14;Benzene;µg/m³;697.0;Borgofranco - loc. Bonizzo;14.0;MN;Borgofranco sul Po;S;29/11/2006;;4990430.0;671752.0;45.04650153816736;11.18093581912755;(45.04650153816735, 11.18093581912755)
20;10166;Benzene;µg/m³;703;Schivenoglia;;MN;Schivenoglia;N;29/11/2006;;4986922;663580;45.01687782075543;11.07609463264049;(45.016877820755425, 11.07609463264049);0.5;2016-11-14;Benzene;µg/m³;703.0;Schivenoglia;;MN;Schivenoglia;N;29/11/2006;;4986922.0;663580.0;45.01687782075543;11.07609463264049;(45.016877820755425, 11.07609463264049)
3;10259;Benzene;µg/m³;569;Sondrio - via Mazzini;307.0;SO;Sondrio;N;19/09/2006;;5113078;567173;46.16796681227828;9.87014407497457;(46.16796681227828, 9.87014407497457);1.2;2016-11-14;Benzene;µg/m³;569.0;Sondrio - via Mazzini;307.0;SO;Sondrio;N;19/09/2006;;5113078.0;567173.0;46.16796681227828;9.87014407497457;(46.16796681227828, 9.87014407497457)
10;10299;Benzene;µg/m³;653;Brescia - via Ziziola;125.0;BS;Brescia;S;15/10/1997;01/01/2017;5040836;595170;45.51455919056731;10.218463502801264;(45.51455919056731, 10.218463502801265);0.8;2016-11-14;Benzene;µg/m³;653.0;Brescia - via Ziziola;125.0;BS;Brescia;S;15/10/1997;01/01/2017;5040836.0;595170.0;45.51455919056731;10.218463502801264;(45.51455919056731, 10.218463502801265)
14;10301;Benzene;µg/m³;574;Lecco - Via Amendola;214.0;LC;Lecco;N;07/11/2006;;5077479;530713;45.85019119457854;9.395577066893225;(45.850191194578535, 9.395577066893223);1.7;2016-11-14;Benzene;µg/m³;574.0;Lecco - Via Amendola;214.0;LC;Lecco;N;07/11/2006;;5077479.0;530713.0;45.85019119457854;9.395577066893225;(45.850191194578535, 9.395577066893223)
5;10384;Benzene;µg/m³;693;Sannazzaro de' Burgondi - AGIP;85.0;PV;Sannazzaro de' Burgondi;N;01/01/2007;;4994371;492461;45.102766276841365;8.90417452771467;(45.10276627684137, 8.90417452771467);2.1;2016-11-14;Benzene;µg/m³;693.0;Sannazzaro de' Burgondi - AGIP;85.0;PV;Sannazzaro de' Burgondi;N;01/01/2007;;4994371.0;492461.0;45.102766276841365;8.90417452771467;(45.10276627684137, 8.90417452771467)
17;10474;Benzene;µg/m³;1267;Turano;65.0;LO;Turano Lodigiano;S;01/01/2010;31/03/2017;5010942;548751;45.25028308918456;9.62125819274314;(45.25028308918456, 9.62125819274314);1.2;2016-11-14;Benzene;µg/m³;1267.0;Turano;65.0;LO;Turano Lodigiano;S;01/01/2010;31/03/2017;5010942.0;548751.0;45.25028308918456;9.62125819274314;(45.25028308918456, 9.62125819274314)
8;10506;Benzene;µg/m³;1269;Dalmine - via Verdi;207.0;BG;Dalmine;N;01/09/2010;;5055304;546847;45.649702512362474;9.601223338785262;(45.64970251236247, 9.601223338785262);1.7;2016-11-14;Benzene;µg/m³;1269.0;Dalmine - via Verdi;207.0;BG;Dalmine;N;01/09/2010;;5055304.0;546847.0;45.64970251236248;9.601223338785262;(45.64970251236247, 9.601223338785262)
4;17126;Benzene;µg/m³;705;Milano - Pascal Città Studi;122.0;MI;Milano;N;13/09/2012;;5036190;518405;45.47899606168744;9.235491038497502;(45.47899606168744, 9.235491038497502);3.2;2016-11-14;Benzene;µg/m³;705.0;Milano - Pascal Città Studi;122.0;MI;Milano;N;13/09/2012;;5036190.0;518405.0;45.47899606168744;9.235491038497502;(45.47899606168744, 9.235491038497502)
16;17127;Benzene;µg/m³;501;Milano - viale Marche;129.0;MI;Milano;N;13/09/2012;;5038105;514918;45.496316443651025;9.190933555313624;(45.49631644365102, 9.190933555313624);2.0;2016-11-14;Benzene;µg/m³;501.0;Milano - viale Marche;129.0;MI;Milano;N;13/09/2012;;5038105.0;514918.0;45.496316443651025;9.190933555313624;(45.49631644365102, 9.190933555313624)
2;17163;Benzene;µg/m³;655;Darfo (aria);221.0;BS;Darfo Boario Terme;N;05/10/2012;;5080789;591371;45.87460210989037;10.177356808981381;(45.87460210989037, 10.17735680898138);2.6;2016-11-14;Benzene;µg/m³;655.0;Darfo (aria);221.0;BS;Darfo Boario Terme;N;05/10/2012;;5080789.0;591371.0;45.87460210989037;10.177356808981381;(45.87460210989037, 10.17735680898138)
28;29041;Benzene;µg/m³;561;Como - viale Cattaneo;202.0;CO;Como;N;;;5073500;505203;45.815042860112904;9.06697137484454;(45.81504286011291, 9.06697137484454);3.8;2016-11-14;Benzene;µg/m³;561.0;Como - viale Cattaneo;202.0;CO;Como;N;;;5073500.0;505203.0;45.8150428601129;9.06697137484454;(45.81504286011291, 9.06697137484454)
15;30166;Benzene;µg/m³;652;Brescia - via Turati;154.0;BS;Brescia;N;01/01/2016;;5043626;596168;45.539529434955995;10.231785907477224;(45.539529434955995, 10.231785907477223);2.0;2016-11-14;Benzene;µg/m³;652.0;Brescia - via Turati;154.0;BS;Brescia;N;01/01/2016;;5043626.0;596168.0;45.539529434955995;10.231785907477224;(45.539529434955995, 10.231785907477223)
