X;Y;M
0,0;250,4162500000001;0,0
1000,0;917,4904166666666;354,0024911385356
2000,0;1820,1581818181824;670,5652375632686
3000,0;1871,3732222222218;953,6479133423853
4000,0;1471,3663934426231;1206,7914124790339
5000,0;1105,6528333333333;1433,1621396129965
6000,0;1849,2712142857138;1635,591616482546
7000,0;2481,896388888889;1816,6118995575275
8000,0;1977,614025974026;1978,487251859422
9000,0;1555,8435256410257;2123,242465130238
10000,0;2126,152826086957;2252,688186613522
11000,0;2933,66125;2368,4435672434365
12000,0;2945,304777777778;2471,9565145331385
13000,0;2958,927989690721;2564,5218034924264
14000,0;2462,666847826087;2647,297272112177
15000,0;2356,678404255319;2721,318303994147
16000,0;2560,133244680851;2787,5107792798062
17000,0;2576,5167088607595;2846,7026558727853
18000,0;2703,8913043478256;2899,63432581681
19000,0;2761,178532110092;2946,9678763701886
20000,0;2759,654;2989,2953716175243
21000,0;2367,0018918918922;3027,146258207847
22000,0;2465,980625;3060,9939878526493
23000,0;2385,4614843749996;3091,2619394202766
24000,0;2845,6115771812083;3118,328714702231
25000,0;3193,926235294118;3142,5328740926334
26000,0;2986,824470198675;3164,1771714163183
27000,0;2797,0092690058477;3183,5323408762356
28000,0;2271,072361111111;3200,8404834885705
29000,0;2404,4884444444447;3216,3180953642664
30000,0;2890,6772252747255;3230,1587757157185
31000,0;3295,0926285714286;3242,5356484613058
32000,0;3895,2582044198894;3253,6035277180067
33000,0;3685,392358974359;3263,500854268817
34000,0;3603,993455882353;3272,351427226963
35000,0;3353,6278571428575;3280,265952557144
36000,0;3259,576989247312;3287,3434278232426
37000,0;3374,7509750000004;3293,6723804833873
38000,0;3355,605703125;3299,3319752213906
39000,0;3624,2682417582423;3304,3930041654276
40000,0;3492,0046875000003;3308,9187723799578
41000,0;3707,7334226190483;3312,965889706917
42000,0;3254,025714285714;3316,584978860795
43000,0;2682,7858860759497;3319,8213086346987
44000,0;3036,6763333333333;3322,7153601377486
45000,0;3050,7768285714287;3325,3033331465085
46000,0;4235,140355029585;3327,6175989040494
47000,0;4372,383174157304;3329,687105030426
48000,0;3395,251519337016;3331,5377376093143
49000,0;4066,9434036144576;3333,192644979915
50000,0;3789,762310126582;3334,672527284219
51000,0;3247,4513356164384;3335,9958953914024
52000,0;3815,453630573248;3337,179302438041
53000,0;3773,9490822784815;3338,237550880353
54000,0;3093,310906040268;3339,183877648339
55000,0;3493,03393939394;3340,030119717782
56000,0;4024,3022670807454;3340,786862171151
57000,0;3835,3562101910825;3341,4635705994
58000,0;4227,288734939759;3342,0687095007856
59000,0;3432,000751633987;3342,6098481576773
60000,0;3096,491016483517;3343,0937553157073
61000,0;3598,355236842106;3343,5264838495314
62000,0;3606,786925465839;3343,9134464742383
63000,0;4065,648390410959;3344,259483449421
64000,0;3559,739;3344,568923122787
65000,0;3272,3861347517736;3344,8456360705923
66000,0;3270,941483870967;3345,0930835121253
67000,0;3426,6913125000005;3345,314360603808
68000,0;3665,3902000000003;3345,51223515446
69000,0;3492,6282704402515;3345,689182245992
70000,0;3604,2499374999998;3345,8474151925657
71000,0;4058,9255033557047;3345,9889132254784
72000,0;3474,488515625;3346,1154462500576
73000,0;2508,372727272727;3346,228596984239
74000,0;3844,7959016393443;3346,3297807557356
75000,0;4154,283702290077;3346,4202632054366
76000,0;3437,911478260869;3346,5011761184737
77000,0;3686,0223913043474;3346,5735315809734
78000,0;5355,964406779662;3346,638234639571
79000,0;4996,009869565218;3346,6960946220406
80000,0;3517,6506422018347;3346,747835260645
81000,0;4456,943548387097;3346,7941037448168
82000,0;4950,1755232558135;3346,835478816431
83000,0;4752,558541666666;3346,872478008899
84000,0;4019,5810909090906;3346,9055641206533
85000,0;3204,2261386138616;3346,935151003988
86000,0;3489,822926829269;3346,961608741662
87000,0;3859,2184574468088;3346,985268276021
88000,0;3539,2676818181826;3347,006425548536
89000,0;4132,910603448277;3347,025345201537
90000,0;5091,393952380952;3347,0422638884547
91000,0;3830,7681896551717;3347,0573932339557
92000,0;3286,5326422764224;3347,0709224810175
93000,0;4766,155217391304;3347,0830208580473
94000,0;4648,693470588235;3347,0938396956417
95000,0;3264,878545454546;3347,1035143194867
96000,0;3107,1079166666664;3347,1121657430554
97000,0;2133,1792696629213;3347,1199021812836
98000,0;2713,552244897959;3347,126820404161
99000,0;2754,047012195122;3347,133006947164
