;IdSensore;NomeTipoSensore;UnitaMisura;Idstazione;NomeStazione;Quota;Provincia;Comune;Storico;DataStart;DataStop;Utm_Nord;UTM_Est;lat;lng;location;Valore;DATE_TIME
47;5706;Ozono;µg/m³;530;Agrate;162.0;MB;Agrate Brianza;S;27/03/1996;01/01/2018;5046977;527628;45.575784759228064;9.354105650819204;(45.57578475922807, 9.354105650819204);65.0;2016-05-14 11:00:00
19;5707;Ozono;µg/m³;551;Arconate (aria);182.0;MI;Arconate;N;20/01/1999;;5043898;488082;45.54851735741946;8.847321929216262;(45.54851735741946, 8.847321929216262);74.4;2016-05-14 11:00:00
22;5708;Ozono;µg/m³;536;Arese;157.0;MI;Arese;S;03/10/1995;01/01/2018;5043325;506302;45.543433254501636;9.080725831284644;(45.543433254501636, 9.080725831284644);57.8;2016-05-14 11:00:00
21;5709;Ozono;µg/m³;512;Carate Brianza;250.0;MB;Carate Brianza;S;15/02/1995;01/01/2018;5057635;518272;45.67202473407846;9.234591661788047;(45.672024734078455, 9.234591661788048);51.5;2016-05-14 11:00:00
58;5710;Ozono;µg/m³;544;Cormano;153.0;MI;Cormano;N;03/11/1994;;5044180;512693;45.55104194437242;9.162613653151322;(45.551041944372415, 9.162613653151322);53.1;2016-05-14 11:00:00
57;5711;Ozono;µg/m³;525;Corsico;119.0;MI;Corsico;S;18/01/1990;01/01/2018;5031403;507619;45.43610851009912;9.097410841871476;(45.43610851009912, 9.097410841871474);48.3;2016-05-14 11:00:00
54;5712;Ozono;µg/m³;510;Inzago;138.0;MI;Inzago;S;24/02/2001;01/01/2018;5043030;538012;45.539768856661;9.486885367436154;(45.539768856661, 9.486885367436152);45.6;2016-05-14 11:00:00
33;5715;Ozono;µg/m³;505;Legnano;199.0;MI;Legnano;S;11/01/1990;01/01/2018;5049180;493668;45.59613393213292;8.918813993063269;(45.596133932132915, 8.91881399306327);57.9;2016-05-14 11:00:00
79;5716;Ozono;µg/m³;541;Limbiate;181.0;MB;Limbiate;S;17/01/1995;01/01/2018;5049330;509823;45.59744349823031;9.125948942472386;(45.597443498230305, 9.125948942472387);54.8;2016-05-14 11:00:00
36;5717;Ozono;µg/m³;531;Limito;114.0;MI;Pioltello;N;13/05/1989;;5036730;525583;45.48363035323249;9.327360033215145;(45.48363035323249, 9.327360033215145);52.2;2016-05-14 11:00:00
82;5718;Ozono;µg/m³;546;Magenta;137.0;MI;Magenta;N;29/07/1995;;5034328;490635;45.462415791106615;8.88021043312557;(45.462415791106615, 8.880210433125571);78.8;2016-05-14 11:00:00
44;5719;Ozono;µg/m³;542;Meda;222.0;MB;Meda;N;01/11/1995;;5056480;512203;45.66176219189168;9.156643984551595;(45.66176219189168, 9.156643984551597);53.5;2016-05-14 11:00:00
46;5721;Ozono;µg/m³;545;Motta Visconti (aria);100.0;MI;Motta Visconti;N;17/03/1998;;5014273;499103;45.28195619742785;8.988562726793257;(45.281956197427846, 8.988562726793255);56.5;2016-05-14 11:00:00
67;5722;Ozono;µg/m³;547;Milano - Parco Lambro;123.0;MI;Milano;S;03/05/1995;01/01/2018;5038480;519323;45.499583690483405;9.247326889507654;(45.499583690483405, 9.247326889507654);53.4;2016-05-14 11:00:00
10;5724;Ozono;µg/m³;513;Trezzo d`Adda;199.0;MI;Trezzo sull'Adda;S;22/02/2001;01/01/2017;5051253;539618;45.61369175877737;9.50812248390592;(45.61369175877737, 9.50812248390592);81.4;2016-05-14 11:00:00
8;5725;Ozono;µg/m³;528;Milano - Verziere;116.0;MI;Milano;N;20/09/1988;;5034443;515270;45.46334674066655;9.195324807668856;(45.463346740666545, 9.195324807668857);46.2;2016-05-14 11:00:00
29;5727;Ozono;µg/m³;543;Vimercate;194.0;MB;Vimercate;S;11/01/1995;01/01/2018;5051330;528723;45.614920870442226;9.368396161785157;(45.614920870442226, 9.368396161785157);61.6;2016-05-14 11:00:00
74;5728;Ozono;µg/m³;594;Bergamo - via Goisis;290.0;BG;Bergamo;S;13/09/1996;01/01/2018;5062715;553620;45.715912469852206;9.688958745309764;(45.715912469852206, 9.688958745309764);57.9;2016-05-14 11:00:00
61;5730;Ozono;µg/m³;564;Erba - via Battisti;279.0;CO;Erba;N;01/01/2009;;5072803;517232;45.80857380692297;9.221779204488437;(45.808573806922965, 9.221779204488435);46.4;2016-05-14 11:00:00
40;5732;Ozono;µg/m³;573;Colico;229.0;LC;Colico;N;06/11/1996;;5109468;529713;46.1381409051264;9.384687247651792;(46.1381409051264, 9.384687247651794);31.2;2016-05-14 11:00:00
76;5735;Ozono;µg/m³;576;Merate;279.0;LC;Merate;N;17/02/1991;;5060569;531623;45.697951989702425;9.406190938686596;(45.69795198970243, 9.406190938686596);54.7;2016-05-14 11:00:00
23;5736;Ozono;µg/m³;575;Nibionno;310.0;LC;Nibionno;S;07/11/1996;01/01/2018;5066429;520613;45.75111126161782;9.265020964805544;(45.751111261617815, 9.265020964805544);57.7;2016-05-14 11:00:00
45;5738;Ozono;µg/m³;607;Abbadia Cerreto;64.0;LO;Abbadia Cerreto;N;10/04/2001;;5017500;545920;45.309502269282255;9.585790416120414;(45.309502269282255, 9.585790416120414);82.2;2016-05-14 11:00:00
