;IdSensore;Tipologia;Unità DiMisura;IdStazione;NomeStazione;Quota;Provincia;DataStart;DataStop;Storico;UTM_Nord;UTM_Est;lng;lat;location;Valore;DATE_TIME
137;2001;Temperatura;°C;100;Milano Lambrate;120;MI;29/06/2001;;N;5038171;520120;9.257515399681068;45.49677982403948;(45.49677982403948, 9.257515399681068);29.0;2016-08-06 16:50:00
116;2039;Temperatura;°C;102;San Colombano al Lambro;140;MI;27/06/2001;;N;5003839;538199;9.48624910324399;45.18699944365492;(45.18699944365492, 9.48624910324399);28.8;2016-08-06 16:50:00
98;2082;Temperatura;°C;106;Varzi Nivione;500;PV;15/05/2001;;N;4963407;515418;9.19502545631183;44.82390249577421;(44.82390249577421, 9.19502545631183);26.8;2016-08-06 16:50:00
156;2096;Temperatura;°C;107;Sondrio Fond.Fojanini;307;SO;29/01/2001;;N;5112796;565505;9.848500587178329;46.16559148475932;(46.16559148475932, 9.848500587178327);30.6;2016-08-06 16:50:00
92;2110;Temperatura;°C;108;Samolaco v.Vignola;206;SO;27/07/1994;;N;5120369;532896;9.426654061947305;46.236101609883576;(46.23610160988358, 9.426654061947305);27.5;2016-08-06 16:50:00
50;2122;Temperatura;°C;109;Sant'Angelo Lodigiano;60;LO;11/03/1993;;N;5011978;529787;9.37965968313856;45.260667319792226;(45.26066731979222, 9.37965968313856);29.4;2016-08-06 16:50:00
121;2134;Temperatura;°C;110;Gonzaga;22;MN;01/01/1998;;N;4980523;639394;10.767523213415815;44.96446889800069;(44.96446889800069, 10.767523213415817);30.5;2016-08-06 16:50:00
135;2146;Temperatura;°C;111;Cassina Valsassina Moggio;1234;LC;01/01/2002;;N;5084512;538583;9.497502220579186;45.91309369355323;(45.91309369355323, 9.497502220579186);21.4;2016-08-06 16:50:00
126;2187;Temperatura;°C;114;Landriano Cascina Marianna;88;PV;29/09/2005;;N;5018618;520713;9.264283068301967;45.32076231361702;(45.32076231361702, 9.264283068301966);29.4;2016-08-06 16:50:00
74;2245;Temperatura;°C;117;Edolo Ist.Meneghini;699;BS;01/01/1998;;N;5114436;602920;10.333392938696818;46.17572375017687;(46.17572375017687, 10.333392938696818);24.1;2016-08-06 16:50:00
159;2270;Temperatura;°C;119;San Giovanni Bianco Cornalita;700;BG;07/09/2001;;N;5081179;550210;9.647067600267716;45.88234591639525;(45.882345916395245, 9.647067600267716);24.0;2016-08-06 16:50:00
19;2327;Temperatura;°C;123;Cavenago d'Adda;67;LO;08/08/2002;;N;5013079;544065;9.561734848150481;45.26982760610729;(45.269827606107285, 9.56173484815048);29.2;2016-08-06 16:50:00
67;2361;Temperatura;°C;125;Castello d'Agogna;106;PV;01/01/1993;;N;5010411;476502;8.700571652227913;45.24680044696226;(45.246800446962254, 8.700571652227913);30.6;2016-08-06 16:50:00
176;2400;Temperatura;°C;129;Capo di Ponte v.Briscioli;362;BS;30/10/2002;;N;5097875;603903;10.342502608603109;46.02656354247282;(46.026563542472815, 10.34250260860311);27.7;2016-08-06 16:50:00
157;2414;Temperatura;°C;130;Brescia ITAS Pastori;149;BS;01/01/1995;;N;5042175;598502;10.261382196949356;45.52614578635289;(45.526145786352885, 10.261382196949356);30.0;2016-08-06 16:50:00
119;2433;Temperatura;°C;132;Bergamo v.Stezzano;211;BG;01/01/1993;;N;5056541;551321;9.658768470289832;45.66051928748766;(45.66051928748766, 9.658768470289832);28.6;2016-08-06 16:50:00
104;2447;Temperatura;°C;133;Bema;800;SO;01/01/1993;;N;5105966;543983;9.569105234399473;46.10585292565578;(46.10585292565578, 9.569105234399471);21.5;2016-08-06 16:50:00
