;IdSensore;NomeTipoSensore_x;UnitaMisura_x;Idstazione_x;NomeStazione_x;Quota_x;Provincia_x;Comune_x;Storico_x;DataStart_x;DataStop_x;Utm_Nord_x;UTM_Est_x;lat_x;lng_x;location_x;Valore;DATE_TIME;NomeTipoSensore_y;UnitaMisura_y;Idstazione_y;NomeStazione_y;Quota_y;Provincia_y;Comune_y;Storico_y;DataStart_y;DataStop_y;Utm_Nord_y;UTM_Est_y;lat_y;lng_y;location_y
48;6907;PM10 (SM2005);µg/m³;513;Trezzo d`Adda;199.0;MI;Trezzo sull'Adda;S;03/04/2001;01/01/2017;5051253;539618;45.61369175877737;9.50812248390592;(45.61369175877737, 9.50812248390592);34.0;2016-11-14;PM10 (SM2005);µg/m³;513.0;Trezzo d`Adda;199.0;MI;Trezzo sull'Adda;S;03/04/2001;01/01/2017;5051253.0;539618.0;45.61369175877737;9.50812248390592;(45.61369175877737, 9.50812248390592)
68;6908;PM10 (SM2005);µg/m³;531;Limito;114.0;MI;Pioltello;N;21/02/1998;;5036730;525583;45.48363035323249;9.327360033215145;(45.48363035323249, 9.327360033215145);50.0;2016-11-14;PM10 (SM2005);µg/m³;531.0;Limito;114.0;MI;Pioltello;N;21/02/1998;;5036730.0;525583.0;45.48363035323249;9.327360033215145;(45.48363035323249, 9.327360033215145)
14;6909;PM10 (SM2005);µg/m³;536;Arese;157.0;MI;Arese;S;18/01/2002;01/01/2017;5043325;506302;45.543433254501636;9.080725831284644;(45.543433254501636, 9.080725831284644);55.0;2016-11-14;PM10 (SM2005);µg/m³;536.0;Arese;157.0;MI;Arese;S;18/01/2002;01/01/2017;5043325.0;506302.0;45.543433254501636;9.080725831284644;(45.543433254501636, 9.080725831284644)
32;6910;PM10 (SM2005);µg/m³;542;Meda;222.0;MB;Meda;N;06/02/1998;;5056480;512203;45.66176219189168;9.156643984551595;(45.66176219189168, 9.156643984551597);59.0;2016-11-14;PM10 (SM2005);µg/m³;542.0;Meda;222.0;MB;Meda;N;06/02/1998;;5056480.0;512203.0;45.66176219189168;9.156643984551595;(45.66176219189168, 9.156643984551597)
30;6911;PM10 (SM2005);µg/m³;543;Vimercate;194.0;MB;Vimercate;S;06/02/1998;;5051330;528723;45.614920870442226;9.368396161785157;(45.614920870442226, 9.368396161785157);45.0;2016-11-14;PM10 (SM2005);µg/m³;543.0;Vimercate;194.0;MB;Vimercate;S;06/02/1998;;5051330.0;528723.0;45.614920870442226;9.368396161785157;(45.614920870442226, 9.368396161785157)
3;6912;PM10 (SM2005);µg/m³;546;Magenta;137.0;MI;Magenta;N;25/02/1998;;5034328;490635;45.462415791106615;8.88021043312557;(45.462415791106615, 8.880210433125571);51.0;2016-11-14;PM10 (SM2005);µg/m³;546.0;Magenta;137.0;MI;Magenta;N;25/02/1998;;5034328.0;490635.0;45.462415791106615;8.88021043312557;(45.462415791106615, 8.880210433125571)
76;6915;PM10 (SM2005);µg/m³;554;Saronno - via Santuario;212.0;VA;Saronno;N;16/12/2003;;5052520;503123;45.62621896083601;9.040063090678212;(45.626218960836006, 9.04006309067821);45.0;2016-11-14;PM10 (SM2005);µg/m³;554.0;Saronno - via Santuario;212.0;VA;Saronno;N;16/12/2003;;5052520.0;503123.0;45.62621896083601;9.040063090678213;(45.626218960836006, 9.04006309067821)
27;6917;PM10 (SM2005);µg/m³;558;Busto Arsizio - Accam;206.0;VA;Busto Arsizio;N;20/01/1999;;5047718;487088;45.58288342614757;8.834487189583363;(45.58288342614757, 8.834487189583362);37.0;2016-11-14;PM10 (SM2005);µg/m³;558.0;Busto Arsizio - Accam;206.0;VA;Busto Arsizio;N;20/01/1999;;5047718.0;487088.0;45.58288342614757;8.834487189583363;(45.58288342614757, 8.834487189583362)
87;6918;PM10 (SM2005);µg/m³;560;Varese - via Copelli;383.0;VA;Varese;N;17/07/2003;;5073728;486035;45.81697323326368;8.820240707158211;(45.816973233263674, 8.820240707158211);42.0;2016-11-14;PM10 (SM2005);µg/m³;560.0;Varese - via Copelli;383.0;VA;Varese;N;17/07/2003;;5073728.0;486035.0;45.81697323326368;8.820240707158211;(45.816973233263674, 8.820240707158211)
37;6921;PM10 (SM2005);µg/m³;564;Erba - via Battisti;279.0;CO;Erba;N;13/06/2009;;5072803;517232;45.80857380692297;9.221779204488437;(45.808573806922965, 9.221779204488435);23.0;2016-11-14;PM10 (SM2005);µg/m³;564.0;Erba - via Battisti;279.0;CO;Erba;N;13/06/2009;;5072803.0;517232.0;45.80857380692297;9.221779204488437;(45.808573806922965, 9.221779204488435)
