;IdSensore;NomeTipoSensore;UnitaMisura;Idstazione;NomeStazione;Quota;Provincia;Comune;Storico;DataStart;DataStop;Utm_Nord;UTM_Est;lat;lng;location;Valore;DATE_TIME
68;5790;Monossido di Carbonio;mg/m³;592;Treviglio;191.0;BG;Treviglio;N;01/12/1994;;5040815;546236;45.51933498138716;9.592009994888423;(45.51933498138716, 9.592009994888425);0.6;2016-11-14 11:00:00
91;5794;Monossido di Carbonio;mg/m³;584;Bergamo - via Garibaldi;249.0;BG;Bergamo;N;16/06/1994;;5060449;551482;45.69568034432694;9.66124914606551;(45.69568034432694, 9.66124914606551);1.1;2016-11-14 11:00:00
34;5797;Monossido di Carbonio;mg/m³;565;Cantù - via Meucci;369.0;CO;Cantù;N;04/10/1993;;5064150;509783;45.730836722674276;9.125734327022926;(45.73083672267427, 9.125734327022926);0.5;2016-11-14 11:00:00
11;5798;Monossido di Carbonio;mg/m³;561;Como - viale Cattaneo;202.0;CO;Como;N;17/02/1991;;5073500;505203;45.815042860112904;9.06697137484454;(45.81504286011291, 9.06697137484454);0.6;2016-11-14 11:00:00
26;5805;Monossido di Carbonio;mg/m³;574;Lecco - Via Amendola;214.0;LC;Lecco;N;17/02/1991;;5077479;530713;45.85019119457854;9.395577066893225;(45.850191194578535, 9.395577066893223);0.7;2016-11-14 11:00:00
19;5807;Monossido di Carbonio;mg/m³;576;Merate;279.0;LC;Merate;N;24/12/1991;;5060569;531623;45.697951989702425;9.406190938686596;(45.69795198970243, 9.406190938686596);1.0;2016-11-14 11:00:00
48;5809;Monossido di Carbonio;mg/m³;600;Lodi - viale Vignati;80.0;LO;Lodi;N;30/12/1999;;5017060;538042;45.30601298752377;9.48526286320174;(45.30601298752377, 9.48526286320174);0.6;2016-11-14 11:00:00
99;5810;Monossido di Carbonio;mg/m³;602;Melegnano;83.0;MI;Melegnano;S;13/01/2000;;5022361;525789;45.35428575070997;9.329243424113708;(45.35428575070997, 9.329243424113708);1.3;2016-11-14 11:00:00
30;5811;Monossido di Carbonio;mg/m³;598;S.Rocco al Porto;50.0;LO;San Rocco al Porto;N;25/02/2002;;4992297;555154;45.08198669697864;9.70078817718398;(45.081986696978625, 9.70078817718398);0.2;2016-11-14 11:00:00
28;5812;Monossido di Carbonio;mg/m³;606;S.Giuliano Milanese;97.0;MI;San Giuliano Milanese;N;13/01/2000;;5027003;522127;45.39619462552717;9.282700075557843;(45.39619462552717, 9.282700075557845);0.8;2016-11-14 11:00:00
82;5814;Monossido di Carbonio;mg/m³;551;Arconate (aria);182.0;MI;Arconate;N;20/01/1999;;5043898;488082;45.54851735741946;8.847321929216262;(45.54851735741946, 8.847321929216262);1.0;2016-11-14 11:00:00
88;5820;Monossido di Carbonio;mg/m³;525;Corsico;119.0;MI;Corsico;S;18/12/1990;01/01/2017;5031403;507619;45.43610851009912;9.097410841871476;(45.43610851009912, 9.097410841871474);0.8;2016-11-14 11:00:00
31;5823;Monossido di Carbonio;mg/m³;539;Milano - viale Liguria;115.0;MI;Milano;N;20/10/1991;;5032273;513134;45.44385765356493;9.167944501742676;(45.443857653564926, 9.167944501742676);1.1;2016-11-14 11:00:00
41;5825;Monossido di Carbonio;mg/m³;531;Limito;114.0;MI;Pioltello;N;11/11/1994;;5036730;525583;45.48363035323249;9.327360033215145;(45.48363035323249, 9.327360033215145);0.4;2016-11-14 11:00:00
22;5826;Monossido di Carbonio;mg/m³;546;Magenta;137.0;MI;Magenta;N;22/04/1995;;5034328;490635;45.462415791106615;8.88021043312557;(45.462415791106615, 8.880210433125571);1.2;2016-11-14 11:00:00
35;5827;Monossido di Carbonio;mg/m³;501;Milano - viale Marche;129.0;MI;Milano;N;05/04/1989;;5038105;514918;45.496316443651025;9.190933555313624;(45.49631644365102, 9.190933555313624);1.6;2016-11-14 11:00:00
7;5828;Monossido di Carbonio;mg/m³;542;Meda;222.0;MB;Meda;N;01/11/1995;;5056480;512203;45.66176219189168;9.156643984551595;(45.66176219189168, 9.156643984551597);0.8;2016-11-14 11:00:00
46;5831;Monossido di Carbonio;mg/m³;515;Pero;141.0;MI;Pero;S;10/05/1991;01/01/2017;5039595;507028;45.50985226679251;9.089972020337333;(45.509852266792514, 9.089972020337333);0.6;2016-11-14 11:00:00
15;5832;Monossido di Carbonio;mg/m³;514;Rho - via Statuto;152.0;MI;Rho;N;02/10/1991;;5041100;503483;45.523425662003476;9.044599871111004;(45.523425662003476, 9.044599871111005);1.0;2016-11-14 11:00:00
73;5834;Monossido di Carbonio;mg/m³;548;Milano - via Senato;118.0;MI;Milano;N;01/05/1995;;5035238;515435;45.470499014097;9.197460360112533;(45.470499014097, 9.197460360112531);0.9;2016-11-14 11:00:00
92;5835;Monossido di Carbonio;mg/m³;504;Sesto S.Giovanni;139.0;MI;Sesto San Giovanni;N;29/04/1990;;5042386;518435;45.53476576509224;9.236107923411636;(45.53476576509224, 9.236107923411636);0.7;2016-11-14 11:00:00
5;5837;Monossido di Carbonio;mg/m³;513;Trezzo d`Adda;199.0;MI;Trezzo sull'Adda;S;22/02/2001;01/01/2017;5051253;539618;45.61369175877737;9.50812248390592;(45.61369175877737, 9.50812248390592);0.9;2016-11-14 11:00:00
44;5841;Monossido di Carbonio;mg/m³;503;Milano - P.zza  Zavattari;122.0;MI;Milano;S;05/04/1989;01/01/2017;5035847;511082;45.476063405097904;9.141786267186658;(45.47606340509791, 9.141786267186658);1.1;2016-11-14 11:00:00
87;5842;Monossido di Carbonio;mg/m³;571;Bormio;1225.0;SO;Bormio;N;02/11/1993;;5147136;605598;46.469523971325856;10.375432759159036;(46.46952397132585, 10.375432759159036);1.2;2016-11-14 11:00:00
97;5844;Monossido di Carbonio;mg/m³;572;Morbegno - via Cortivacci;262.0;SO;Morbegno;N;13/01/1999;;5108901;543736;46.132282960003735;9.566179893984476;(46.132282960003735, 9.566179893984474);0.8;2016-11-14 11:00:00
0;5846;Monossido di Carbonio;mg/m³;570;Tirano - viale Italia;439.0;SO;Tirano;S;30/05/1996;01/01/2017;5118891;589196;46.21774621439411;10.156470232146322;(46.21774621439411, 10.156470232146322);1.4;2016-11-14 11:00:00
10;5847;Monossido di Carbonio;mg/m³;558;Busto Arsizio - Accam;206.0;VA;Busto Arsizio;N;06/12/1998;;5047718;487088;45.58288342614757;8.834487189583363;(45.58288342614757, 8.834487189583362);0.2;2016-11-14 11:00:00
72;5853;Monossido di Carbonio;mg/m³;560;Varese - via Copelli;383.0;VA;Varese;N;07/08/2003;;5073728;486035;45.81697323326368;8.820240707158211;(45.816973233263674, 8.820240707158211);0.5;2016-11-14 11:00:00
93;6411;Monossido di Carbonio;mg/m³;627;Cremona - p.zza Cadorna;39.0;CR;Cremona;N;12/12/1997;;4998110;579872;45.131946912851724;10.015741513336044;(45.13194691285173, 10.015741513336042);0.4;2016-11-14 11:00:00
58;6418;Monossido di Carbonio;mg/m³;629;Crema - via XI febbraio;79.0;CR;Crema;N;17/05/1996;;5023885;555127;45.36630907819434;9.703945513613167;(45.366309078194334, 9.703945513613167);0.3;2016-11-14 11:00:00
57;6705;Monossido di Carbonio;mg/m³;643;Pavia - p.zza Minerva;77.0;PV;Pavia;N;03/03/2002;;5003660;511522;45.18632908049482;9.146666041286784;(45.18632908049483, 9.146666041286784);0.4;2016-11-14 11:00:00
78;6782;Monossido di Carbonio;mg/m³;652;Brescia - via Turati;154.0;BS;Brescia;N;12/01/1999;;5043626;596168;45.539529434955995;10.231785907477224;(45.539529434955995, 10.231785907477223);1.4;2016-11-14 11:00:00
2;6789;Monossido di Carbonio;mg/m³;653;Brescia - via Ziziola;125.0;BS;Brescia;S;15/10/1997;01/01/2017;5040836;595170;45.51455919056731;10.218463502801264;(45.51455919056731, 10.218463502801265);0.7;2016-11-14 11:00:00
18;6801;Monossido di Carbonio;mg/m³;654;Sarezzo - via Minelli;269.0;BS;Sarezzo;N;18/02/1990;;5055826;593900;45.64962671224069;10.205090218837002;(45.64962671224069, 10.205090218837002);0.6;2016-11-14 11:00:00
54;6862;Monossido di Carbonio;mg/m³;661;Rezzato;147.0;BS;Rezzato;N;24/11/1999;;5041110;604367;45.515708294844586;10.336240422996532;(45.51570829484459, 10.336240422996532);0.5;2016-11-14 11:00:00
84;6879;Monossido di Carbonio;mg/m³;664;Mantova - p.zza Gramsci;18.0;MN;Mantova;N;11/06/2004;;5001351;640031;45.151743379576594;10.78140770009565;(45.151743379576594, 10.78140770009565);0.7;2016-11-14 11:00:00
67;9798;Monossido di Carbonio;mg/m³;670;Mantova - S.Agnese;22.0;MN;Mantova;N;28/12/2004;;5002356;641122;45.16056833010576;10.795564113707881;(45.16056833010576, 10.79556411370788);0.5;2016-11-14 11:00:00
14;9800;Monossido di Carbonio;mg/m³;671;Mantova - Tridolino;22.0;MN;Mantova;S;20/01/2005;01/01/2017;5001664;646147;45.15331958578557;10.859263911962307;(45.153319585785574, 10.859263911962309);0.0;2016-11-14 11:00:00
56;9854;Monossido di Carbonio;mg/m³;672;Cornale (Voghera Energia);74.0;PV;Cornale;N;29/07/2005;;4987406;493238;45.040076572029626;8.914144599002407;(45.04007657202963, 8.914144599002409);0.4;2016-11-14 11:00:00
63;9859;Monossido di Carbonio;mg/m³;673;Voghera - via Pozzoni;90.0;PV;Voghera;N;05/07/2005;;4982900;500665;44.99954598914025;9.008437381815693;(44.99954598914026, 9.008437381815693);0.7;2016-11-14 11:00:00
27;9880;Monossido di Carbonio;mg/m³;674;Monza - via Machiavelli;162.0;MB;Monza;N;21/10/2005;;5047450;521343;45.580263484422424;9.273573092713274;(45.58026348442243, 9.273573092713274);0.4;2016-11-14 11:00:00
47;9888;Monossido di Carbonio;mg/m³;583;Bergamo - via Meucci;249.0;BG;Bergamo;N;11/03/2005;;5059922;550116;45.691037405472144;9.643650579461383;(45.69103740547214, 9.643650579461385);0.6;2016-11-14 11:00:00
51;9924;Monossido di Carbonio;mg/m³;677;Cremona - Via Fatebenefratelli;43.0;CR;Cremona;N;08/04/2006;;4999315;582066;45.14254063221695;10.043836158369393;(45.14254063221695, 10.043836158369393);0.3;2016-11-14 11:00:00
86;9971;Monossido di Carbonio;mg/m³;679;Valmadrera;247.0;LC;Valmadrera;N;16/02/2006;;5076576;527307;45.84220726102254;9.351658166127956;(45.842207261022544, 9.351658166127958);0.6;2016-11-14 11:00:00
74;9995;Monossido di Carbonio;mg/m³;682;Ferrera Erbognone - ENI;88.0;PV;Ferrera Erbognone;N;21/01/2006;;4995567;490094;45.11350314482957;8.874064848882607;(45.11350314482957, 8.874064848882607);0.3;2016-11-14 11:00:00
23;10002;Monossido di Carbonio;mg/m³;683;Cassano d'Adda 2 - Via Milano;133.0;MI;Cassano d'Adda;N;22/04/2006;;5041567;540293;45.52647254585104;9.515980483627095;(45.52647254585104, 9.515980483627096);1.1;2016-11-14 11:00:00
59;10007;Monossido di Carbonio;mg/m³;684;Truccazzano;105.0;MI;Truccazzano;S;17/02/2006;01/01/2018;5036889;536835;45.48455813667996;9.471348388974727;(45.48455813667995, 9.471348388974729);0.4;2016-11-14 11:00:00
12;10023;Monossido di Carbonio;mg/m³;685;Calusco d' Adda;273.0;BG;Calusco d'Adda;N;30/06/2006;;5059767;537706;45.690429078545144;9.484260927647787;(45.69042907854514, 9.484260927647789);0.5;2016-11-14 11:00:00
17;10039;Monossido di Carbonio;mg/m³;687;Ferno;215.0;VA;Ferno;N;06/11/2006;;5051773;481053;45.61924377994763;8.756970445453431;(45.61924377994763, 8.756970445453431);0.2;2016-11-14 11:00:00
40;10089;Monossido di Carbonio;mg/m³;696;Monzambano - campo sportivo;88.0;MN;Monzambano;S;01/12/2006;01/01/2017;5027572;632338;45.38915354023782;10.690576265072083;(45.38915354023782, 10.690576265072083);0.3;2016-11-14 11:00:00
98;10133;Monossido di Carbonio;mg/m³;700;Melara;12.0;RO;Melara;S;28/11/2006;;4992347;673928;45.06321436161329;11.20921074969938;(45.063214361613305, 11.20921074969938);1.0;2016-11-14 11:00:00
60;10145;Monossido di Carbonio;mg/m³;701;Ostiglia - via Colombo;14.0;MN;Ostiglia;S;29/11/2006;01/01/2017;4993316;668216;45.073311155731965;11.137034007299842;(45.073311155731965, 11.137034007299844);0.5;2016-11-14 11:00:00
94;10169;Monossido di Carbonio;mg/m³;703;Schivenoglia;;MN;Schivenoglia;N;29/11/2006;;4986922;663580;45.01687782075543;11.07609463264049;(45.016877820755425, 11.07609463264049);0.5;2016-11-14 11:00:00
79;10300;Monossido di Carbonio;mg/m³;660;Ospitaletto;155.0;BS;Ospitaletto;S;02/08/2007;01/01/2017;5044985;584681;45.55325139975436;10.084916143968398;(45.55325139975436, 10.084916143968398);0.5;2016-11-14 11:00:00
24;10355;Monossido di Carbonio;mg/m³;516;Robecchetto;135.0;MI;Robecchetto con Induno;S;28/02/2007;01/01/2017;5040503;481768;45.51782219008839;8.766562109244964;(45.51782219008838, 8.766562109244964);0.4;2016-11-14 11:00:00
36;10477;Monossido di Carbonio;mg/m³;1267;Turano;65.0;LO;Turano Lodigiano;S;03/08/2009;31/03/2017;5010942;548751;45.25028308918456;9.62125819274314;(45.25028308918456, 9.62125819274314);0.5;2016-11-14 11:00:00
52;10511;Monossido di Carbonio;mg/m³;1269;Dalmine - via Verdi;207.0;BG;Dalmine;N;12/02/2010;;5055304;546847;45.649702512362474;9.601223338785262;(45.64970251236247, 9.601223338785262);0.6;2016-11-14 11:00:00
