X;Y;M;R2
0;0,108333333;0;0,768482949
1000;3,796428571;1,026317592;
2000;3,091944444;2,019664669;
3000;3,796590909;2,981100412;
4000;4,5203125;3,911649974;
5000;4,957391304;4,812305576;
6000;6,7803;5,684027563;
7000;7,411634615;6,527745429;
8000;11,0646;7,344358807;
9000;13,24643939;8,134738432;
10000;19,54123077;8,899727064;
11000;17,46205479;9,640140391;
12000;15,42880682;10,35676789;
13000;17,05884615;11,0503737;
14000;16,45135294;11,72169737;
15000;17,44458824;12,37145473;
16000;15,56664948;13,0003386;
17000;12,21917476;13,60901953;
18000;14,83443925;14,19814656;
19000;17,17681034;14,76834784;
20000;14,41088;15,32023137;
21000;15,10607914;15,85438561;
22000;15,4994898;16,37138012;
23000;18,523;16,87176614;
24000;20,46996403;17,35607724;
25000;17,16985816;17,82482981;
26000;15,10726027;18,27852367;
27000;14,26135135;18,7176426;
28000;15,27090909;19,1426548;
29000;17,40657303;19,55401346;
30000;18,16626344;19,95215719;
31000;19,55063218;20,33751054;
32000;21,35403955;20,71048439;
33000;18,3992973;21,07147643;
34000;17,36744382;21,42087158;
35000;19,08056452;21,75904239;
36000;19,08239024;22,08634944;
37000;16,8309375;22,40314173;
38000;18,48620853;22,70975705;
39000;21,58033679;23,00652234;
40000;16,60377005;23,29375402;
41000;16,3706872;23,57175837;
42000;18,19402174;23,84083181;
43000;19,60793578;24,10126125;
44000;22,27326633;24,35332438;
45000;20,78483412;24,59728997;
46000;21,48875587;24,83341814;
47000;24,06388636;25,06196069;
48000;22,3021729;25,28316129;
49000;24,32790816;25,49725581;
50000;26,46706161;25,70447253;
51000;28,70647887;25,90503241;
52000;26,75051813;26,09914928;
53000;19,58472362;26,28703014;
54000;21,30143204;26,46887531;
55000;20,30957207;26,6448787;
56000;23,7052766;26,81522796;
57000;25,87704327;26,98010475;
58000;20,95509302;27,13968486;
59000;24,98963636;27,29413845;
60000;25,08023923;27,44363021;
61000;19,70659664;27,58831953;
62000;20,43375465;27,72836071;
63000;23,03628514;27,86390305;
64000;27,84865234;27,99509109;
65000;29,20028517;28,1220647;
66000;28,60084314;28,24495928;
67000;28,11827715;28,36390586;
68000;26,71506579;28,47903128;
69000;31,74607317;28,59045828;
70000;32,7576824;28,69830569;
71000;29,93909434;28,80268849;
72000;28,66909449;28,90371799;
73000;29,39715481;29,00150191;
74000;33,94447368;29,09614451;
75000;33,14073333;29,18774672;
76000;31,25293617;29,2764062;
77000;31,13848739;29,36221749;
78000;30,45900442;29,44527208;
79000;32,15042254;29,52565854;
80000;33,22088942;29,60346259;
81000;34,40006912;29,67876717;
82000;35,0660041;29,75165259;
83000;34,28547727;29,82219656;
84000;33,43879717;29,8904743;
85000;33,86891509;29,95655861;
86000;30,822713;30,02051996;
87000;33,86561441;30,08242655;
88000;42,6195;30,14234439;
89000;38,67051163;30,20033736;
90000;34,14548077;30,2564673;
91000;36,59828194;30,31079407;
92000;40,32724359;30,36337559;
93000;42,89965596;30,41426792;
94000;39,93101485;30,46352533;
95000;40,00198238;30,51120034;
96000;45,3208134;30,5573438;
97000;41,28909884;30,60200489;
98000;37,22194737;30,64523124;
99000;35,21762376;30,68706894;
